Tarih,TP_MT210AGS_TRY_MT02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,43.4
2000-07-01,38.94
2000-08-01,37.14
2000-09-01,40.79
2000-10-01,44.58
2000-11-01,58.44
2000-12-01,81.83
2001-01-01,69.36
2001-02-01,69.34
2001-03-01,110.5
2001-04-01,110.79
2001-05-01,87.56
2001-06-01,77.23
2001-07-01,73.5
2001-08-01,69.4
2001-09-01,71.09
2001-10-01,69.09
2001-11-01,66.46
2001-12-01,66.51
2002-01-01,63.92
2002-02-01,63.09
2002-03-01,61.22
2002-04-01,52.81
2002-05-01,50.88
2002-06-01,49.92
2002-07-01,50.93
2002-08-01,51.99
2002-09-01,51.0
2002-10-01,50.5
2002-11-01,47.98
2002-12-01,47.08
2003-01-01,46.98
2003-02-01,46.88
2003-03-01,46.69
2003-04-01,45.02
2003-05-01,42.95
2003-06-01,40.18
2003-07-01,38.23
2003-08-01,35.42
2003-09-01,34.73
2003-10-01,30.18
2003-11-01,28.72
2003-12-01,27.74
2004-01-01,25.33
2004-02-01,24.05
2004-03-01,23.51
2004-04-01,23.02
2004-05-01,21.88
2004-06-01,21.72
2004-07-01,21.67
2004-08-01,21.9
2004-09-01,21.74
2004-10-01,21.6
2004-11-01,21.43
2004-12-01,21.11
2005-01-01,20.55
2005-02-01,19.09
2005-03-01,17.96
2005-04-01,17.49
2005-05-01,17.25
2005-06-01,17.31
2005-07-01,17.23
2005-08-01,17.52
2005-09-01,17.02
2005-10-01,16.99
2005-11-01,16.72
2005-12-01,16.85
2006-01-01,16.37
2006-02-01,16.23
2006-03-01,15.93
2006-04-01,15.57
2006-05-01,15.28
2006-06-01,15.94
2006-07-01,17.66
2006-08-01,17.99
2006-09-01,18.6
2006-10-01,18.51
2006-11-01,18.8
2006-12-01,19.12
2007-01-01,19.23
2007-02-01,19.15
2007-03-01,18.68
2007-04-01,18.52
2007-05-01,18.57
2007-06-01,18.58
2007-07-01,18.45
2007-08-01,18.32
2007-09-01,18.32
2007-10-01,17.94
2007-11-01,17.61
2007-12-01,17.54
2008-01-01,17.12
2008-02-01,16.91
2008-03-01,16.91
2008-04-01,16.97
2008-05-01,17.53
2008-06-01,18.03
2008-07-01,18.64
2008-08-01,18.87
2008-09-01,19.1
2008-10-01,19.28
2008-11-01,20.66
2008-12-01,20.04
2009-01-01,16.78
2009-02-01,14.07
2009-03-01,12.9
2009-04-01,12.51
2009-05-01,12.28
2009-06-01,12.4
2009-07-01,12.0
2009-08-01,10.81
2009-09-01,10.01
2009-10-01,9.25
2009-11-01,8.82
2009-12-01,9.33
2010-01-01,9.09
2010-02-01,8.81
2010-03-01,8.98
2010-04-01,8.91
2010-05-01,9.2
2010-06-01,9.51
2010-07-01,9.31
2010-08-01,9.02
2010-09-01,8.94
2010-10-01,8.73
2010-11-01,8.74
2010-12-01,8.8
2011-01-01,8.17
2011-02-01,8.07
2011-03-01,8.16
2011-04-01,8.45
2011-05-01,8.95
2011-06-01,9.39
2011-07-01,9.69
2011-08-01,9.47
2011-09-01,9.06
2011-10-01,8.97
2011-11-01,9.54
2011-12-01,10.67
2012-01-01,10.93
2012-02-01,10.82
2012-03-01,10.38
2012-04-01,10.4
2012-05-01,10.56
2012-06-01,10.88
2012-07-01,10.54
2012-08-01,9.84
2012-09-01,9.21
2012-10-01,8.65
2012-11-01,8.36
2012-12-01,8.13
2013-01-01,7.85
2013-02-01,7.46
2013-03-01,7.14
2013-04-01,7.01
2013-05-01,6.59
2013-06-01,6.7
2013-07-01,7.63
