Tarih,TP_MT210AGS_TRY_MT03
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,42.47
2000-07-01,38.49
2000-08-01,37.81
2000-09-01,41.02
2000-10-01,42.85
2000-11-01,49.61
2000-12-01,41.86
2001-01-01,41.71
2001-02-01,45.91
2001-03-01,85.76
2001-04-01,82.62
2001-05-01,74.99
2001-06-01,72.45
2001-07-01,72.21
2001-08-01,67.09
2001-09-01,66.9
2001-10-01,63.0
2001-11-01,62.14
2001-12-01,64.43
2002-01-01,61.7
2002-02-01,60.68
2002-03-01,58.83
2002-04-01,53.09
2002-05-01,51.1
2002-06-01,52.31
2002-07-01,52.62
2002-08-01,51.85
2002-09-01,51.23
2002-10-01,50.33
2002-11-01,48.58
2002-12-01,49.17
2003-01-01,48.44
2003-02-01,47.41
2003-03-01,47.46
2003-04-01,45.89
2003-05-01,44.09
2003-06-01,42.54
2003-07-01,39.88
2003-08-01,37.38
2003-09-01,35.57
2003-10-01,31.25
2003-11-01,30.0
2003-12-01,29.29
2004-01-01,26.33
2004-02-01,25.46
2004-03-01,24.99
2004-04-01,23.49
2004-05-01,22.98
2004-06-01,22.46
2004-07-01,22.24
2004-08-01,22.24
2004-09-01,22.25
2004-10-01,22.23
2004-11-01,22.18
2004-12-01,21.9
2005-01-01,21.5
2005-02-01,19.97
2005-03-01,19.78
2005-04-01,18.79
2005-05-01,18.34
2005-06-01,18.14
2005-07-01,18.05
2005-08-01,17.96
2005-09-01,17.65
2005-10-01,17.27
2005-11-01,17.19
2005-12-01,17.41
2006-01-01,17.06
2006-02-01,17.03
2006-03-01,16.5
2006-04-01,15.76
2006-05-01,15.2
2006-06-01,15.88
2006-07-01,16.28
2006-08-01,17.01
2006-09-01,17.67
2006-10-01,18.08
2006-11-01,18.95
2006-12-01,18.4
2007-01-01,19.25
2007-02-01,19.14
2007-03-01,18.86
2007-04-01,18.68
2007-05-01,18.53
2007-06-01,18.62
2007-07-01,18.57
2007-08-01,18.57
2007-09-01,18.51
2007-10-01,18.23
2007-11-01,17.96
2007-12-01,17.78
2008-01-01,17.32
2008-02-01,17.17
2008-03-01,16.83
2008-04-01,16.62
2008-05-01,16.83
2008-06-01,16.87
2008-07-01,17.86
2008-08-01,18.33
2008-09-01,18.47
2008-10-01,18.25
2008-11-01,18.64
2008-12-01,18.6
2009-01-01,18.13
2009-02-01,16.52
2009-03-01,14.94
2009-04-01,13.42
2009-05-01,12.57
2009-06-01,12.23
2009-07-01,11.88
2009-08-01,11.37
2009-09-01,10.49
2009-10-01,9.71
2009-11-01,9.34
2009-12-01,9.13
2010-01-01,8.9
2010-02-01,8.86
2010-03-01,8.81
2010-04-01,8.88
2010-05-01,8.95
2010-06-01,9.11
2010-07-01,8.99
2010-08-01,8.97
2010-09-01,8.89
2010-10-01,8.89
2010-11-01,8.86
2010-12-01,8.78
2011-01-01,8.51
2011-02-01,8.45
2011-03-01,8.5
2011-04-01,8.96
2011-05-01,9.26
2011-06-01,9.65
2011-07-01,10.12
2011-08-01,10.22
2011-09-01,9.94
2011-10-01,9.56
2011-11-01,9.53
2011-12-01,10.36
2012-01-01,11.06
2012-02-01,11.38
2012-03-01,11.1
2012-04-01,10.84
2012-05-01,10.71
2012-06-01,10.87
2012-07-01,10.71
2012-08-01,10.38
2012-09-01,9.61
2012-10-01,9.15
2012-11-01,8.81
2012-12-01,8.48
2013-01-01,8.25
2013-02-01,8.03
2013-03-01,7.69
2013-04-01,7.44
2013-05-01,7.09
2013-06-01,7.06
2013-07-01,7.19
