Tarih,TP_MT210AGS_EUR_MT02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,8.59
2000-07-01,5.23
2000-08-01,8.56
2000-09-01,6.73
2000-10-01,5.99
2000-11-01,9.18
2000-12-01,7.39
2001-01-01,8.88
2001-02-01,10.3
2001-03-01,12.0
2001-04-01,12.49
2001-05-01,10.33
2001-06-01,8.87
2001-07-01,7.88
2001-08-01,6.42
2001-09-01,6.34
2001-10-01,5.27
2001-11-01,4.72
2001-12-01,4.36
2002-01-01,3.93
2002-02-01,3.75
2002-03-01,3.64
2002-04-01,3.65
2002-05-01,3.7
2002-06-01,3.61
2002-07-01,3.66
2002-08-01,3.75
2002-09-01,3.83
2002-10-01,3.87
2002-11-01,3.87
2002-12-01,3.73
2003-01-01,3.7
2003-02-01,3.71
2003-03-01,3.97
2003-04-01,3.83
2003-05-01,3.8
2003-06-01,3.63
2003-07-01,3.37
2003-08-01,3.24
2003-09-01,3.33
2003-10-01,3.3
2003-11-01,3.29
2003-12-01,3.21
2004-01-01,3.15
2004-02-01,3.1
2004-03-01,3.11
2004-04-01,3.11
2004-05-01,3.18
2004-06-01,3.35
2004-07-01,3.42
2004-08-01,3.24
2004-09-01,3.14
2004-10-01,3.2
2004-11-01,3.0
2004-12-01,2.95
2005-01-01,2.81
2005-02-01,2.73
2005-03-01,2.73
2005-04-01,2.73
2005-05-01,2.75
2005-06-01,2.78
2005-07-01,2.86
2005-08-01,3.04
2005-09-01,2.95
2005-10-01,2.91
2005-11-01,3.02
2005-12-01,2.87
2006-01-01,2.79
2006-02-01,2.86
2006-03-01,2.95
2006-04-01,3.05
2006-05-01,3.06
2006-06-01,3.13
2006-07-01,3.17
2006-08-01,3.19
2006-09-01,3.18
2006-10-01,3.09
2006-11-01,3.18
2006-12-01,3.2
2007-01-01,3.18
2007-02-01,3.2
2007-03-01,3.18
2007-04-01,3.32
2007-05-01,3.17
2007-06-01,3.25
2007-07-01,3.2
2007-08-01,3.31
2007-09-01,3.39
2007-10-01,3.4
2007-11-01,3.53
2007-12-01,3.59
2008-01-01,3.59
2008-02-01,3.53
2008-03-01,3.64
2008-04-01,3.75
2008-05-01,4.02
2008-06-01,3.96
2008-07-01,4.08
2008-08-01,4.21
2008-09-01,4.24
2008-10-01,4.66
2008-11-01,5.07
2008-12-01,4.9
2009-01-01,4.12
2009-02-01,3.65
2009-03-01,3.47
2009-04-01,3.45
2009-05-01,3.43
2009-06-01,3.37
2009-07-01,3.27
2009-08-01,2.74
2009-09-01,2.37
2009-10-01,2.18
2009-11-01,2.04
2009-12-01,2.21
2010-01-01,2.12
2010-02-01,2.09
2010-03-01,2.29
2010-04-01,2.37
2010-05-01,2.65
2010-06-01,2.92
2010-07-01,2.93
2010-08-01,2.64
2010-09-01,2.59
2010-10-01,2.43
2010-11-01,2.4
2010-12-01,2.64
2011-01-01,2.78
2011-02-01,2.86
2011-03-01,3.05
2011-04-01,3.11
2011-05-01,3.34
2011-06-01,3.53
2011-07-01,3.66
2011-08-01,3.64
2011-09-01,3.55
2011-10-01,3.54
2011-11-01,3.66
2011-12-01,4.09
2012-01-01,4.11
2012-02-01,3.94
2012-03-01,3.61
2012-04-01,3.47
2012-05-01,3.28
2012-06-01,3.48
2012-07-01,3.38
2012-08-01,3.08
2012-09-01,2.93
2012-10-01,2.85
2012-11-01,2.76
2012-12-01,2.69
2013-01-01,2.59
2013-02-01,2.4
2013-03-01,2.29
2013-04-01,2.27
2013-05-01,2.18
2013-06-01,2.22
2013-07-01,2.49
