Tarih,TP_MT210AGS_EUR_MT01
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,5.96
2000-07-01,5.71
2000-08-01,7.34
2000-09-01,7.34
2000-10-01,8.47
2000-11-01,11.83
2000-12-01,12.68
2001-01-01,11.61
2001-02-01,24.97
2001-03-01,12.72
2001-04-01,13.55
2001-05-01,7.45
2001-06-01,6.02
2001-07-01,6.66
2001-08-01,6.01
2001-09-01,5.19
2001-10-01,4.79
2001-11-01,4.29
2001-12-01,3.83
2002-01-01,3.54
2002-02-01,3.4
2002-03-01,3.38
2002-04-01,3.36
2002-05-01,3.39
2002-06-01,3.37
2002-07-01,3.38
2002-08-01,3.44
2002-09-01,3.5
2002-10-01,3.49
2002-11-01,3.49
2002-12-01,3.53
2003-01-01,3.49
2003-02-01,3.33
2003-03-01,3.73
2003-04-01,3.78
2003-05-01,3.4
2003-06-01,3.23
2003-07-01,2.84
2003-08-01,2.83
2003-09-01,2.86
2003-10-01,2.83
2003-11-01,2.76
2003-12-01,2.81
2004-01-01,2.69
2004-02-01,2.73
2004-03-01,2.68
2004-04-01,2.66
2004-05-01,2.74
2004-06-01,2.87
2004-07-01,2.86
2004-08-01,2.8
2004-09-01,2.72
2004-10-01,2.76
2004-11-01,2.61
2004-12-01,2.57
2005-01-01,2.44
2005-02-01,2.22
2005-03-01,2.33
2005-04-01,2.42
2005-05-01,2.35
2005-06-01,2.42
2005-07-01,2.4
2005-08-01,2.53
2005-09-01,2.48
2005-10-01,2.4
2005-11-01,2.47
2005-12-01,2.26
2006-01-01,2.24
2006-02-01,2.24
2006-03-01,2.43
2006-04-01,2.49
2006-05-01,2.52
2006-06-01,2.61
2006-07-01,2.68
2006-08-01,2.8
2006-09-01,2.82
2006-10-01,2.81
2006-11-01,2.84
2006-12-01,2.89
2007-01-01,2.95
2007-02-01,2.92
2007-03-01,3.09
2007-04-01,3.19
2007-05-01,3.01
2007-06-01,3.06
2007-07-01,3.06
2007-08-01,3.1
2007-09-01,3.14
2007-10-01,3.21
2007-11-01,3.23
2007-12-01,3.37
2008-01-01,3.22
2008-02-01,3.14
2008-03-01,3.16
2008-04-01,3.35
2008-05-01,3.39
2008-06-01,3.5
2008-07-01,3.52
2008-08-01,3.72
2008-09-01,3.77
2008-10-01,4.14
2008-11-01,4.1
2008-12-01,3.75
2009-01-01,2.86
2009-02-01,2.75
2009-03-01,2.76
2009-04-01,2.71
2009-05-01,2.57
2009-06-01,2.58
2009-07-01,2.35
2009-08-01,2.07
2009-09-01,1.82
2009-10-01,1.69
2009-11-01,1.65
2009-12-01,1.77
2010-01-01,1.71
2010-02-01,1.69
2010-03-01,1.81
2010-04-01,1.8
2010-05-01,1.93
2010-06-01,2.28
2010-07-01,1.99
2010-08-01,1.94
2010-09-01,1.92
2010-10-01,1.82
2010-11-01,1.87
2010-12-01,1.98
2011-01-01,1.97
2011-02-01,2.09
2011-03-01,1.98
2011-04-01,1.88
2011-05-01,2.19
2011-06-01,2.14
2011-07-01,2.33
2011-08-01,2.21
2011-09-01,2.07
2011-10-01,2.19
2011-11-01,2.26
2011-12-01,2.33
2012-01-01,2.36
2012-02-01,2.04
2012-03-01,1.8
2012-04-01,1.84
2012-05-01,2.03
2012-06-01,1.7
2012-07-01,1.92
2012-08-01,1.83
2012-09-01,1.61
2012-10-01,1.5
2012-11-01,1.55
2012-12-01,1.53
2013-01-01,1.48
2013-02-01,1.45
2013-03-01,1.36
2013-04-01,1.34
2013-05-01,1.29
2013-06-01,1.33
2013-07-01,1.46
