Tarih,TP_MT210AGS_USD_MT04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,9.65
2000-07-01,9.61
2000-08-01,9.12
2000-09-01,9.77
2000-10-01,9.68
2000-11-01,9.86
2000-12-01,9.61
2001-01-01,8.33
2001-02-01,9.86
2001-03-01,10.23
2001-04-01,10.14
2001-05-01,9.64
2001-06-01,9.31
2001-07-01,8.98
2001-08-01,8.54
2001-09-01,8.1
2001-10-01,7.81
2001-11-01,7.37
2001-12-01,6.08
2002-01-01,5.46
2002-02-01,5.42
2002-03-01,4.75
2002-04-01,5.5
2002-05-01,4.57
2002-06-01,4.28
2002-07-01,4.24
2002-08-01,4.21
2002-09-01,4.19
2002-10-01,4.13
2002-11-01,4.14
2002-12-01,3.83
2003-01-01,3.8
2003-02-01,3.73
2003-03-01,3.76
2003-04-01,3.84
2003-05-01,3.68
2003-06-01,3.68
2003-07-01,3.48
2003-08-01,3.45
2003-09-01,3.7
2003-10-01,3.69
2003-11-01,3.73
2003-12-01,3.6
2004-01-01,3.69
2004-02-01,3.56
2004-03-01,3.47
2004-04-01,3.49
2004-05-01,3.2
2004-06-01,3.02
2004-07-01,3.57
2004-08-01,3.48
2004-09-01,3.39
2004-10-01,3.55
2004-11-01,3.55
2004-12-01,3.53
2005-01-01,3.53
2005-02-01,3.26
2005-03-01,3.6
2005-04-01,3.52
2005-05-01,3.26
2005-06-01,3.31
2005-07-01,3.34
2005-08-01,3.27
2005-09-01,3.28
2005-10-01,3.37
2005-11-01,3.35
2005-12-01,3.37
2006-01-01,3.48
2006-02-01,3.78
2006-03-01,3.92
2006-04-01,4.07
2006-05-01,4.17
2006-06-01,4.51
2006-07-01,4.57
2006-08-01,4.49
2006-09-01,4.48
2006-10-01,4.9
2006-11-01,4.82
2006-12-01,4.85
2007-01-01,4.82
2007-02-01,4.93
2007-03-01,4.92
2007-04-01,4.96
2007-05-01,4.74
2007-06-01,4.73
2007-07-01,4.74
2007-08-01,4.71
2007-09-01,4.63
2007-10-01,4.62
2007-11-01,4.74
2007-12-01,4.34
2008-01-01,4.3
2008-02-01,4.7
2008-03-01,4.67
2008-04-01,4.55
2008-05-01,4.56
2008-06-01,4.54
2008-07-01,4.19
2008-08-01,4.14
2008-09-01,4.12
2008-10-01,4.56
2008-11-01,4.58
2008-12-01,4.54
2009-01-01,4.57
2009-02-01,4.64
2009-03-01,4.55
2009-04-01,4.51
2009-05-01,4.46
2009-06-01,4.33
2009-07-01,4.36
2009-08-01,4.27
2009-09-01,4.21
2009-10-01,4.09
2009-11-01,4.14
2009-12-01,2.95
2010-01-01,2.88
2010-02-01,2.64
2010-03-01,2.47
2010-04-01,2.41
2010-05-01,2.35
2010-06-01,2.3
2010-07-01,2.37
2010-08-01,2.34
2010-09-01,2.33
2010-10-01,2.3
2010-11-01,2.4
2010-12-01,2.7
2011-01-01,2.54
2011-02-01,2.53
2011-03-01,2.68
2011-04-01,2.85
2011-05-01,3.07
2011-06-01,3.1
2011-07-01,3.33
2011-08-01,3.49
2011-09-01,3.43
2011-10-01,3.49
2011-11-01,3.36
2011-12-01,3.41
2012-01-01,3.35
2012-02-01,3.57
2012-03-01,3.63
2012-04-01,3.61
2012-05-01,3.67
2012-06-01,3.61
2012-07-01,3.62
2012-08-01,3.54
2012-09-01,3.58
2012-10-01,3.56
2012-11-01,3.44
2012-12-01,3.03
2013-01-01,3.0
2013-02-01,2.87
2013-03-01,2.79
2013-04-01,2.69
2013-05-01,2.57
2013-06-01,2.64
2013-07-01,2.68
