Tarih,TP_MT210AGS_TRY_MT01
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,50.95
2000-07-01,35.58
2000-08-01,39.57
2000-09-01,48.72
2000-10-01,50.13
2000-11-01,97.92
2000-12-01,86.35
2001-01-01,58.58
2001-02-01,7021.71
2001-03-01,109.4
2001-04-01,99.21
2001-05-01,78.42
2001-06-01,71.0
2001-07-01,71.56
2001-08-01,69.49
2001-09-01,69.41
2001-10-01,69.88
2001-11-01,66.34
2001-12-01,64.7
2002-01-01,64.23
2002-02-01,61.98
2002-03-01,58.02
2002-04-01,53.74
2002-05-01,51.04
2002-06-01,50.59
2002-07-01,51.31
2002-08-01,50.91
2002-09-01,51.42
2002-10-01,50.54
2002-11-01,48.68
2002-12-01,47.16
2003-01-01,47.71
2003-02-01,47.78
2003-03-01,47.93
2003-04-01,44.79
2003-05-01,43.06
2003-06-01,41.78
2003-07-01,38.37
2003-08-01,35.48
2003-09-01,35.47
2003-10-01,31.7
2003-11-01,30.86
2003-12-01,30.0
2004-01-01,25.98
2004-02-01,24.59
2004-03-01,22.94
2004-04-01,22.24
2004-05-01,22.05
2004-06-01,22.13
2004-07-01,22.37
2004-08-01,22.27
2004-09-01,21.4
2004-10-01,21.16
2004-11-01,20.99
2004-12-01,20.57
2005-01-01,19.07
2005-02-01,17.71
2005-03-01,17.2
2005-04-01,16.97
2005-05-01,16.93
2005-06-01,17.2
2005-07-01,16.86
2005-08-01,16.93
2005-09-01,16.68
2005-10-01,16.31
2005-11-01,15.89
2005-12-01,15.91
2006-01-01,15.39
2006-02-01,15.28
2006-03-01,14.97
2006-04-01,14.61
2006-05-01,14.43
2006-06-01,16.12
2006-07-01,17.19
2006-08-01,17.22
2006-09-01,17.57
2006-10-01,17.68
2006-11-01,17.9
2006-12-01,18.1
2007-01-01,18.28
2007-02-01,18.04
2007-03-01,18.03
2007-04-01,17.86
2007-05-01,17.77
2007-06-01,17.74
2007-07-01,17.47
2007-08-01,17.53
2007-09-01,17.38
2007-10-01,17.09
2007-11-01,16.8
2007-12-01,16.86
2008-01-01,16.23
2008-02-01,16.06
2008-03-01,16.18
2008-04-01,16.16
2008-05-01,16.68
2008-06-01,17.36
2008-07-01,17.53
2008-08-01,17.53
2008-09-01,17.84
2008-10-01,18.51
2008-11-01,18.81
2008-12-01,18.15
2009-01-01,14.91
2009-02-01,12.8
2009-03-01,11.78
2009-04-01,11.48
2009-05-01,11.08
2009-06-01,11.21
2009-07-01,10.71
2009-08-01,9.72
2009-09-01,8.84
2009-10-01,8.17
2009-11-01,7.88
2009-12-01,8.29
2010-01-01,8.07
2010-02-01,7.81
2010-03-01,8.05
2010-04-01,8.06
2010-05-01,8.25
2010-06-01,8.45
2010-07-01,8.19
2010-08-01,7.98
2010-09-01,7.97
2010-10-01,7.76
2010-11-01,7.82
2010-12-01,7.69
2011-01-01,6.95
2011-02-01,6.84
2011-03-01,6.89
2011-04-01,6.94
2011-05-01,6.75
2011-06-01,7.02
2011-07-01,7.32
2011-08-01,7.32
2011-09-01,7.13
2011-10-01,7.31
2011-11-01,8.19
2011-12-01,8.94
2012-01-01,8.67
2012-02-01,8.19
2012-03-01,8.59
2012-04-01,8.66
2012-05-01,8.9
2012-06-01,8.97
2012-07-01,8.22
2012-08-01,7.55
2012-09-01,7.38
2012-10-01,6.91
2012-11-01,6.79
2012-12-01,6.68
2013-01-01,6.3
2013-02-01,5.92
2013-03-01,5.99
2013-04-01,5.69
2013-05-01,5.29
2013-06-01,5.94
2013-07-01,6.5
