Tarih,TP_MT210AGS_TRY_MT04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,44.53
2000-07-01,42.99
2000-08-01,41.53
2000-09-01,47.06
2000-10-01,42.38
2000-11-01,60.85
2000-12-01,173.42
2001-01-01,30.73
2001-02-01,32.89
2001-03-01,89.53
2001-04-01,50.1
2001-05-01,69.88
2001-06-01,52.51
2001-07-01,53.67
2001-08-01,54.32
2001-09-01,52.58
2001-10-01,52.74
2001-11-01,58.75
2001-12-01,61.31
2002-01-01,60.1
2002-02-01,60.0
2002-03-01,59.21
2002-04-01,54.46
2002-05-01,53.65
2002-06-01,53.35
2002-07-01,53.61
2002-08-01,52.99
2002-09-01,51.35
2002-10-01,52.59
2002-11-01,50.11
2002-12-01,49.18
2003-01-01,47.72
2003-02-01,47.05
2003-03-01,46.54
2003-04-01,47.36
2003-05-01,44.42
2003-06-01,44.51
2003-07-01,42.13
2003-08-01,41.16
2003-09-01,42.11
2003-10-01,37.73
2003-11-01,36.19
2003-12-01,32.64
2004-01-01,27.33
2004-02-01,26.86
2004-03-01,26.54
2004-04-01,24.86
2004-05-01,24.54
2004-06-01,23.81
2004-07-01,23.82
2004-08-01,23.35
2004-09-01,22.87
2004-10-01,23.21
2004-11-01,23.07
2004-12-01,22.31
2005-01-01,20.83
2005-02-01,19.49
2005-03-01,19.42
2005-04-01,19.18
2005-05-01,19.18
2005-06-01,18.94
2005-07-01,18.63
2005-08-01,18.18
2005-09-01,17.36
2005-10-01,16.85
2005-11-01,16.98
2005-12-01,16.57
2006-01-01,16.29
2006-02-01,16.45
2006-03-01,16.43
2006-04-01,16.19
2006-05-01,15.85
2006-06-01,16.32
2006-07-01,16.24
2006-08-01,16.37
2006-09-01,16.49
2006-10-01,16.34
2006-11-01,16.69
2006-12-01,16.99
2007-01-01,17.63
2007-02-01,18.02
2007-03-01,18.32
2007-04-01,18.32
2007-05-01,18.23
2007-06-01,18.19
2007-07-01,18.16
2007-08-01,18.06
2007-09-01,18.05
2007-10-01,17.93
2007-11-01,17.9
2007-12-01,17.15
2008-01-01,16.95
2008-02-01,17.26
2008-03-01,16.95
2008-04-01,16.82
2008-05-01,16.85
2008-06-01,16.78
2008-07-01,18.3
2008-08-01,18.61
2008-09-01,18.59
2008-10-01,18.76
2008-11-01,19.11
2008-12-01,19.12
2009-01-01,18.86
2009-02-01,17.43
2009-03-01,16.94
2009-04-01,16.44
2009-05-01,16.17
2009-06-01,15.33
2009-07-01,13.56
2009-08-01,12.78
2009-09-01,12.15
2009-10-01,11.67
2009-11-01,10.87
2009-12-01,10.31
2010-01-01,10.03
2010-02-01,9.86
2010-03-01,9.3
2010-04-01,9.23
2010-05-01,9.13
2010-06-01,9.16
2010-07-01,9.23
2010-08-01,9.08
2010-09-01,9.16
2010-10-01,9.03
2010-11-01,9.04
2010-12-01,8.97
2011-01-01,8.5
2011-02-01,8.29
2011-03-01,8.38
2011-04-01,8.69
2011-05-01,8.79
2011-06-01,9.1
2011-07-01,9.65
2011-08-01,9.79
2011-09-01,9.79
2011-10-01,9.76
2011-11-01,9.82
2011-12-01,10.05
2012-01-01,10.08
2012-02-01,10.03
2012-03-01,10.2
2012-04-01,10.48
2012-05-01,10.57
2012-06-01,10.53
2012-07-01,10.42
2012-08-01,10.38
2012-09-01,10.01
2012-10-01,9.8
2012-11-01,9.48
2012-12-01,8.84
2013-01-01,8.34
2013-02-01,8.08
2013-03-01,7.85
2013-04-01,7.76
2013-05-01,7.56
2013-06-01,7.53
2013-07-01,7.63
