Tarih,TP_MT210AGS_TRY_MT06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,45.05
2000-07-01,38.32
2000-08-01,38.04
2000-09-01,42.85
2000-10-01,44.95
2000-11-01,66.42
2000-12-01,79.3
2001-01-01,62.54
2001-02-01,3718.02
2001-03-01,109.85
2001-04-01,106.11
2001-05-01,84.64
2001-06-01,75.82
2001-07-01,73.53
2001-08-01,70.01
2001-09-01,70.57
2001-10-01,69.3
2001-11-01,66.41
2001-12-01,65.76
2002-01-01,63.84
2002-02-01,62.65
2002-03-01,60.19
2002-04-01,53.14
2002-05-01,51.1
2002-06-01,50.13
2002-07-01,50.92
2002-08-01,51.4
2002-09-01,50.9
2002-10-01,50.19
2002-11-01,48.0
2002-12-01,47.13
2003-01-01,47.11
2003-02-01,46.89
2003-03-01,46.84
2003-04-01,44.77
2003-05-01,42.84
2003-06-01,40.87
2003-07-01,38.4
2003-08-01,35.77
2003-09-01,35.18
2003-10-01,30.9
2003-11-01,29.68
2003-12-01,28.76
2004-01-01,25.62
2004-02-01,24.34
2004-03-01,23.5
2004-04-01,22.85
2004-05-01,22.02
2004-06-01,21.89
2004-07-01,21.85
2004-08-01,21.95
2004-09-01,21.59
2004-10-01,21.4
2004-11-01,21.34
2004-12-01,20.96
2005-01-01,20.19
2005-02-01,18.82
2005-03-01,17.88
2005-04-01,17.46
2005-05-01,17.28
2005-06-01,17.36
2005-07-01,17.24
2005-08-01,17.4
2005-09-01,16.96
2005-10-01,16.78
2005-11-01,16.55
2005-12-01,16.62
2006-01-01,16.15
2006-02-01,16.05
2006-03-01,15.66
2006-04-01,15.28
2006-05-01,14.96
2006-06-01,15.93
2006-07-01,17.33
2006-08-01,17.59
2006-09-01,18.09
2006-10-01,18.09
2006-11-01,18.4
2006-12-01,18.64
2007-01-01,18.9
2007-02-01,18.77
2007-03-01,18.46
2007-04-01,18.28
2007-05-01,18.28
2007-06-01,18.3
2007-07-01,18.13
2007-08-01,18.07
2007-09-01,18.05
2007-10-01,17.7
2007-11-01,17.41
2007-12-01,17.32
2008-01-01,16.85
2008-02-01,16.66
2008-03-01,16.66
2008-04-01,16.67
2008-05-01,17.23
2008-06-01,17.74
2008-07-01,18.2
2008-08-01,18.43
2008-09-01,18.66
2008-10-01,18.93
2008-11-01,19.96
2008-12-01,19.34
2009-01-01,16.23
2009-02-01,13.75
2009-03-01,12.62
2009-04-01,12.25
2009-05-01,11.97
2009-06-01,12.05
2009-07-01,11.61
2009-08-01,10.5
2009-09-01,9.68
2009-10-01,8.96
2009-11-01,8.58
2009-12-01,9.03
2010-01-01,8.76
2010-02-01,8.49
2010-03-01,8.67
2010-04-01,8.63
2010-05-01,8.87
2010-06-01,9.13
2010-07-01,8.93
2010-08-01,8.68
2010-09-01,8.62
2010-10-01,8.43
2010-11-01,8.43
2010-12-01,8.5
2011-01-01,7.85
2011-02-01,7.78
2011-03-01,7.89
2011-04-01,8.2
2011-05-01,8.55
2011-06-01,9.01
2011-07-01,9.31
2011-08-01,9.2
2011-09-01,8.87
2011-10-01,8.79
2011-11-01,9.31
2011-12-01,10.31
2012-01-01,10.55
2012-02-01,10.42
2012-03-01,10.14
2012-04-01,10.16
2012-05-01,10.31
2012-06-01,10.57
2012-07-01,10.16
2012-08-01,9.54
2012-09-01,8.97
2012-10-01,8.42
2012-11-01,8.16
2012-12-01,7.92
2013-01-01,7.66
2013-02-01,7.29
2013-03-01,7.04
2013-04-01,6.89
2013-05-01,6.48
2013-06-01,6.65
2013-07-01,7.4
