Tarih,TP_MT210AGS_TRY_MT05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,42.93
2000-07-01,41.65
2000-08-01,39.14
2000-09-01,42.0
2000-10-01,37.89
2000-11-01,44.54
2000-12-01,104.45
2001-01-01,36.63
2001-02-01,32.92
2001-03-01,50.4
2001-04-01,53.14
2001-05-01,50.64
2001-06-01,51.33
2001-07-01,44.05
2001-08-01,42.66
2001-09-01,51.88
2001-10-01,51.72
2001-11-01,54.08
2001-12-01,56.39
2002-01-01,54.84
2002-02-01,54.67
2002-03-01,55.74
2002-04-01,51.78
2002-05-01,53.07
2002-06-01,55.07
2002-07-01,56.14
2002-08-01,55.36
2002-09-01,56.44
2002-10-01,53.86
2002-11-01,50.71
2002-12-01,50.61
2003-01-01,51.28
2003-02-01,48.83
2003-03-01,48.06
2003-04-01,46.96
2003-05-01,46.13
2003-06-01,45.49
2003-07-01,44.7
2003-08-01,44.34
2003-09-01,40.36
2003-10-01,34.5
2003-11-01,34.97
2003-12-01,32.23
2004-01-01,26.05
2004-02-01,23.87
2004-03-01,22.3
2004-04-01,22.73
2004-05-01,21.5
2004-06-01,21.93
2004-07-01,21.52
2004-08-01,21.68
2004-09-01,21.1
2004-10-01,20.05
2004-11-01,20.2
2004-12-01,19.45
2005-01-01,19.52
2005-02-01,19.22
2005-03-01,16.74
2005-04-01,16.35
2005-05-01,15.95
2005-06-01,15.95
2005-07-01,16.31
2005-08-01,16.7
2005-09-01,16.15
2005-10-01,15.98
2005-11-01,16.64
2005-12-01,15.89
2006-01-01,15.5
2006-02-01,15.44
2006-03-01,13.07
2006-04-01,12.9
2006-05-01,12.74
2006-06-01,12.67
2006-07-01,14.61
2006-08-01,14.06
2006-09-01,13.61
2006-10-01,12.89
2006-11-01,12.68
2006-12-01,12.43
2007-01-01,17.02
2007-02-01,17.03
2007-03-01,16.81
2007-04-01,15.17
2007-05-01,15.14
2007-06-01,14.97
2007-07-01,14.9
2007-08-01,14.92
2007-09-01,17.51
2007-10-01,17.48
2007-11-01,17.34
2007-12-01,17.29
2008-01-01,17.15
2008-02-01,17.09
2008-03-01,17.31
2008-04-01,17.02
2008-05-01,17.08
2008-06-01,16.87
2008-07-01,16.83
2008-08-01,16.84
2008-09-01,16.65
2008-10-01,16.7
2008-11-01,16.85
2008-12-01,17.68
2009-01-01,17.37
2009-02-01,16.72
2009-03-01,16.16
2009-04-01,15.79
2009-05-01,15.55
2009-06-01,15.38
2009-07-01,14.45
2009-08-01,13.62
2009-09-01,12.7
2009-10-01,12.26
2009-11-01,11.97
2009-12-01,11.43
2010-01-01,11.04
2010-02-01,10.31
2010-03-01,10.21
2010-04-01,9.82
2010-05-01,9.72
2010-06-01,9.62
2010-07-01,9.38
2010-08-01,9.17
2010-09-01,9.03
2010-10-01,8.7
2010-11-01,8.6
2010-12-01,8.86
2011-01-01,8.77
2011-02-01,8.61
2011-03-01,8.55
2011-04-01,8.75
2011-05-01,8.82
2011-06-01,8.87
2011-07-01,9.01
2011-08-01,9.2
2011-09-01,9.2
2011-10-01,9.23
2011-11-01,9.19
2011-12-01,9.61
2012-01-01,9.71
2012-02-01,9.96
2012-03-01,9.98
2012-04-01,10.03
2012-05-01,10.04
2012-06-01,10.04
2012-07-01,9.97
2012-08-01,9.91
2012-09-01,9.88
2012-10-01,9.88
2012-11-01,9.8
2012-12-01,9.32
2013-01-01,9.02
2013-02-01,8.57
2013-03-01,8.34
2013-04-01,8.21
2013-05-01,7.99
2013-06-01,7.86
2013-07-01,7.79
