Tarih,TP_YI22
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,157.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,136.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,279.0
2005-01-01,4.0
2005-02-01,5.0
2005-03-01,3.0
2005-04-01,30.0
2005-05-01,4.0
2005-06-01,5.0
2005-07-01,7.0
2005-08-01,2.0
2005-09-01,4.0
2005-10-01,6.0
2005-11-01,46.0
2005-12-01,23.0
2006-01-01,2.0
2006-02-01,21.0
2006-03-01,3.0
2006-04-01,8.0
2006-05-01,36.0
2006-06-01,7.0
2006-07-01,63.0
2006-08-01,75.0
2006-09-01,29.0
2006-10-01,33.0
2006-11-01,104.0
2006-12-01,30.0
2007-01-01,1010.0
2007-02-01,16.0
2007-03-01,92.0
2007-04-01,56.0
2007-05-01,106.0
2007-06-01,20.0
2007-07-01,154.0
2007-08-01,23.0
2007-09-01,57.0
2007-10-01,7.0
2007-11-01,110.0
2007-12-01,49.0
2008-01-01,48.0
2008-02-01,9.0
2008-03-01,48.0
2008-04-01,92.0
2008-05-01,203.0
2008-06-01,39.0
2008-07-01,34.0
2008-08-01,323.0
2008-09-01,29.0
2008-10-01,10.0
2008-11-01,10.0
2008-12-01,103.0
2009-01-01,452.0
2009-02-01,37.0
2009-03-01,14.0
2009-04-01,79.0
2009-05-01,34.0
2009-06-01,150.0
2009-07-01,85.0
2009-08-01,37.0
2009-09-01,29.0
2009-10-01,71.0
2009-11-01,97.0
2009-12-01,400.0
2010-01-01,17.0
2010-02-01,52.0
2010-03-01,184.0
2010-04-01,26.0
2010-05-01,180.0
2010-06-01,39.0
2010-07-01,72.0
2010-08-01,85.0
2010-09-01,69.0
2010-10-01,17.0
2010-11-01,24.0
2010-12-01,307.0
2011-01-01,602.0
2011-02-01,86.0
2011-03-01,100.0
2011-04-01,98.0
2011-05-01,48.0
2011-06-01,92.0
2011-07-01,55.0
2011-08-01,34.0
2011-09-01,52.0
2011-10-01,60.0
2011-11-01,185.0
2011-12-01,167.0
2012-01-01,24.0
2012-02-01,136.0
2012-03-01,89.0
2012-04-01,145.0
2012-05-01,30.0
2012-06-01,48.0
2012-07-01,80.0
2012-08-01,25.0
2012-09-01,62.0
2012-10-01,82.0
2012-11-01,262.0
2012-12-01,86.0
2013-01-01,101.0
2013-02-01,176.0
2013-03-01,83.0
2013-04-01,56.0
2013-05-01,140.0
2013-06-01,44.0
2013-07-01,88.0
2013-08-01,65.0
2013-09-01,102.0
2013-10-01,35.0
2013-11-01,214.0
2013-12-01,210.0
2014-01-01,117.0
2014-02-01,200.0
2014-03-01,93.0
2014-04-01,160.0
2014-05-01,176.0
2014-06-01,41.0
2014-07-01,74.0
2014-08-01,83.0
2014-09-01,130.0
2014-10-01,93.0
