Tarih,TP_DT_IT_FIY_D01_2010
2022-03-01,147.9451199159
2022-04-01,157.901213835
2022-05-01,150.8828008407
2022-06-01,152.6125656078
2022-07-01,150.4136781853
2022-08-01,151.605992532
2022-09-01,152.1169766525
2022-10-01,145.5267208475
2022-11-01,139.6977965776
2022-12-01,136.8068432039
2023-01-01,143.304626235
2023-02-01,136.6177881918
2023-03-01,132.4612872049
2023-04-01,130.9843331659
2023-05-01,130.6982855729
2023-06-01,127.5890262911
2023-07-01,126.5138723814
2023-08-01,127.6065549227
2023-09-01,126.4182399029
2023-10-01,127.5761650819
2023-11-01,128.7163520745
2023-12-01,129.6553648998
2024-01-01,130.565337941
2024-02-01,128.5148089456
2024-03-01,130.567620267
2024-04-01,131.7654597358
2024-05-01,133.1432297416
2024-06-01,130.1372783779
2024-07-01,131.1635212009
2024-08-01,132.050950685
2024-09-01,133.7318025825
2024-10-01,133.2281426493
2024-11-01,133.7445516446
2024-12-01,131.3342139177
2025-01-01,129.11150581
2025-02-01,132.337605747
2025-03-01,132.3207301783
2025-04-01,133.1599701197
2025-05-01,132.7836386629
2025-06-01,132.556798197
2025-07-01,131.6306213948
2025-08-01,132.7713267513
