Tarih,TP_MK_RES_YTL
2000-01-01,34.0
2000-02-01,37.75
2000-03-01,38.6
2000-04-01,38.875
2000-05-01,38.75
2000-06-01,38.8
2000-07-01,40.0
2000-08-01,42.375
2000-09-01,41.8
2000-10-01,42.125
2000-11-01,42.375
2000-12-01,41.75
2001-01-01,40.875
2001-02-01,42.625
2001-03-01,56.7
2001-04-01,69.25
2001-05-01,70.75
2001-06-01,75.1
2001-07-01,79.75
2001-08-01,87.8
2001-09-01,100.25
2001-10-01,107.75
2001-11-01,98.3
2001-12-01,95.0
2002-01-01,95.0
2002-02-01,94.0
2002-03-01,93.8
2002-04-01,96.5
2002-05-01,102.2
2002-06-01,113.5
2002-07-01,125.375
2002-08-01,118.4
2002-09-01,119.25
2002-10-01,115.25
2002-11-01,115.17
2002-12-01,127.333333
2003-01-01,134.1
2003-02-01,138.0
2003-03-01,137.25
2003-04-01,133.0
2003-05-01,130.2
2003-06-01,125.125
2003-07-01,134.0
2003-08-01,136.0
2003-09-01,134.5
2003-10-01,134.2
2003-11-01,139.0
2003-12-01,142.5
2004-01-01,136.0
2004-02-01,137.25
2004-03-01,136.25
2004-04-01,139.0
2004-05-01,140.0
2004-06-01,137.5
2004-07-01,138.2
2004-08-01,141.25
2004-09-01,143.0
2004-10-01,144.75
2004-11-01,152.75
2004-12-01,154.4
2005-01-01,155.0
2005-02-01,148.5
2005-03-01,153.25
2005-04-01,156.8
2005-05-01,156.0
2005-06-01,154.0
2005-07-01,156.0
2005-08-01,153.75
2005-09-01,154.2
2005-10-01,155.0
2005-11-01,152.67
2005-12-01,155.8
2006-01-01,175.67
2006-02-01,174.75
2006-03-01,173.8
2006-04-01,189.75
2006-05-01,232.0
2006-06-01,229.0
2006-07-01,221.75
2006-08-01,205.25
2006-09-01,205.6
2006-10-01,196.25
2006-11-01,207.75
2006-12-01,210.0
2007-01-01,205.75
2007-02-01,210.5
2007-03-01,211.2
2007-04-01,210.0
2007-05-01,210.5
2007-06-01,210.0
2007-07-01,207.5
2007-08-01,215.6
2007-09-01,211.0
2007-10-01,212.25
2007-11-01,218.2
2007-12-01,215.25
2008-01-01,223.0
2008-02-01,238.2
2008-03-01,269.5
2008-04-01,270.75
2008-05-01,254.6
2008-06-01,256.0
2008-07-01,263.0
2008-08-01,238.8
2008-09-01,236.0
2008-10-01,269.0
2008-11-01,260.0
2008-12-01,300.0
2009-01-01,320.0
2009-02-01,350.0
2009-03-01,359.5
2009-04-01,319.5
2009-05-01,324.2
2009-06-01,324.25
2009-07-01,320.0
2009-08-01,320.0
2009-09-01,330.0
2009-10-01,343.2
2009-11-01,371.0
2009-12-01,382.0
2010-01-01,363.0
2010-02-01,370.75
2010-03-01,381.0
2010-04-01,386.0
2010-05-01,413.5
2010-06-01,425.25
2010-07-01,424.0
2010-08-01,414.5
2010-09-01,427.67
2010-10-01,426.75
2010-11-01,430.33
2010-12-01,477.8
2011-01-01,473.75
2011-02-01,480.25
2011-03-01,496.75
2011-04-01,494.0
2011-05-01,520.5
2011-06-01,534.5
2011-07-01,574.0
2011-08-01,692.5
2011-09-01,707.0
2011-10-01,668.8
2011-11-01,684.25
2011-12-01,674.0
2012-01-01,671.25
2012-02-01,670.0
2012-03-01,658.6
2012-04-01,645.0
2012-05-01,631.25
2012-06-01,639.0
2012-07-01,632.5
2012-08-01,642.8
2012-09-01,678.75
2012-10-01,678.0
2012-11-01,673.4
2012-12-01,658.0
2013-01-01,652.25
2013-02-01,637.75
2013-03-01,634.0
2013-04-01,602.0
2013-05-01,584.2
2013-06-01,561.75
2013-07-01,566.25
2013-08-01,594.8
2013-09-01,594.5
2013-10-01,580.0
2013-11-01,575.8
2013-12-01,567.0
2014-01-01,604.8
2014-02-01,624.75
2014-03-01,646.0
2014-04-01,613.5
2014-05-01,596.8
2014-06-01,595.25
2014-07-01,609.0
2014-08-01,614.6
2014-09-01,602.25
2014-10-01,602.6
2014-11-01,589.0
2014-12-01,604.75
2015-01-01,637.0
2015-02-01,659.25
2015-03-01,668.5
2015-04-01,687.5
2015-05-01,687.8
2015-06-01,686.5
2015-07-01,666.7
2015-08-01,699.0
2015-09-01,734.0
2015-10-01,729.4
2015-11-01,677.5
2015-12-01,686.5
2016-01-01,714.25
2016-02-01,765.25
2016-03-01,776.5
2016-04-01,762.0
2016-05-01,800.75
2016-06-01,826.75
2016-07-01,846.4
2016-08-01,857.0
2016-09-01,852.2
2016-10-01,851.5
2016-11-01,887.25
2016-12-01,885.4
2017-01-01,967.25
2017-02-01,985.25
2017-03-01,984.8
2017-04-01,1013.25
2017-05-01,971.75
2017-06-01,968.6
2017-07-01,967.75
2017-08-01,978.75
2017-09-01,989.5
2017-10-01,1018.0
2017-11-01,1076.5
