Tarih,TP_CLI2_A02
2000-01-01,102.71
2000-02-01,104.19
2000-03-01,104.91
2000-04-01,103.83
2000-05-01,103.23
2000-06-01,102.75
2000-07-01,102.74
2000-08-01,102.94
2000-09-01,102.57
2000-10-01,102.76
2000-11-01,101.6
2000-12-01,98.91
2001-01-01,97.65
2001-02-01,95.44
2001-03-01,92.48
2001-04-01,93.47
2001-05-01,96.04
2001-06-01,96.4
2001-07-01,96.27
2001-08-01,97.2
2001-09-01,96.33
2001-10-01,95.53
2001-11-01,97.66
2001-12-01,97.8
2002-01-01,99.29
2002-02-01,99.21
2002-03-01,99.84
2002-04-01,100.12
2002-05-01,100.09
2002-06-01,98.86
2002-07-01,98.73
2002-08-01,99.01
2002-09-01,98.46
2002-10-01,99.71
2002-11-01,100.65
2002-12-01,100.65
2003-01-01,100.14
2003-02-01,98.96
2003-03-01,97.86
2003-04-01,99.03
2003-05-01,99.17
2003-06-01,100.06
2003-07-01,99.9
2003-08-01,100.18
2003-09-01,100.08
2003-10-01,101.24
2003-11-01,101.65
2003-12-01,102.04
2004-01-01,101.2
2004-02-01,101.43
2004-03-01,100.85
2004-04-01,100.8
2004-05-01,100.45
2004-06-01,100.34
2004-07-01,100.61
2004-08-01,100.18
2004-09-01,100.64
2004-10-01,100.97
2004-11-01,100.3
2004-12-01,101.49
2005-01-01,101.72
2005-02-01,101.43
2005-03-01,100.77
2005-04-01,100.41
2005-05-01,100.01
2005-06-01,99.15
2005-07-01,99.84
2005-08-01,100.18
2005-09-01,100.65
2005-10-01,101.38
2005-11-01,101.64
2005-12-01,101.09
2006-01-01,100.84
2006-02-01,100.7
2006-03-01,100.67
2006-04-01,100.5
2006-05-01,100.53
2006-06-01,100.89
2006-07-01,99.41
2006-08-01,99.89
2006-09-01,100.16
2006-10-01,100.03
2006-11-01,100.68
2006-12-01,101.21
2007-01-01,102.88
2007-02-01,101.82
2007-03-01,101.49
2007-04-01,101.51
2007-05-01,100.26
2007-06-01,101.76
2007-07-01,102.19
2007-08-01,101.85
2007-09-01,102.47
2007-10-01,102.39
2007-11-01,102.66
2007-12-01,102.8
2008-01-01,102.81
2008-02-01,103.69
2008-03-01,101.72
2008-04-01,101.22
2008-05-01,100.87
2008-06-01,100.63
2008-07-01,99.62
2008-08-01,99.71
2008-09-01,98.17
2008-10-01,94.78
2008-11-01,91.7
2008-12-01,92.64
2009-01-01,92.71
2009-02-01,93.34
2009-03-01,93.2
2009-04-01,96.44
2009-05-01,98.09
2009-06-01,97.9
2009-07-01,98.45
2009-08-01,97.97
2009-09-01,97.71
2009-10-01,98.92
2009-11-01,99.48
2009-12-01,99.47
2010-01-01,100.46
2010-02-01,99.69
2010-03-01,100.2
2010-04-01,100.56
2010-05-01,99.81
2010-06-01,100.07
2010-07-01,99.72
2010-08-01,101.13
2010-09-01,100.89
2010-10-01,100.74
2010-11-01,100.66
2010-12-01,101.07
2011-01-01,101.86
2011-02-01,101.16
2011-03-01,101.59
2011-04-01,101.39
2011-05-01,100.92
2011-06-01,100.38
2011-07-01,100.61
2011-08-01,100.97
2011-09-01,101.73
2011-10-01,100.81
2011-11-01,101.54
2011-12-01,100.71
2012-01-01,100.15
2012-02-01,101.06
2012-03-01,101.61
2012-04-01,100.39
2012-05-01,100.66
2012-06-01,100.04
2012-07-01,100.44
2012-08-01,100.0
2012-09-01,100.31
2012-10-01,99.93
2012-11-01,99.97
2012-12-01,99.67
2013-01-01,99.7
2013-02-01,100.17
2013-03-01,101.03
2013-04-01,100.78
2013-05-01,100.62
2013-06-01,101.27
2013-07-01,100.43
2013-08-01,99.36
2013-09-01,100.66
