Tarih,TP_CLI2_A01
2000-01-01,119.54
2000-02-01,121.44
2000-03-01,122.47
2000-04-01,121.39
2000-05-01,120.89
2000-06-01,120.52
2000-07-01,120.71
2000-08-01,121.17
2000-09-01,120.94
2000-10-01,121.39
2000-11-01,120.25
2000-12-01,117.31
2001-01-01,116.06
2001-02-01,113.69
2001-03-01,110.41
2001-04-01,111.86
2001-05-01,115.23
2001-06-01,115.96
2001-07-01,116.13
2001-08-01,117.58
2001-09-01,116.89
2001-10-01,116.28
2001-11-01,119.26
2001-12-01,119.84
2002-01-01,122.11
2002-02-01,122.45
2002-03-01,123.7
2002-04-01,124.55
2002-05-01,125.02
2002-06-01,124.0
2002-07-01,124.38
2002-08-01,125.29
2002-09-01,125.16
2002-10-01,127.35
2002-11-01,129.17
2002-12-01,129.81
2003-01-01,129.8
2003-02-01,128.93
2003-03-01,128.17
2003-04-01,130.38
2003-05-01,131.27
2003-06-01,133.17
2003-07-01,133.71
2003-08-01,134.83
2003-09-01,135.46
2003-10-01,137.82
2003-11-01,139.18
2003-12-01,140.53
2004-01-01,140.19
2004-02-01,141.34
2004-03-01,141.35
2004-04-01,142.12
2004-05-01,142.47
2004-06-01,143.17
2004-07-01,144.4
2004-08-01,144.64
2004-09-01,146.17
2004-10-01,147.51
2004-11-01,147.41
2004-12-01,150.04
2005-01-01,151.25
2005-02-01,151.7
2005-03-01,151.59
2005-04-01,151.91
2005-05-01,152.17
2005-06-01,151.72
2005-07-01,153.61
2005-08-01,154.98
2005-09-01,156.57
2005-10-01,158.55
2005-11-01,159.79
2005-12-01,159.76
2006-01-01,160.18
2006-02-01,160.76
2006-03-01,161.51
2006-04-01,162.02
2006-05-01,162.83
2006-06-01,164.18
2006-07-01,162.51
2006-08-01,164.01
2006-09-01,165.18
2006-10-01,165.66
2006-11-01,167.43
2006-12-01,168.99
2007-01-01,172.47
2007-02-01,171.34
2007-03-01,171.42
2007-04-01,172.09
2007-05-01,170.57
2007-06-01,173.73
2007-07-01,175.04
2007-08-01,175.03
2007-09-01,176.67
2007-10-01,177.08
2007-11-01,178.08
2007-12-01,178.86
2008-01-01,179.41
2008-02-01,181.46
2008-03-01,178.53
2008-04-01,178.14
2008-05-01,178.03
2008-06-01,178.1
2008-07-01,176.8
2008-08-01,177.46
2008-09-01,175.19
2008-10-01,169.64
2008-11-01,164.6
2008-12-01,166.76
2009-01-01,167.39
2009-02-01,169.04
2009-03-01,169.31
2009-04-01,175.76
2009-05-01,179.36
2009-06-01,179.62
2009-07-01,181.28
2009-08-01,181.03
2009-09-01,181.23
2009-10-01,184.19
2009-11-01,185.96
2009-12-01,186.68
2010-01-01,189.33
2010-02-01,188.69
2010-03-01,190.49
2010-04-01,192.03
2010-05-01,191.46
2010-06-01,192.86
2010-07-01,193.09
2010-08-01,196.77
2010-09-01,197.27
2010-10-01,197.96
2010-11-01,198.8
2010-12-01,200.65
2011-01-01,203.26
2011-02-01,202.92
2011-03-01,204.86
2011-04-01,205.54
2011-05-01,205.68
2011-06-01,205.7
2011-07-01,207.29
2011-08-01,209.17
2011-09-01,211.89
2011-10-01,211.13
2011-11-01,213.83
2011-12-01,213.25
2012-01-01,213.22
2012-02-01,216.35
2012-03-01,218.72
2012-04-01,217.28
2012-05-01,219.08
2012-06-01,218.93
2012-07-01,221.02
2012-08-01,221.26
2012-09-01,223.15
2012-10-01,223.52
2012-11-01,224.82
2012-12-01,225.37
2013-01-01,226.66
2013-02-01,228.94
2013-03-01,232.16
2013-04-01,232.81
2013-05-01,233.68
2013-06-01,236.44
2013-07-01,235.71
2013-08-01,234.41
2013-09-01,238.7
2013-10-01,239.8
2013-11-01,239.82
2013-12-01,239.76
2014-01-01,238.91
2014-02-01,240.63
2014-03-01,244.75
2014-04-01,246.71
2014-05-01,248.88
2014-06-01,250.24
2014-07-01,251.2
2014-08-01,249.65
2014-09-01,253.5
2014-10-01,254.24
2014-11-01,255.35
2014-12-01,255.35
2015-01-01,256.54
2015-02-01,257.53
2015-03-01,258.3
2015-04-01,259.86
2015-05-01,261.37
2015-06-01,258.58
2015-07-01,261.1
2015-08-01,262.75
2015-09-01,263.74
2015-10-01,265.01
2015-11-01,266.19
2015-12-01,268.83
2016-01-01,267.21
2016-02-01,267.37
2016-03-01,269.33
2016-04-01,272.41
2016-05-01,273.8
2016-06-01,275.6
2016-07-01,273.95
2016-08-01,276.2
2016-09-01,277.81
2016-10-01,279.87
2016-11-01,281.37
2016-12-01,281.92
2017-01-01,281.23
2017-02-01,286.19
2017-03-01,287.49
2017-04-01,287.42
2017-05-01,287.15
2017-06-01,289.87
2017-07-01,292.8
2017-08-01,295.21
2017-09-01,297.75
2017-10-01,298.0
2017-11-01,298.52
2017-12-01,297.46
2018-01-01,300.34
2018-02-01,300.43
2018-03-01,300.39
2018-04-01,300.72
2018-05-01,299.99
2018-06-01,298.31
2018-07-01,299.45
2018-08-01,295.68
2018-09-01,294.89
2018-10-01,293.47
2018-11-01,298.54
2018-12-01,298.8
2019-01-01,299.85
2019-02-01,302.42
2019-03-01,304.23
2019-04-01,306.11
2019-05-01,306.32
2019-06-01,305.75
2019-07-01,306.72
2019-08-01,309.64
2019-09-01,310.12
2019-10-01,314.98
2019-11-01,316.12
2019-12-01,319.48
2020-01-01,321.16
2020-02-01,322.31
2020-03-01,314.54
2020-04-01,285.13
2020-05-01,304.34
2020-06-01,322.59
2020-07-01,329.65
2020-08-01,333.3
2020-09-01,334.9
2020-10-01,336.12
2020-11-01,335.32
2020-12-01,339.0
2021-01-01,338.24
2021-02-01,339.89
2021-03-01,345.02
2021-04-01,343.36
2021-05-01,345.95
2021-06-01,349.95
2021-07-01,353.48
2021-08-01,356.22
2021-09-01,355.33
2021-10-01,355.82
2021-11-01,359.56
2021-12-01,360.43
2022-01-01,359.19
2022-02-01,362.8
2022-03-01,362.43
2022-04-01,363.53
2022-05-01,363.97
2022-06-01,364.73
2022-07-01,361.73
2022-08-01,366.93
2022-09-01,366.55
2022-10-01,367.15
2022-11-01,367.88
2022-12-01,370.4
2023-01-01,375.1
2023-02-01,372.93
2023-03-01,375.51
2023-04-01,376.91
2023-05-01,381.13
2023-06-01,377.33
2023-07-01,381.49
2023-08-01,381.28
2023-09-01,380.15
2023-10-01,379.96
2023-11-01,378.99
2023-12-01,379.38
2024-01-01,382.18
2024-02-01,382.84
2024-03-01,382.68
2024-04-01,382.1
2024-05-01,384.96
2024-06-01,387.54
2024-07-01,387.79
2024-08-01,387.07
2024-09-01,389.44
2024-10-01,393.36
2024-11-01,396.4
2024-12-01,399.61
2025-01-01,398.56
2025-02-01,400.53
2025-03-01,399.06
2025-04-01,398.88
2025-05-01,398.24
2025-06-01,400.62
2025-07-01,402.45
2025-08-01,404.5
2025-09-01,404.81
