Tarih,TP_YD001
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,468.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,576.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,1033.0
2005-01-01,75.0
2005-02-01,254.0
2005-03-01,116.0
2005-04-01,284.0
2005-05-01,85.0
2005-06-01,197.0
2005-07-01,1032.0
2005-08-01,252.0
2005-09-01,680.0
2005-10-01,30.0
2005-11-01,1643.0
2005-12-01,2004.0
2006-01-01,86.0
2006-02-01,104.0
2006-03-01,66.0
2006-04-01,202.0
2006-05-01,6162.0
2006-06-01,280.0
2006-07-01,93.0
2006-08-01,3011.0
2006-09-01,401.0
2006-10-01,2604.0
2006-11-01,367.0
2006-12-01,1196.0
2007-01-01,2663.0
2007-02-01,900.0
2007-03-01,400.0
2007-04-01,601.0
2007-05-01,550.0
2007-06-01,991.0
2007-07-01,1565.0
2007-08-01,573.0
2007-09-01,863.0
2007-10-01,626.0
2007-11-01,229.0
2007-12-01,3013.0
2008-01-01,435.0
2008-02-01,279.0
2008-03-01,1277.0
2008-04-01,428.0
2008-05-01,1618.0
2008-06-01,1913.0
2008-07-01,1082.0
2008-08-01,835.0
2008-09-01,859.0
2008-10-01,1078.0
2008-11-01,646.0
2008-12-01,918.0
2009-01-01,1266.0
2009-02-01,226.0
2009-03-01,373.0
2009-04-01,465.0
2009-05-01,371.0
2009-06-01,321.0
2009-07-01,594.0
2009-08-01,364.0
2009-09-01,183.0
2009-10-01,222.0
2009-11-01,238.0
2009-12-01,625.0
2010-01-01,179.0
2010-02-01,311.0
2010-03-01,305.0
2010-04-01,155.0
2010-05-01,101.0
2010-06-01,175.0
2010-07-01,807.0
2010-08-01,319.0
2010-09-01,333.0
2010-10-01,369.0
2010-11-01,188.0
2010-12-01,1697.0
2011-01-01,369.0
2011-02-01,735.0
2011-03-01,4356.0
2011-04-01,456.0
2011-05-01,462.0
2011-06-01,507.0
2011-07-01,2557.0
2011-08-01,592.0
2011-09-01,418.0
2011-10-01,350.0
2011-11-01,322.0
2011-12-01,1463.0
2012-01-01,374.0
2012-02-01,401.0
2012-03-01,2246.0
2012-04-01,350.0
2012-05-01,1261.0
2012-06-01,1038.0
2012-07-01,371.0
2012-08-01,422.0
2012-09-01,291.0
2012-10-01,201.0
2012-11-01,416.0
2012-12-01,556.0
2013-01-01,522.0
2013-02-01,559.0
2013-03-01,387.0
2013-04-01,432.0
2013-05-01,276.0
2013-06-01,653.0
2013-07-01,1742.0
2013-08-01,168.0
2013-09-01,550.0
2013-10-01,265.0
2013-11-01,318.0
2013-12-01,1185.0
2014-01-01,709.0
2014-02-01,1015.0
2014-03-01,920.0
2014-04-01,626.0
2014-05-01,311.0
2014-06-01,766.0
2014-07-01,370.0
2014-08-01,116.0
