Tarih,TP_YDYDYSEKTOR_YY22
2000-01-01,7035.0
2001-01-01,7201.0
2002-01-01,5540.0
2003-01-01,10915.0
2004-01-01,16400.0
2005-01-01,43031.0
2006-01-01,64396.0
2007-01-01,104359.0
2008-01-01,56567.0
2009-01-01,90170.0
2010-01-01,114535.0
2011-01-01,75121.0
2012-01-01,102008.0
2013-01-01,79614.0
2014-01-01,95153.0
2015-01-01,80383.0
2016-01-01,79477.0
2017-01-01,101058.0
2018-01-01,92669.0
2019-01-01,101491.0
2020-01-01,123886.0
2021-01-01,70639.0
2022-01-01,116552.0
2023-01-01,90136.0
2024-01-01,113722.0
