Tarih,TP_YDYDYSEKTOR_YY3
2000-01-01,11732.0
2001-01-01,11439.0
2002-01-01,10703.0
2003-01-01,19637.0
2004-01-01,20539.0
2005-01-01,26795.0
2006-01-01,28871.0
2007-01-01,47260.0
2008-01-01,18748.0
2009-01-01,47541.0
2010-01-01,66112.0
2011-01-01,55268.0
2012-01-01,80990.0
2013-01-01,63054.0
2014-01-01,78582.0
2015-01-01,66427.0
2016-01-01,56228.0
2017-01-01,80295.0
2018-01-01,39124.0
2019-01-01,46512.0
2020-01-01,93324.0
2021-01-01,57380.0
2022-01-01,130453.0
2023-01-01,111012.0
2024-01-01,93973.0
