Tarih,TP_OSKVAG16
2014-12-01,37759917127.0
2015-01-01,38533920760.0
2015-02-01,36032617425.0
2015-03-01,33394702035.0
2015-04-01,31220091395.0
2015-05-01,27662910508.0
2015-06-01,27194555750.0
2015-07-01,26516249992.0
2015-08-01,25015571519.0
2015-09-01,21070926064.0
2015-10-01,19579201869.0
2015-11-01,17222195188.0
2015-12-01,16690203172.0
2016-01-01,16922589075.0
2016-02-01,16238821127.0
2016-03-01,15384749698.0
2016-04-01,15648088711.0
2016-05-01,15668082050.0
2016-06-01,14950042573.0
2016-07-01,14859099544.0
2016-08-01,14539229842.0
2016-09-01,13372446427.0
2016-10-01,13227449547.0
2016-11-01,13013494396.0
2016-12-01,11528501696.0
2017-01-01,12311546319.0
2017-02-01,12636463625.0
2017-03-01,12433413488.0
2017-04-01,12627913317.0
2017-05-01,12462919057.0
2017-06-01,13082256835.0
2017-07-01,13166017105.0
2017-08-01,13525609338.0
2017-09-01,13268718488.0
2017-10-01,14667563543.0
2017-11-01,15229351501.0
2017-12-01,14909291627.0
2018-01-01,15614057287.0
2018-02-01,15920236624.0
2018-03-01,15185815934.0
2018-04-01,15673756051.0
2018-05-01,15273651435.0
2018-06-01,14798418415.0
2018-07-01,14625021377.0
2018-08-01,13312156331.0
2018-09-01,12641832835.0
2018-10-01,11740072950.0
2018-11-01,11285124278.0
2018-12-01,11008887883.0
2019-01-01,9669812035.0
2019-02-01,9359198949.0
2019-03-01,8575017426.0
2019-04-01,8316944622.0
2019-05-01,8791485868.0
2019-06-01,9090920412.0
2019-07-01,9650539087.0
2019-08-01,8507678769.0
2019-09-01,8536352045.0
2019-10-01,8120435581.0
2019-11-01,7068823594.0
2019-12-01,6209548073.0
2020-01-01,5505751230.0
2020-02-01,5134980208.0
2020-03-01,5268062005.0
2020-04-01,5454077052.0
2020-05-01,5204747691.0
2020-06-01,6004033556.0
2020-07-01,6320344918.0
2020-08-01,6058705698.0
2020-09-01,6337203569.0
2020-10-01,5392830368.0
2020-11-01,5597811272.0
2020-12-01,6569721721.0
2021-01-01,6620747732.0
2021-02-01,6602117492.0
2021-03-01,5965688277.0
2021-04-01,6373178140.0
2021-05-01,6065534937.0
2021-06-01,5978324463.0
2021-07-01,5878081346.0
2021-08-01,5476633779.0
2021-09-01,4992000983.0
2021-10-01,4933477913.0
2021-11-01,5013845956.0
2021-12-01,4649631205.0
2022-01-01,4815371673.0
2022-02-01,5041443287.0
2022-03-01,5244183948.0
2022-04-01,5035555217.0
2022-05-01,5600727218.0
2022-06-01,4998172950.0
2022-07-01,4839563975.0
2022-08-01,4802336116.0
2022-09-01,4647413910.0
2022-10-01,5083853696.0
2022-11-01,5030272426.0
2022-12-01,5307543234.0
2023-01-01,5287373901.0
2023-02-01,5235754003.0
2023-03-01,5355320311.0
2023-04-01,5405555227.0
2023-05-01,5527331335.0
2023-06-01,5434174717.0
2023-07-01,5571575545.0
2023-08-01,5354445968.0
2023-09-01,5202716642.0
2023-10-01,5396829978.0
2023-11-01,5228635494.0
2023-12-01,5036825993.0
2024-01-01,4583081238.0
2024-02-01,4986742832.0
2024-03-01,5509398755.0
2024-04-01,5786238558.0
2024-05-01,6581631435.0
2024-06-01,7139436439.0
2024-07-01,7053686263.0
2024-08-01,6105236834.0
2024-09-01,6447607198.0
2024-10-01,7953283803.0
2024-11-01,8733039329.0
2024-12-01,9032128923.0
2025-01-01,11117770496.0
2025-02-01,9392119441.0
2025-03-01,8804366964.0
2025-04-01,6764145096.0
2025-05-01,6635745692.0
2025-06-01,4669898067.0
2025-07-01,5311450228.0
2025-08-01,5144630915.0
