Tarih,TP_KM_E091
2017-11-01,52400227.0
2017-12-01,56405674.0
2018-01-01,61471854.0
2018-02-01,60908724.0
2018-03-01,63979013.0
2018-04-01,62536424.0
2018-05-01,69497151.0
2018-06-01,76408500.0
2018-07-01,74447459.0
2018-08-01,79165925.0
2018-09-01,73021780.0
2018-10-01,65559522.0
2018-11-01,59822328.0
2018-12-01,63246259.0
2019-01-01,59970568.0
2019-02-01,63813724.0
2019-03-01,67173557.0
2019-04-01,63426767.0
2019-05-01,62378088.0
2019-06-01,53438825.0
2019-07-01,55323752.0
2019-08-01,55149121.0
2019-09-01,50616704.0
2019-10-01,51293450.0
2019-11-01,49787045.0
2019-12-01,51427449.0
2020-01-01,50527784.0
2020-02-01,56521460.0
2020-03-01,52870308.0
2020-04-01,50006097.0
2020-05-01,53951230.0
2020-06-01,47679675.0
2020-07-01,54809448.0
2020-08-01,53133698.0
2020-09-01,49556989.0
2020-10-01,58469078.0
2020-11-01,52835635.0
2020-12-01,58994553.0
2021-01-01,67758228.0
2021-02-01,67916241.0
2021-03-01,71781008.0
2021-04-01,66091307.0
2021-05-01,68521136.0
2021-06-01,60251830.0
2021-07-01,67138825.0
2021-08-01,68853397.0
2021-09-01,72994620.0
2021-10-01,77237085.0
2021-11-01,100935293.0
2021-12-01,99253077.0
2022-01-01,123139639.0
2022-02-01,103177979.0
2022-03-01,118831518.0
2022-04-01,130839950.0
2022-05-01,144974323.0
2022-06-01,171018413.0
2022-07-01,179737885.0
2022-08-01,186191382.0
2022-09-01,198686601.0
2022-10-01,192018948.0
2022-11-01,191383985.0
2022-12-01,204585364.0
2023-01-01,211795206.0
2023-02-01,202262187.0
2023-03-01,197076272.0
2023-04-01,209360843.0
2023-05-01,229985930.0
2023-06-01,275487208.0
2023-07-01,315530310.0
2023-08-01,307636359.0
2023-09-01,279731005.0
2023-10-01,310184945.0
2023-11-01,306463047.0
2023-12-01,309569780.0
2024-01-01,329367907.0
2024-02-01,343453177.0
2024-03-01,351238201.0
2024-04-01,351223283.0
2024-05-01,305672067.0
2024-06-01,316043743.0
2024-07-01,327173223.0
2024-08-01,326777386.0
2024-09-01,331240174.0
2024-10-01,327554479.0
2024-11-01,294127151.0
2024-12-01,292474120.0
2025-01-01,283725613.0
2025-02-01,285931341.0
2025-03-01,335750739.0
2025-04-01,356549495.0
2025-05-01,338338583.0
2025-06-01,395705341.0
2025-07-01,391533520.0
2025-08-01,367720911.0
