Tarih,TP_KM_E084
2022-12-01,5058310.0
2023-01-01,7015007.0
2023-02-01,6930280.0
2023-03-01,6145395.0
2023-04-01,6783098.0
2023-05-01,6435725.0
2023-06-01,7213898.0
2023-07-01,9578546.0
2023-08-01,8275957.0
2023-09-01,10197760.0
2023-10-01,7640247.0
2023-11-01,10244113.0
2023-12-01,8596312.0
2024-01-01,7419526.0
2024-02-01,6983378.0
2024-03-01,6750701.0
2024-04-01,10471085.0
2024-05-01,9048099.0
2024-06-01,8882551.0
2024-07-01,7011182.0
2024-08-01,7593842.0
2024-09-01,7510455.0
2024-10-01,7398642.0
2024-11-01,10377856.0
2024-12-01,6588028.0
2025-01-01,8017039.0
2025-02-01,10228066.0
2025-03-01,6825547.0
2025-04-01,7537743.0
2025-05-01,6188186.0
2025-06-01,8538958.0
2025-07-01,7595262.0
2025-08-01,8889534.0
