Tarih,TP_KM_E107
2023-01-01,1080973.0
2023-02-01,857868.0
2023-03-01,971284.0
2023-04-01,1114298.0
2023-05-01,904043.0
2023-06-01,792010.0
2023-07-01,925534.0
2023-08-01,841348.0
2023-09-01,665242.0
2023-10-01,687127.0
2023-11-01,1044626.0
2023-12-01,989585.0
2024-01-01,1480224.0
2024-02-01,1325680.0
2024-03-01,826763.0
2024-04-01,797514.0
2024-05-01,929555.0
2024-06-01,895949.0
2024-07-01,1155803.0
2024-08-01,1036559.0
2024-09-01,1066458.0
2024-10-01,978217.0
2024-11-01,751243.0
2024-12-01,737827.0
2025-01-01,1792203.0
2025-02-01,2509987.0
2025-03-01,1859535.0
2025-04-01,2286105.0
2025-05-01,1483612.0
2025-06-01,1204736.0
2025-07-01,1821008.0
2025-08-01,1780845.0
