Tarih,TP_KM_E102
2021-08-01,28190756.0
2021-09-01,30022098.0
2021-10-01,31732386.0
2021-11-01,52129997.0
2021-12-01,49868567.0
2022-01-01,46632502.0
2022-02-01,47343832.0
2022-03-01,49158464.0
2022-04-01,79039917.0
2022-05-01,69166352.0
2022-06-01,65490742.0
2022-07-01,69494396.0
2022-08-01,73494458.0
2022-09-01,82608996.0
2022-10-01,81100495.0
2022-11-01,84942650.0
2022-12-01,85492473.0
2023-01-01,93677198.0
2023-02-01,93560940.0
2023-03-01,95718334.0
2023-04-01,105753393.0
2023-05-01,91902161.0
2023-06-01,107414426.0
2023-07-01,117551793.0
2023-08-01,138966817.0
2023-09-01,125300294.0
2023-10-01,142503031.0
2023-11-01,156241889.0
2023-12-01,164139571.0
2024-01-01,186430985.0
2024-02-01,193780068.0
2024-03-01,203960578.0
2024-04-01,157371941.0
2024-05-01,150868308.0
2024-06-01,151072335.0
2024-07-01,102584728.0
2024-08-01,117058045.0
2024-09-01,119990880.0
2024-10-01,118176199.0
2024-11-01,161505719.0
2024-12-01,110793015.0
2025-01-01,144416315.0
2025-02-01,184941250.0
2025-03-01,260757278.0
2025-04-01,247585170.0
2025-05-01,241080056.0
2025-06-01,252119611.0
2025-07-01,260659366.0
2025-08-01,193222516.0
