Tarih,TP_FE_OKTG18
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,96.71
2003-02-01,98.25
2003-03-01,98.57
2003-04-01,100.81
2003-05-01,101.15
2003-06-01,100.92
2003-07-01,100.53
2003-08-01,99.82
2003-09-01,100.17
2003-10-01,100.44
2003-11-01,101.6
2003-12-01,101.04
2004-01-01,102.1
2004-02-01,102.45
2004-03-01,101.85
2004-04-01,101.58
2004-05-01,101.14
2004-06-01,102.22
2004-07-01,101.79
2004-08-01,99.87
2004-09-01,99.49
2004-10-01,100.73
2004-11-01,104.04
2004-12-01,103.0
2005-01-01,103.75
2005-02-01,104.7
2005-03-01,105.06
2005-04-01,105.99
2005-05-01,107.84
2005-06-01,109.01
2005-07-01,107.77
2005-08-01,108.01
2005-09-01,106.97
2005-10-01,108.41
2005-11-01,109.01
2005-12-01,109.0
2006-01-01,109.08
2006-02-01,106.9
2006-03-01,105.68
2006-04-01,106.24
2006-05-01,108.17
2006-06-01,111.39
2006-07-01,113.89
2006-08-01,114.42
2006-09-01,114.55
2006-10-01,114.82
2006-11-01,113.57
2006-12-01,112.03
2007-01-01,112.5
2007-02-01,112.99
2007-03-01,113.29
2007-04-01,112.44
2007-05-01,112.53
2007-06-01,111.75
2007-07-01,111.45
2007-08-01,111.22
2007-09-01,109.96
2007-10-01,108.55
2007-11-01,108.31
2007-12-01,107.32
2008-01-01,108.42
2008-02-01,108.86
2008-03-01,109.02
2008-04-01,109.74
2008-05-01,111.37
2008-06-01,112.08
2008-07-01,110.96
2008-08-01,110.21
2008-09-01,110.07
2008-10-01,110.4
2008-11-01,111.22
2008-12-01,110.74
2009-01-01,112.17
2009-02-01,112.43
2009-03-01,107.99
2009-04-01,103.2
2009-05-01,103.47
2009-06-01,105.57
2009-07-01,107.77
2009-08-01,108.33
2009-09-01,108.55
2009-10-01,113.16
2009-11-01,113.27
2009-12-01,112.09
2010-01-01,113.23
2010-02-01,113.31
2010-03-01,113.57
2010-04-01,114.01
2010-05-01,114.2
2010-06-01,113.97
2010-07-01,114.27
2010-08-01,113.83
2010-09-01,113.58
2010-10-01,113.23
2010-11-01,113.01
2010-12-01,112.38
2011-01-01,113.57
2011-02-01,116.17
2011-03-01,117.17
2011-04-01,118.67
2011-05-01,118.74
2011-06-01,119.33
2011-07-01,119.21
2011-08-01,121.28
2011-09-01,123.73
2011-10-01,125.57
2011-11-01,126.16
2011-12-01,126.08
2012-01-01,128.07
2012-02-01,128.12
2012-03-01,127.85
2012-04-01,128.5
2012-05-01,127.67
2012-06-01,127.79
2012-07-01,127.2
2012-08-01,127.42
2012-09-01,126.91
2012-10-01,126.97
2012-11-01,126.33
2012-12-01,126.3
2013-01-01,127.11
2013-02-01,129.3
2013-03-01,129.51
2013-04-01,129.69
2013-05-01,129.59
2013-06-01,129.57
2013-07-01,131.61
2013-08-01,132.17
2013-09-01,134.42
2013-10-01,136.38
2013-11-01,136.04
2013-12-01,135.93
2014-01-01,140.59
2014-02-01,145.78
2014-03-01,148.89
2014-04-01,150.26
