Tarih,TP_FE_OKTG25
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,95.14
2003-02-01,95.14
2003-03-01,97.61
2003-04-01,97.61
2003-05-01,97.61
2003-06-01,101.23
2003-07-01,101.23
2003-08-01,102.15
2003-09-01,103.07
2003-10-01,103.07
2003-11-01,103.07
2003-12-01,103.07
2004-01-01,103.92
2004-02-01,104.21
2004-03-01,104.18
2004-04-01,104.18
2004-05-01,104.8
2004-06-01,105.43
2004-07-01,105.5
2004-08-01,105.56
2004-09-01,104.96
2004-10-01,104.96
2004-11-01,105.33
2004-12-01,105.61
2005-01-01,105.61
2005-02-01,105.61
2005-03-01,105.61
2005-04-01,105.62
2005-05-01,106.22
2005-06-01,106.26
2005-07-01,106.27
2005-08-01,106.41
2005-09-01,106.49
2005-10-01,107.81
2005-11-01,107.72
2005-12-01,107.65
2006-01-01,110.06
2006-02-01,110.16
2006-03-01,110.17
2006-04-01,110.18
2006-05-01,110.2
2006-06-01,110.2
2006-07-01,110.4
2006-08-01,110.4
2006-09-01,110.32
2006-10-01,110.4
2006-11-01,110.42
2006-12-01,110.43
2007-01-01,112.83
2007-02-01,113.63
2007-03-01,113.7
2007-04-01,113.57
2007-05-01,113.57
2007-06-01,115.91
2007-07-01,114.26
2007-08-01,110.78
2007-09-01,110.87
2007-10-01,111.75
2007-11-01,111.84
2007-12-01,113.71
2008-01-01,115.1
2008-02-01,115.46
2008-03-01,115.72
2008-04-01,115.85
2008-05-01,115.94
2008-06-01,117.06
2008-07-01,118.16
2008-08-01,119.03
2008-09-01,120.96
2008-10-01,120.96
2008-11-01,121.15
2008-12-01,121.96
2009-01-01,122.99
2009-02-01,121.46
2009-03-01,120.53
2009-04-01,120.79
2009-05-01,121.09
2009-06-01,122.58
2009-07-01,122.59
2009-08-01,122.59
2009-09-01,122.59
2009-10-01,124.28
2009-11-01,124.41
2009-12-01,125.72
2010-01-01,125.72
2010-02-01,125.72
2010-03-01,130.16
2010-04-01,123.19
2010-05-01,121.16
2010-06-01,122.21
2010-07-01,122.21
2010-08-01,120.86
2010-09-01,118.66
2010-10-01,118.08
2010-11-01,118.08
2010-12-01,121.3
2011-01-01,122.88
2011-02-01,123.42
2011-03-01,123.68
2011-04-01,121.26
2011-05-01,120.66
2011-06-01,121.56
2011-07-01,121.99
2011-08-01,121.99
2011-09-01,121.99
2011-10-01,121.99
2011-11-01,122.04
2011-12-01,122.57
2012-01-01,122.57
2012-02-01,122.57
2012-03-01,122.64
2012-04-01,122.7
2012-05-01,122.69
2012-06-01,125.18
2012-07-01,125.59
2012-08-01,125.69
2012-09-01,127.42
2012-10-01,129.41
2012-11-01,129.81
2012-12-01,131.24
2013-01-01,131.42
2013-02-01,131.73
2013-03-01,131.76
2013-04-01,132.16
2013-05-01,133.02
2013-06-01,133.45
2013-07-01,134.83
2013-08-01,134.83
2013-09-01,135.18
2013-10-01,135.29
2013-11-01,135.31
2013-12-01,135.3
2014-01-01,134.75
2014-02-01,134.89
2014-03-01,135.11
2014-04-01,135.14
