Tarih,TP_KM_A19
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,1732731.0
2006-01-01,1674495.0
2006-02-01,1664238.0
2006-03-01,1870413.0
2006-04-01,1878744.0
2006-05-01,2095932.0
2006-06-01,2121290.0
2006-07-01,2111622.0
2006-08-01,2231777.0
2006-09-01,2323486.0
2006-10-01,2310688.0
2006-11-01,2385838.0
2006-12-01,2460891.0
2007-01-01,2396427.0
2007-02-01,2401962.0
2007-03-01,2397936.0
2007-04-01,2414897.0
2007-05-01,2398528.0
2007-06-01,2396615.0
2007-07-01,2394392.0
2007-08-01,2403547.0
2007-09-01,2382514.0
2007-10-01,2367161.0
2007-11-01,2356453.0
2007-12-01,2241122.0
2008-01-01,2254777.0
2008-02-01,2284072.0
2008-03-01,2380989.0
2008-04-01,2503783.0
2008-05-01,2460451.0
2008-06-01,2498093.0
2008-07-01,2468914.0
2008-08-01,2535088.0
2008-09-01,2603119.0
2008-10-01,2734947.0
2008-11-01,2744757.0
2008-12-01,2790423.0
2009-01-01,2749620.0
2009-02-01,2783710.0
2009-03-01,2814060.0
2009-04-01,2784278.0
2009-05-01,2771528.0
2009-06-01,2781473.0
2009-07-01,2723512.0
2009-08-01,2671320.0
2009-09-01,2610483.0
2009-10-01,2502588.0
2009-11-01,2473349.0
2009-12-01,2281317.0
2010-01-01,2098263.0
2010-02-01,2075667.0
2010-03-01,2179908.0
2010-04-01,2081875.0
2010-05-01,2164652.0
2010-06-01,2411064.0
2010-07-01,2449775.0
2010-08-01,2414810.0
2010-09-01,2397863.0
2010-10-01,2462425.0
2010-11-01,2497977.0
2010-12-01,2595773.0
2011-01-01,2559002.0
2011-02-01,2817344.0
2011-03-01,2989003.0
2011-04-01,3169220.0
2011-05-01,3214749.0
2011-06-01,3370274.0
2011-07-01,3362932.0
2011-08-01,3588914.0
2011-09-01,3576622.0
2011-10-01,3542134.0
2011-11-01,3832699.0
2011-12-01,3935348.0
2012-01-01,3802520.0
2012-02-01,3792939.0
2012-03-01,3955509.0
2012-04-01,4130039.0
2012-05-01,4583363.0
2012-06-01,4524579.0
2012-07-01,4474552.0
2012-08-01,4614173.0
2012-09-01,4556639.0
2012-10-01,4373930.0
2012-11-01,4347811.0
2012-12-01,4444104.0
2013-01-01,4603706.0
2013-02-01,4611091.0
2013-03-01,4526242.0
2013-04-01,4432478.0
2013-05-01,4335544.0
2013-06-01,4715989.0
2013-07-01,5240154.0
2013-08-01,5643019.0
2013-09-01,5622712.0
