Tarih,TP_KM_A31
2000-01-01,570956.0
2000-02-01,590746.0
2000-03-01,612239.0
2000-04-01,625346.0
2000-05-01,629741.0
2000-06-01,636812.0
2000-07-01,652995.0
2000-08-01,677938.0
2000-09-01,669031.0
2000-10-01,664860.0
2000-11-01,646922.0
2000-12-01,636133.0
2001-01-01,642534.0
2001-02-01,853774.0
2001-03-01,967686.0
2001-04-01,1092744.0
2001-05-01,1003611.0
2001-06-01,1088633.0
2001-07-01,1120973.0
2001-08-01,1161379.0
2001-09-01,1264492.0
2001-10-01,1312352.0
2001-11-01,1201510.0
2001-12-01,1163802.0
2002-01-01,1066056.0
2002-02-01,1126634.0
2002-03-01,1068840.0
2002-04-01,1059385.0
2002-05-01,1106715.0
2002-06-01,1230915.0
2002-07-01,1311164.0
2002-08-01,1257115.0
2002-09-01,1243460.0
2002-10-01,1251222.0
2002-11-01,1123608.0
2002-12-01,1125836.0
2003-01-01,1125439.0
2003-02-01,1094177.0
2003-03-01,1159466.0
2003-04-01,1077043.0
2003-05-01,960135.0
2003-06-01,940469.0
2003-07-01,939816.0
2003-08-01,911953.0
2003-09-01,888885.0
2003-10-01,933505.0
2003-11-01,881113.0
2003-12-01,810706.0
2004-01-01,740669.0
2004-02-01,724711.0
2004-03-01,702299.0
2004-04-01,747445.0
2004-05-01,767493.0
2004-06-01,776941.0
2004-07-01,566472.0
2004-08-01,576843.0
2004-09-01,563586.0
2004-10-01,539251.0
2004-11-01,508632.0
2004-12-01,448303.0
2005-01-01,443744.0
2005-02-01,421262.0
2005-03-01,427672.0
2005-04-01,416374.0
2005-05-01,396522.0
2005-06-01,366185.0
2005-07-01,219639.0
2005-08-01,225143.0
2005-09-01,222625.0
2005-10-01,216394.0
2005-11-01,186105.0
2005-12-01,187017.0
2006-01-01,183681.0
2006-02-01,143443.0
2006-03-01,143729.0
2006-04-01,134785.0
2006-05-01,142867.0
2006-06-01,85561.0
2006-07-01,86190.0
2006-08-01,79259.0
2006-09-01,80760.0
2006-10-01,73318.0
2006-11-01,81815.0
2006-12-01,90688.0
2007-01-01,91037.0
2007-02-01,91902.0
2007-03-01,90483.0
2007-04-01,90486.0
2007-05-01,89076.0
2007-06-01,88198.0
2007-07-01,80785.0
2007-08-01,81205.0
2007-09-01,76088.0
2007-10-01,72060.0
2007-11-01,89569.0
2007-12-01,97363.0
2008-01-01,94245.0
2008-02-01,95636.0
2008-03-01,104783.0
2008-04-01,102092.0
2008-05-01,94770.0
2008-06-01,95477.0
2008-07-01,88603.0
2008-08-01,86190.0
2008-09-01,71361.0
2008-10-01,77306.0
2008-11-01,73876.0
2008-12-01,72582.0
2009-01-01,69568.0
2009-02-01,71710.0
2009-03-01,84044.0
2009-04-01,78599.0
2009-05-01,69476.0
2009-06-01,89271.0
2009-07-01,127607.0
2009-08-01,179073.0
2009-09-01,161530.0
2009-10-01,195417.0
2009-11-01,242219.0
2009-12-01,210207.0
2010-01-01,193285.0
2010-02-01,193967.0
2010-03-01,243983.0
2010-04-01,258291.0
2010-05-01,212361.0
2010-06-01,213819.0
2010-07-01,172381.0
2010-08-01,156647.0
2010-09-01,119465.0
2010-10-01,119870.0
2010-11-01,125166.0
2010-12-01,143412.0
2011-01-01,211656.0
2011-02-01,212336.0
