Tarih,TP_KM_A27
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,7295.0
2003-01-01,350.0
2003-02-01,1500.0
2003-03-01,3479.0
2003-04-01,24243.0
2003-05-01,24614.0
2003-06-01,24157.0
2003-07-01,19936.0
2003-08-01,19170.0
2003-09-01,23671.0
2003-10-01,25467.0
2003-11-01,23524.0
2003-12-01,22053.0
2004-01-01,23395.0
2004-02-01,24048.0
2004-03-01,25823.0
2004-04-01,24991.0
2004-05-01,24469.0
2004-06-01,26188.0
2004-07-01,28031.0
2004-08-01,27493.0
2004-09-01,27892.0
2004-10-01,28534.0
2004-11-01,29856.0
2004-12-01,29742.0
2005-01-01,28397.0
2005-02-01,28172.0
2005-03-01,34386.0
2005-04-01,33754.0
2005-05-01,29664.0
2005-06-01,34675.0
2005-07-01,32858.0
2005-08-01,33703.0
2005-09-01,36826.0
2005-10-01,37994.0
2005-11-01,30524.0
2005-12-01,39751.0
2006-01-01,37567.0
2006-02-01,37048.0
2006-03-01,40766.0
2006-04-01,42674.0
2006-05-01,38951.0
2006-06-01,50889.0
2006-07-01,48171.0
2006-08-01,49888.0
2006-09-01,54068.0
2006-10-01,51692.0
2006-11-01,57302.0
2006-12-01,67448.0
2007-01-01,71149.0
2007-02-01,80176.0
2007-03-01,82709.0
2007-04-01,91886.0
2007-05-01,100785.0
2007-06-01,112095.0
2007-07-01,103839.0
2007-08-01,88918.0
2007-09-01,100064.0
2007-10-01,92729.0
2007-11-01,96554.0
2007-12-01,104972.0
2008-01-01,90789.0
2008-02-01,89443.0
2008-03-01,91745.0
2008-04-01,96505.0
2008-05-01,102852.0
2008-06-01,91760.0
2008-07-01,87994.0
2008-08-01,89171.0
2008-09-01,74173.0
2008-10-01,43287.0
2008-11-01,17034.0
2008-12-01,5700.0
2009-01-01,6951.0
2009-02-01,4916.0
2009-03-01,5389.0
2009-04-01,3952.0
2009-05-01,28916.0
2009-06-01,28407.0
2009-07-01,16002.0
2009-08-01,25077.0
2009-09-01,25421.0
2009-10-01,28417.0
2009-11-01,27689.0
2009-12-01,60041.0
2010-01-01,49872.0
2010-02-01,43185.0
2010-03-01,46364.0
2010-04-01,41632.0
2010-05-01,53129.0
2010-06-01,81870.0
2010-07-01,77580.0
2010-08-01,69485.0
2010-09-01,83395.0
2010-10-01,104222.0
2010-11-01,103877.0
2010-12-01,117079.0
2011-01-01,135467.0
2011-02-01,116036.0
2011-03-01,118042.0
2011-04-01,124951.0
2011-05-01,128173.0
2011-06-01,120229.0
2011-07-01,137360.0
2011-08-01,149162.0
2011-09-01,165483.0
2011-10-01,147590.0
2011-11-01,117192.0
2011-12-01,141060.0
2012-01-01,131159.0
2012-02-01,106160.0
2012-03-01,128689.0
2012-04-01,134916.0
2012-05-01,148897.0
2012-06-01,170450.0
2012-07-01,177176.0
2012-08-01,139304.0
2012-09-01,124833.0
2012-10-01,146174.0
2012-11-01,133938.0
2012-12-01,137464.0
2013-01-01,140287.0
2013-02-01,143311.0
2013-03-01,148677.0
2013-04-01,134424.0
2013-05-01,115020.0
