Tarih,TP_KM_A09
2000-01-01,4838.0
2000-02-01,4826.0
2000-03-01,4693.0
2000-04-01,4726.0
2000-05-01,4739.0
2000-06-01,5228.0
2000-07-01,5491.0
2000-08-01,5404.0
2000-09-01,5252.0
2000-10-01,5399.0
2000-11-01,5321.0
2000-12-01,7479.0
2001-01-01,6714.0
2001-02-01,6588.0
2001-03-01,6897.0
2001-04-01,6859.0
2001-05-01,6740.0
2001-06-01,7256.0
2001-07-01,7544.0
2001-08-01,7353.0
2001-09-01,7165.0
2001-10-01,7527.0
2001-11-01,7738.0
2001-12-01,10796.0
2002-01-01,9209.0
2002-02-01,10256.0
2002-03-01,10094.0
2002-04-01,10009.0
2002-05-01,9985.0
2002-06-01,9517.0
2002-07-01,9826.0
2002-08-01,9677.0
2002-09-01,9534.0
2002-10-01,5687.0
2002-11-01,9490.0
2002-12-01,13678.0
2003-01-01,10959.0
2003-02-01,11595.0
2003-03-01,11776.0
2003-04-01,11686.0
2003-05-01,11397.0
2003-06-01,11113.0
2003-07-01,11639.0
2003-08-01,16954.0
2003-09-01,16364.0
2003-10-01,16516.0
2003-11-01,15866.0
2003-12-01,15112.0
2004-01-01,18529.0
2004-02-01,20200.0
2004-03-01,20466.0
2004-04-01,20743.0
2004-05-01,20471.0
2004-06-01,19955.0
2004-07-01,18944.0
2004-08-01,20923.0
2004-09-01,20491.0
2004-10-01,19937.0
2004-11-01,20484.0
2004-12-01,17174.0
2005-01-01,17469.0
2005-02-01,19400.0
2005-03-01,20810.0
2005-04-01,20971.0
2005-05-01,20580.0
2005-06-01,20643.0
2005-07-01,20797.0
2005-08-01,21574.0
2005-09-01,21258.0
2005-10-01,20982.0
2005-11-01,21001.0
2005-12-01,21282.0
2006-01-01,22357.0
2006-02-01,25066.0
2006-03-01,27038.0
2006-04-01,29462.0
2006-05-01,32075.0
2006-06-01,33685.0
2006-07-01,35886.0
2006-08-01,40866.0
2006-09-01,45087.0
2006-10-01,47289.0
2006-11-01,53607.0
2006-12-01,58455.0
2007-01-01,69265.0
2007-02-01,76702.0
2007-03-01,85803.0
2007-04-01,97678.0
2007-05-01,114053.0
2007-06-01,124569.0
2007-07-01,140957.0
2007-08-01,143355.0
2007-09-01,157064.0
2007-10-01,174076.0
2007-11-01,191963.0
2007-12-01,199720.0
2008-01-01,214642.0
2008-02-01,222329.0
2008-03-01,227792.0
2008-04-01,239303.0
2008-05-01,257719.0
2008-06-01,268248.0
2008-07-01,268511.0
2008-08-01,270361.0
2008-09-01,272074.0
2008-10-01,264608.0
2008-11-01,256633.0
2008-12-01,248102.0
2009-01-01,241921.0
2009-02-01,237697.0
2009-03-01,237887.0
2009-04-01,237906.0
2009-05-01,235801.0
2009-06-01,254685.0
2009-07-01,255638.0
2009-08-01,255101.0
2009-09-01,257032.0
2009-10-01,250938.0
2009-11-01,250429.0
2009-12-01,251198.0
2010-01-01,249243.0
2010-02-01,249089.0
2010-03-01,246831.0
2010-04-01,244465.0
2010-05-01,247078.0
2010-06-01,250879.0
2010-07-01,260672.0
2010-08-01,275051.0
2010-09-01,289617.0
2010-10-01,309229.0
2010-11-01,325302.0
2010-12-01,350521.0
2011-01-01,375071.0
2011-02-01,417125.0
2011-03-01,506061.0
2011-04-01,599861.0
2011-05-01,706180.0
2011-06-01,787088.0
2011-07-01,840538.0
2011-08-01,868408.0
2011-09-01,890814.0
2011-10-01,778004.0
2011-11-01,745589.0
2011-12-01,773187.0
2012-01-01,760853.0
2012-02-01,651684.0
2012-03-01,680815.0
2012-04-01,706423.0
2012-05-01,606593.0
2012-06-01,651879.0
2012-07-01,697784.0
2012-08-01,747253.0
2012-09-01,788156.0
2012-10-01,598303.0
2012-11-01,684811.0
2012-12-01,800225.0
2013-01-01,916944.0
2013-02-01,882031.0
2013-03-01,1015310.0
2013-04-01,1176811.0
2013-05-01,1356121.0
2013-06-01,1496693.0
2013-07-01,1394525.0
2013-08-01,1464204.0
2013-09-01,1460259.0
2013-10-01,1483919.0
2013-11-01,1581084.0
2013-12-01,1715884.0
2014-01-01,1518894.0
2014-02-01,1510516.0
2014-03-01,1469314.0
2014-04-01,1465626.0
2014-05-01,1466758.0
2014-06-01,1469632.0
2014-07-01,1482177.0
2014-08-01,1519057.0
2014-09-01,1543819.0
2014-10-01,1555406.0
2014-11-01,1402824.0
2014-12-01,1401098.0
2015-01-01,1399283.0
2015-02-01,1383990.0
2015-03-01,1358201.0
2015-04-01,1321802.0
2015-05-01,1292938.0
2015-06-01,1279379.0
2015-07-01,1305822.0
2015-08-01,1331601.0
2015-09-01,1346940.0
2015-10-01,1355802.0
2015-11-01,1356640.0
2015-12-01,1364768.0
2016-01-01,1401853.0
2016-02-01,1463008.0
2016-03-01,1523310.0
2016-04-01,1591128.0
2016-05-01,1652071.0
2016-06-01,1722684.0
2016-07-01,1764811.0
2016-08-01,1838950.0
2016-09-01,1908979.0
2016-10-01,1946880.0
2016-11-01,1953847.0
2016-12-01,1764428.0
2017-01-01,1816629.0
2017-02-01,1887075.0
2017-03-01,1975405.0
2017-04-01,2064128.0
2017-05-01,2154965.0
2017-06-01,2247874.0
2017-07-01,2361024.0
2017-08-01,2514750.0
2017-09-01,2376138.0
2017-10-01,2513413.0
2017-11-01,2611729.0
2017-12-01,2074364.0
2018-01-01,2173428.0
2018-02-01,2266894.0
2018-03-01,2175714.0
2018-04-01,2253014.0
2018-05-01,2375887.0
2018-06-01,2372960.0
2018-07-01,2051170.0
2018-08-01,2116926.0
2018-09-01,2040625.0
2018-10-01,1878350.0
2018-11-01,1871016.0
2018-12-01,1878789.0
2019-01-01,1936314.0
2019-02-01,1992343.0
2019-03-01,1849179.0
2019-04-01,1936499.0
2019-05-01,2024178.0
2019-06-01,2094878.0
2019-07-01,2205521.0
2019-08-01,2302081.0
2019-09-01,2400811.0
2019-10-01,2288999.0
2019-11-01,2382816.0
2019-12-01,2501188.0
2020-01-01,2656570.0
2020-02-01,2774410.0
2020-03-01,2720242.0
2020-04-01,2790843.0
2020-05-01,2482655.0
2020-06-01,2934610.0
2020-07-01,3382737.0
2020-08-01,3744068.0
2020-09-01,4068007.0
2020-10-01,4353788.0
2020-11-01,4614676.0
2020-12-01,4417917.0
2021-01-01,4634788.0
2021-02-01,4872185.0
2021-03-01,5175836.0
2021-04-01,5349927.0
2021-05-01,5447210.0
2021-06-01,5657062.0
2021-07-01,5816268.0
2021-08-01,5979174.0
2021-09-01,6141016.0
2021-10-01,6229421.0
2021-11-01,6286227.0
2021-12-01,6310620.0
2022-01-01,6598724.0
2022-02-01,6750520.0
2022-03-01,6988673.0
2022-04-01,7240481.0
2022-05-01,7424890.0
2022-06-01,6727156.0
2022-07-01,7027400.0
2022-08-01,7187570.0
2022-09-01,7197101.0
2022-10-01,7169625.0
2022-11-01,7225283.0
2022-12-01,7457162.0
2023-01-01,7829895.0
2023-02-01,7969302.0
2023-03-01,8059103.0
2023-04-01,8341756.0
2023-05-01,8573262.0
2023-06-01,8740538.0
2023-07-01,8904925.0
2023-08-01,9024625.0
2023-09-01,9013010.0
2023-10-01,9041159.0
2023-11-01,9165220.0
2023-12-01,9505980.0
2024-01-01,10161214.0
2024-02-01,10462208.0
2024-03-01,10680144.0
2024-04-01,10875209.0
2024-05-01,11256766.0
2024-06-01,11515237.0
2024-07-01,11911768.0
2024-08-01,12260127.0
2024-09-01,12430437.0
2024-10-01,12560243.0
2024-11-01,12590269.0
2024-12-01,12618071.0
2025-01-01,12903810.0
2025-02-01,13191915.0
2025-03-01,13713306.0
2025-04-01,14805650.0
2025-05-01,15671033.0
2025-06-01,16401617.0
2025-07-01,17162171.0
2025-08-01,18881392.0
