Tarih,TP_YOKFEND_TR
2016-04-01,9.33
2016-05-01,9.48
2016-06-01,9.57
2016-07-01,9.58
2016-08-01,9.69
2016-09-01,9.78
2016-10-01,9.83
2016-11-01,9.89
2016-12-01,9.98
2017-01-01,10.12
2017-02-01,10.2
2017-03-01,10.34
2017-04-01,10.47
2017-05-01,10.58
2017-06-01,10.68
2017-07-01,10.67
2017-08-01,10.57
2017-09-01,10.78
2017-10-01,10.84
2017-11-01,10.89
2017-12-01,10.98
2018-01-01,11.02
2018-02-01,11.1
2018-03-01,11.2
2018-04-01,11.31
2018-05-01,11.5
2018-06-01,11.68
2018-07-01,11.57
2018-08-01,11.51
2018-09-01,11.64
2018-10-01,11.75
2018-11-01,11.61
2018-12-01,11.49
2019-01-01,11.43
2019-02-01,11.47
2019-03-01,11.59
2019-04-01,11.63
2019-05-01,11.76
2019-06-01,11.68
2019-07-01,11.79
2019-08-01,12.09
2019-09-01,12.22
2019-10-01,12.34
2019-11-01,12.47
2019-12-01,12.59
2020-01-01,12.93
2020-02-01,13.24
2020-03-01,13.48
2020-04-01,13.49
2020-05-01,13.7
2020-06-01,14.69
2020-07-01,15.23
2020-08-01,15.45
2020-09-01,15.62
2020-10-01,15.93
2020-11-01,16.35
2020-12-01,16.57
2021-01-01,16.92
2021-02-01,17.34
2021-03-01,17.63
2021-04-01,18.15
2021-05-01,18.49
2021-06-01,18.97
2021-07-01,19.64
2021-08-01,20.11
2021-09-01,20.89
2021-10-01,21.76
2021-11-01,23.31
2021-12-01,26.48
2022-01-01,29.86
2022-02-01,32.29
2022-03-01,35.4
2022-04-01,39.49
2022-05-01,44.5
2022-06-01,49.55
2022-07-01,53.28
2022-08-01,56.54
2022-09-01,59.9
2022-10-01,62.52
2022-11-01,64.59
2022-12-01,67.3
2023-01-01,73.82
2023-02-01,78.69
2023-03-01,84.82
2023-04-01,87.45
2023-05-01,91.4
2023-06-01,95.89
2023-07-01,101.92
2023-08-01,108.95
2023-09-01,116.12
2023-10-01,119.1
2023-11-01,119.64
2023-12-01,122.21
2024-01-01,125.66
2024-02-01,129.56
2024-03-01,131.33
2024-04-01,132.54
2024-05-01,137.43
2024-06-01,139.43
2024-07-01,141.31
2024-08-01,145.68
2024-09-01,147.76
2024-10-01,150.46
2024-11-01,154.25
2024-12-01,157.85
2025-01-01,165.45
2025-02-01,170.06
2025-03-01,173.2
2025-04-01,176.18
2025-05-01,181.59
2025-06-01,185.44
2025-07-01,187.34
2025-08-01,192.18
2025-09-01,194.9
