Tarih,TP_IYAW2_S19_X
2024-06-01,1674.0
2024-07-01,1695.0
2024-08-01,1702.0
2024-09-01,1694.0
2024-10-01,1713.0
2024-11-01,1690.0
2024-12-01,1682.0
2025-01-01,1667.0
2025-02-01,1683.0
2025-03-01,1673.0
2025-04-01,1661.0
2025-05-01,1778.0
2025-06-01,1774.0
2025-07-01,1753.0
2025-08-01,1766.0
2025-09-01,1757.0
