Tarih,TP_KVDB08
2000-01-01,
2000-02-01,
2000-03-01,6765.0
2000-04-01,
2000-05-01,
2000-06-01,7780.0
2000-07-01,
2000-08-01,
2000-09-01,9559.0
2000-10-01,
2000-11-01,
2000-12-01,11140.0
2001-01-01,
2001-02-01,
2001-03-01,10171.0
2001-04-01,
2001-05-01,
2001-06-01,8190.0
2001-07-01,
2001-08-01,
2001-09-01,6155.0
2001-10-01,
2001-11-01,
2001-12-01,4005.0
2002-01-01,
2002-02-01,
2002-03-01,3452.0
2002-04-01,
2002-05-01,
2002-06-01,3805.0
2002-07-01,
2002-08-01,
2002-09-01,2852.0
2002-10-01,
2002-11-01,
2002-12-01,3391.0
2003-01-01,
2003-02-01,
2003-03-01,4257.0
2003-04-01,
2003-05-01,
2003-06-01,3428.0
2003-07-01,
2003-08-01,
2003-09-01,5030.0
2003-10-01,
2003-11-01,
2003-12-01,6377.0
2004-01-01,
2004-02-01,
2004-03-01,6870.0
2004-04-01,
2004-05-01,
2004-06-01,7832.0
2004-07-01,
2004-08-01,
2004-09-01,9220.0
2004-10-01,
2004-11-01,
2004-12-01,9688.0
2005-01-01,10623.0
2005-02-01,10281.0
2005-03-01,11220.0
2005-04-01,11210.0
2005-05-01,10945.0
2005-06-01,11108.0
2005-07-01,11316.0
2005-08-01,11683.0
2005-09-01,11755.0
2005-10-01,11469.0
2005-11-01,12514.0
2005-12-01,12500.0
2006-01-01,12894.0
2006-02-01,14808.0
2006-03-01,14525.0
2006-04-01,15445.0
2006-05-01,14677.0
2006-06-01,14224.0
2006-07-01,14694.0
2006-08-01,12354.0
2006-09-01,13548.0
2006-10-01,12167.0
2006-11-01,11395.0
2006-12-01,9860.0
2007-01-01,8599.0
2007-02-01,8073.0
2007-03-01,7328.0
2007-04-01,7225.0
2007-05-01,8246.0
2007-06-01,7867.0
2007-07-01,7250.0
2007-08-01,7611.0
2007-09-01,6654.0
2007-10-01,7117.0
2007-11-01,7179.0
2007-12-01,7838.0
2008-01-01,7296.0
2008-02-01,7623.0
2008-03-01,7516.0
2008-04-01,8591.0
2008-05-01,8371.0
2008-06-01,8645.0
2008-07-01,10282.0
2008-08-01,10046.0
2008-09-01,10439.0
2008-10-01,10979.0
2008-11-01,10002.0
2008-12-01,9900.0
2009-01-01,9194.0
2009-02-01,9009.0
2009-03-01,8391.0
2009-04-01,8501.0
2009-05-01,6925.0
2009-06-01,6714.0
2009-07-01,6245.0
2009-08-01,6043.0
2009-09-01,5237.0
2009-10-01,4956.0
2009-11-01,5445.0
2009-12-01,7432.0
2010-01-01,6473.0
2010-02-01,7199.0
2010-03-01,8296.0
2010-04-01,10051.0
2010-05-01,11409.0
2010-06-01,12499.0
2010-07-01,11563.0
2010-08-01,11551.0
2010-09-01,13435.0
2010-10-01,15492.0
2010-11-01,16454.0
2010-12-01,20772.0
2011-01-01,21720.0
2011-02-01,21954.0
2011-03-01,25429.0
2011-04-01,24626.0
2011-05-01,27351.0
2011-06-01,30033.0
2011-07-01,29982.0
2011-08-01,28541.0
2011-09-01,29494.0
2011-10-01,31006.0
2011-11-01,31514.0
2011-12-01,28003.0
2012-01-01,29806.0
2012-02-01,30308.0
2012-03-01,28904.0
2012-04-01,31034.0
2012-05-01,31777.0
2012-06-01,32507.0
2012-07-01,32090.0
2012-08-01,33273.0
2012-09-01,33579.0
2012-10-01,33043.0
2012-11-01,33946.0
2012-12-01,34664.0
2013-01-01,36939.0
2013-02-01,38768.0
2013-03-01,43183.0
2013-04-01,44782.0
2013-05-01,44515.0
2013-06-01,45768.0
2013-07-01,45303.0
