Tarih,TP_KVDB18
2000-01-01,
2000-02-01,
2000-03-01,1585.0
2000-04-01,
2000-05-01,
2000-06-01,1603.0
2000-07-01,
2000-08-01,
2000-09-01,1738.0
2000-10-01,
2000-11-01,
2000-12-01,1885.0
2001-01-01,
2001-02-01,
2001-03-01,2054.0
2001-04-01,
2001-05-01,
2001-06-01,1918.0
2001-07-01,
2001-08-01,
2001-09-01,2207.0
2001-10-01,
2001-11-01,
2001-12-01,1977.0
2002-01-01,
2002-02-01,
2002-03-01,1449.0
2002-04-01,
2002-05-01,
2002-06-01,1476.0
2002-07-01,
2002-08-01,
2002-09-01,1306.0
2002-10-01,
2002-11-01,
2002-12-01,1281.0
2003-01-01,
2003-02-01,
2003-03-01,1226.0
2003-04-01,
2003-05-01,
2003-06-01,1506.0
2003-07-01,
2003-08-01,
2003-09-01,1526.0
2003-10-01,
2003-11-01,
2003-12-01,1595.0
2004-01-01,
2004-02-01,
2004-03-01,1641.0
2004-04-01,
2004-05-01,
2004-06-01,1476.0
2004-07-01,
2004-08-01,
2004-09-01,1653.0
2004-10-01,
2004-11-01,
2004-12-01,1661.0
2005-01-01,2125.0
2005-02-01,2837.0
2005-03-01,1727.0
2005-04-01,1893.0
2005-05-01,2068.0
2005-06-01,1933.0
2005-07-01,2027.0
2005-08-01,2072.0
2005-09-01,2268.0
2005-10-01,2325.0
2005-11-01,1636.0
2005-12-01,1697.0
2006-01-01,1531.0
2006-02-01,1530.0
2006-03-01,1618.0
2006-04-01,1735.0
2006-05-01,1724.0
2006-06-01,1614.0
2006-07-01,1877.0
2006-08-01,1859.0
2006-09-01,1908.0
2006-10-01,1810.0
2006-11-01,1865.0
2006-12-01,1814.0
2007-01-01,1675.0
2007-02-01,1665.0
2007-03-01,1556.0
2007-04-01,1765.0
2007-05-01,1941.0
2007-06-01,1993.0
2007-07-01,1937.0
2007-08-01,2031.0
2007-09-01,1916.0
2007-10-01,1876.0
2007-11-01,1853.0
2007-12-01,1314.0
2008-01-01,1385.0
2008-02-01,1403.0
2008-03-01,1307.0
2008-04-01,1195.0
2008-05-01,1425.0
2008-06-01,1488.0
2008-07-01,1644.0
2008-08-01,1676.0
2008-09-01,1761.0
2008-10-01,1431.0
2008-11-01,1686.0
2008-12-01,1548.0
2009-01-01,1460.0
2009-02-01,1247.0
2009-03-01,1229.0
2009-04-01,1156.0
2009-05-01,1210.0
2009-06-01,1064.0
2009-07-01,1183.0
2009-08-01,1160.0
2009-09-01,1063.0
2009-10-01,1064.0
2009-11-01,848.0
2009-12-01,800.0
2010-01-01,896.0
2010-02-01,983.0
2010-03-01,1063.0
2010-04-01,1200.0
2010-05-01,1243.0
2010-06-01,1396.0
2010-07-01,1536.0
2010-08-01,1701.0
2010-09-01,1682.0
2010-10-01,1712.0
2010-11-01,1696.0
2010-12-01,1916.0
2011-01-01,2084.0
2011-02-01,2114.0
2011-03-01,2393.0
2011-04-01,2734.0
2011-05-01,2980.0
2011-06-01,2965.0
2011-07-01,3057.0
2011-08-01,2945.0
2011-09-01,2453.0
2011-10-01,2181.0
2011-11-01,2642.0
2011-12-01,2574.0
2012-01-01,3002.0
2012-02-01,3192.0
2012-03-01,3818.0
2012-04-01,4601.0
2012-05-01,4386.0
2012-06-01,4653.0
2012-07-01,3831.0
2012-08-01,4585.0
2012-09-01,5092.0
2012-10-01,4924.0
2012-11-01,4788.0
2012-12-01,4219.0
2013-01-01,4397.0
2013-02-01,4493.0
2013-03-01,3868.0
2013-04-01,4295.0
2013-05-01,4396.0
2013-06-01,3882.0
2013-07-01,4289.0
