Tarih,TP_KVDB12
2000-01-01,
2000-02-01,
2000-03-01,8964.0
2000-04-01,
2000-05-01,
2000-06-01,10399.0
2000-07-01,
2000-08-01,
2000-09-01,10491.0
2000-10-01,
2000-11-01,
2000-12-01,10949.0
2001-01-01,
2001-02-01,
2001-03-01,9219.0
2001-04-01,
2001-05-01,
2001-06-01,8704.0
2001-07-01,
2001-08-01,
2001-09-01,9236.0
2001-10-01,
2001-11-01,
2001-12-01,8790.0
2002-01-01,
2002-02-01,
2002-03-01,8227.0
2002-04-01,
2002-05-01,
2002-06-01,9242.0
2002-07-01,
2002-08-01,
2002-09-01,9593.0
2002-10-01,
2002-11-01,
2002-12-01,10484.0
2003-01-01,
2003-02-01,
2003-03-01,10092.0
2003-04-01,
2003-05-01,
2003-06-01,11524.0
2003-07-01,
2003-08-01,
2003-09-01,12647.0
2003-10-01,
2003-11-01,
2003-12-01,13681.0
2004-01-01,
2004-02-01,
2004-03-01,14303.0
2004-04-01,
2004-05-01,
2004-06-01,16084.0
2004-07-01,
2004-08-01,
2004-09-01,16942.0
2004-10-01,
2004-11-01,
2004-12-01,18066.0
2005-01-01,18009.0
2005-02-01,18642.0
2005-03-01,17469.0
2005-04-01,18821.0
2005-05-01,19746.0
2005-06-01,19570.0
2005-07-01,19973.0
2005-08-01,20614.0
2005-09-01,21065.0
2005-10-01,21494.0
2005-11-01,20531.0
2005-12-01,21357.0
2006-01-01,20233.0
2006-02-01,20208.0
2006-03-01,20225.0
2006-04-01,21959.0
2006-05-01,23368.0
2006-06-01,23762.0
2006-07-01,24220.0
2006-08-01,24306.0
2006-09-01,24237.0
2006-10-01,23922.0
2006-11-01,24249.0
2006-12-01,24666.0
2007-01-01,24138.0
2007-02-01,23391.0
2007-03-01,23424.0
2007-04-01,24976.0
2007-05-01,26925.0
2007-06-01,27618.0
2007-07-01,28861.0
2007-08-01,29029.0
2007-09-01,29308.0
2007-10-01,29631.0
2007-11-01,30844.0
2007-12-01,31272.0
2008-01-01,32162.0
2008-02-01,32124.0
2008-03-01,32577.0
2008-04-01,33262.0
2008-05-01,34993.0
2008-06-01,36457.0
2008-07-01,37991.0
2008-08-01,37758.0
2008-09-01,37094.0
2008-10-01,33761.0
2008-11-01,30559.0
2008-12-01,27864.0
2009-01-01,24926.0
2009-02-01,23529.0
2009-03-01,26154.0
2009-04-01,26948.0
2009-05-01,27967.0
2009-06-01,28137.0
2009-07-01,29153.0
2009-08-01,28549.0
2009-09-01,28488.0
2009-10-01,28282.0
2009-11-01,28129.0
2009-12-01,28761.0
2010-01-01,27789.0
2010-02-01,26825.0
2010-03-01,27031.0
2010-04-01,28907.0
2010-05-01,30050.0
2010-06-01,29858.0
2010-07-01,30680.0
2010-08-01,32704.0
2010-09-01,32957.0
2010-10-01,34222.0
2010-11-01,34520.0
2010-12-01,38898.0
2011-01-01,38145.0
2011-02-01,37148.0
2011-03-01,36797.0
2011-04-01,39203.0
2011-05-01,41784.0
2011-06-01,41707.0
2011-07-01,41929.0
2011-08-01,40899.0
2011-09-01,40423.0
2011-10-01,39288.0
2011-11-01,41127.0
2011-12-01,39776.0
2012-01-01,38989.0
2012-02-01,36998.0
2012-03-01,37803.0
2012-04-01,39843.0
2012-05-01,41028.0
2012-06-01,40374.0
2012-07-01,39215.0
2012-08-01,39161.0
2012-09-01,39564.0
2012-10-01,38738.0
2012-11-01,39692.0
2012-12-01,40660.0
2013-01-01,40860.0
2013-02-01,40465.0
2013-03-01,38288.0
2013-04-01,40053.0
2013-05-01,41143.0
2013-06-01,40724.0
2013-07-01,41838.0
