Tarih,TP_KVDB19
2000-01-01,
2000-02-01,
2000-03-01,24070.0
2000-04-01,
2000-05-01,
2000-06-01,25085.0
2000-07-01,
2000-08-01,
2000-09-01,26930.0
2000-10-01,
2000-11-01,
2000-12-01,29502.0
2001-01-01,
2001-02-01,
2001-03-01,26103.0
2001-04-01,
2001-05-01,
2001-06-01,22363.0
2001-07-01,
2001-08-01,
2001-09-01,20832.0
2001-10-01,
2001-11-01,
2001-12-01,17539.0
2002-01-01,
2002-02-01,
2002-03-01,16073.0
2002-04-01,
2002-05-01,
2002-06-01,17470.0
2002-07-01,
2002-08-01,
2002-09-01,16799.0
2002-10-01,
2002-11-01,
2002-12-01,18679.0
2003-01-01,
2003-02-01,
2003-03-01,19859.0
2003-04-01,
2003-05-01,
2003-06-01,21085.0
2003-07-01,
2003-08-01,
2003-09-01,24821.0
2003-10-01,
2003-11-01,
2003-12-01,27290.0
2004-01-01,
2004-02-01,
2004-03-01,28860.0
2004-04-01,
2004-05-01,
2004-06-01,32204.0
2004-07-01,
2004-08-01,
2004-09-01,34652.0
2004-10-01,
2004-11-01,
2004-12-01,36597.0
2005-01-01,37191.0
2005-02-01,37443.0
2005-03-01,37220.0
2005-04-01,39202.0
2005-05-01,40220.0
2005-06-01,40148.0
2005-07-01,40949.0
2005-08-01,42812.0
2005-09-01,43510.0
2005-10-01,43742.0
2005-11-01,42342.0
2005-12-01,43452.0
2006-01-01,42871.0
2006-02-01,46764.0
2006-03-01,45884.0
2006-04-01,49044.0
2006-05-01,48669.0
2006-06-01,49526.0
2006-07-01,50121.0
2006-08-01,47843.0
2006-09-01,48591.0
2006-10-01,48275.0
2006-11-01,48666.0
2006-12-01,49236.0
2007-01-01,43543.0
2007-02-01,42258.0
2007-03-01,42246.0
2007-04-01,42768.0
2007-05-01,44479.0
2007-06-01,46596.0
2007-07-01,45511.0
2007-08-01,45448.0
2007-09-01,46507.0
2007-10-01,46189.0
2007-11-01,48329.0
2007-12-01,51679.0
2008-01-01,51461.0
2008-02-01,52184.0
2008-03-01,53847.0
2008-04-01,56834.0
2008-05-01,59093.0
2008-06-01,61736.0
2008-07-01,66692.0
2008-08-01,65019.0
2008-09-01,65944.0
2008-10-01,61161.0
2008-11-01,56272.0
2008-12-01,56258.0
2009-01-01,51592.0
2009-02-01,47790.0
2009-03-01,50306.0
2009-04-01,52014.0
2009-05-01,52604.0
2009-06-01,52548.0
2009-07-01,53894.0
2009-08-01,53635.0
2009-09-01,53486.0
2009-10-01,52768.0
2009-11-01,53819.0
2009-12-01,56006.0
2010-01-01,54237.0
2010-02-01,55836.0
2010-03-01,60105.0
2010-04-01,63534.0
2010-05-01,65940.0
2010-06-01,70355.0
2010-07-01,75495.0
2010-08-01,75377.0
2010-09-01,78958.0
2010-10-01,81937.0
2010-11-01,82737.0
2010-12-01,92948.0
2011-01-01,92109.0
2011-02-01,88898.0
2011-03-01,90166.0
2011-04-01,94125.0
2011-05-01,99818.0
2011-06-01,101339.0
2011-07-01,102711.0
2011-08-01,102169.0
2011-09-01,101068.0
2011-10-01,100499.0
2011-11-01,101664.0
2011-12-01,96867.0
2012-01-01,100165.0
2012-02-01,100175.0
2012-03-01,101104.0
2012-04-01,107662.0
2012-05-01,109485.0
2012-06-01,109716.0
2012-07-01,108009.0
2012-08-01,111646.0
2012-09-01,110450.0
2012-10-01,110715.0
2012-11-01,113021.0
2012-12-01,114621.0
2013-01-01,119994.0
2013-02-01,120651.0
2013-03-01,124782.0
2013-04-01,131410.0
2013-05-01,131823.0
2013-06-01,135244.0
2013-07-01,136535.0
