Tarih,TP_KVDB14
2013-08-01,31115.0
2013-09-01,32292.0
2013-10-01,30493.0
2013-11-01,31901.0
2013-12-01,31911.0
2014-01-01,31627.0
2014-02-01,30112.0
2014-03-01,29240.0
2014-04-01,30258.0
2014-05-01,31193.0
2014-06-01,30960.0
2014-07-01,30687.0
2014-08-01,30560.0
2014-09-01,30968.0
2014-10-01,30644.0
2014-11-01,30525.0
2014-12-01,30618.0
2015-01-01,29453.0
2015-02-01,28139.0
2015-03-01,26729.0
2015-04-01,27144.0
2015-05-01,27435.0
2015-06-01,27856.0
2015-07-01,27941.0
2015-08-01,26814.0
2015-09-01,25418.0
2015-10-01,24606.0
2015-11-01,24817.0
2015-12-01,26143.0
2016-01-01,24531.0
2016-02-01,24555.0
2016-03-01,24170.0
2016-04-01,25570.0
2016-05-01,26553.0
2016-06-01,27494.0
2016-07-01,27133.0
2016-08-01,26455.0
2016-09-01,24012.0
2016-10-01,24268.0
2016-11-01,24244.0
2016-12-01,25339.0
2017-01-01,25191.0
2017-02-01,24605.0
2017-03-01,24885.0
2017-04-01,25463.0
2017-05-01,27549.0
2017-06-01,27621.0
2017-07-01,29048.0
2017-08-01,29020.0
2017-09-01,30507.0
2017-10-01,32102.0
2017-11-01,32541.0
2017-12-01,33318.0
2018-01-01,31737.0
2018-02-01,30842.0
2018-03-01,30063.0
2018-04-01,30187.0
2018-05-01,31977.0
2018-06-01,31105.0
2018-07-01,31434.0
2018-08-01,28234.0
2018-09-01,27425.0
2018-10-01,25433.0
2018-11-01,25591.0
2018-12-01,25076.0
2019-01-01,24588.0
2019-02-01,25118.0
2019-03-01,25620.0
2019-04-01,26758.0
2019-05-01,27732.0
2019-06-01,27534.0
2019-07-01,28277.0
2019-08-01,26659.0
2019-09-01,26537.0
2019-10-01,25787.0
2019-11-01,26736.0
2019-12-01,27828.0
2020-01-01,28233.0
2020-02-01,27854.0
2020-03-01,26869.0
2020-04-01,24330.0
2020-05-01,22165.0
2020-06-01,21495.0
2020-07-01,23081.0
2020-08-01,25308.0
2020-09-01,27032.0
2020-10-01,27938.0
2020-11-01,29092.0
2020-12-01,29760.0
2021-01-01,28848.0
2021-02-01,28061.0
2021-03-01,29702.0
2021-04-01,31488.0
2021-05-01,32632.0
2021-06-01,33966.0
2021-07-01,34868.0
2021-08-01,36117.0
2021-09-01,36236.0
2021-10-01,36044.0
2021-11-01,37437.0
2021-12-01,38850.0
2022-01-01,39720.0
2022-02-01,39873.0
2022-03-01,40663.0
2022-04-01,42962.0
2022-05-01,44150.0
2022-06-01,45313.0
2022-07-01,45516.0
2022-08-01,46541.0
2022-09-01,46719.0
2022-10-01,47162.0
2022-11-01,47951.0
2022-12-01,48733.0
2023-01-01,50219.0
2023-02-01,50073.0
2023-03-01,50340.0
2023-04-01,50195.0
2023-05-01,51307.0
2023-06-01,49727.0
2023-07-01,51031.0
2023-08-01,52564.0
2023-09-01,52902.0
2023-10-01,53864.0
2023-11-01,52845.0
2023-12-01,54284.0
2024-01-01,51492.0
2024-02-01,49864.0
2024-03-01,49666.0
2024-04-01,50605.0
2024-05-01,52113.0
2024-06-01,51849.0
2024-07-01,53385.0
2024-08-01,53549.0
2024-09-01,53085.0
2024-10-01,53052.0
2024-11-01,52663.0
2024-12-01,54847.0
2025-01-01,53155.0
2025-02-01,52263.0
2025-03-01,51917.0
2025-04-01,54450.0
2025-05-01,56500.0
2025-06-01,56928.0
2025-07-01,57781.0
2025-08-01,56967.0
