Tarih,TP_KVDB07
2000-01-01,
2000-02-01,
2000-03-01,14426.0
2000-04-01,
2000-05-01,
2000-06-01,14003.0
2000-07-01,
2000-08-01,
2000-09-01,15814.0
2000-10-01,
2000-11-01,
2000-12-01,16900.0
2001-01-01,
2001-02-01,
2001-03-01,15276.0
2001-04-01,
2001-05-01,
2001-06-01,13078.0
2001-07-01,
2001-08-01,
2001-09-01,10964.0
2001-10-01,
2001-11-01,
2001-12-01,7997.0
2002-01-01,
2002-02-01,
2002-03-01,6891.0
2002-04-01,
2002-05-01,
2002-06-01,7031.0
2002-07-01,
2002-08-01,
2002-09-01,5706.0
2002-10-01,
2002-11-01,
2002-12-01,6540.0
2003-01-01,
2003-02-01,
2003-03-01,7995.0
2003-04-01,
2003-05-01,
2003-06-01,7551.0
2003-07-01,
2003-08-01,
2003-09-01,9670.0
2003-10-01,
2003-11-01,
2003-12-01,10749.0
2004-01-01,
2004-02-01,
2004-03-01,11674.0
2004-04-01,
2004-05-01,
2004-06-01,13218.0
2004-07-01,
2004-08-01,
2004-09-01,14696.0
2004-10-01,
2004-11-01,
2004-12-01,15244.0
2005-01-01,16033.0
2005-02-01,15628.0
2005-03-01,16641.0
2005-04-01,17289.0
2005-05-01,17496.0
2005-06-01,17703.0
2005-07-01,18097.0
2005-08-01,19274.0
2005-09-01,19590.0
2005-10-01,19392.0
2005-11-01,19038.0
2005-12-01,19332.0
2006-01-01,19839.0
2006-02-01,23821.0
2006-03-01,22906.0
2006-04-01,24283.0
2006-05-01,22539.0
2006-06-01,22990.0
2006-07-01,23148.0
2006-08-01,20851.0
2006-09-01,21757.0
2006-10-01,21795.0
2006-11-01,21820.0
2006-12-01,22007.0
2007-01-01,16909.0
2007-02-01,16361.0
2007-03-01,16327.0
2007-04-01,15276.0
2007-05-01,15099.0
2007-06-01,16549.0
2007-07-01,14233.0
2007-08-01,14113.0
2007-09-01,14868.0
2007-10-01,14242.0
2007-11-01,15154.0
2007-12-01,18125.0
2008-01-01,17036.0
2008-02-01,17773.0
2008-03-01,18913.0
2008-04-01,21273.0
2008-05-01,21828.0
2008-06-01,23006.0
2008-07-01,26491.0
2008-08-01,25217.0
2008-09-01,26870.0
2008-10-01,25641.0
2008-11-01,23994.0
2008-12-01,26520.0
2009-01-01,24937.0
2009-02-01,22581.0
2009-03-01,22431.0
2009-04-01,23348.0
2009-05-01,22849.0
2009-06-01,22613.0
2009-07-01,22957.0
2009-08-01,23293.0
2009-09-01,23191.0
2009-10-01,22652.0
2009-11-01,23841.0
2009-12-01,25481.0
2010-01-01,24726.0
2010-02-01,27352.0
2010-03-01,31420.0
2010-04-01,33008.0
2010-05-01,34370.0
2010-06-01,39003.0
2010-07-01,43236.0
2010-08-01,41147.0
2010-09-01,44388.0
2010-10-01,46093.0
2010-11-01,46668.0
2010-12-01,52497.0
2011-01-01,52369.0
2011-02-01,50152.0
2011-03-01,51756.0
2011-04-01,53238.0
2011-05-01,56429.0
2011-06-01,58036.0
2011-07-01,59226.0
2011-08-01,59754.0
2011-09-01,59266.0
2011-10-01,59829.0
2011-11-01,59239.0
2011-12-01,55852.0
2012-01-01,59925.0
2012-02-01,61911.0
2012-03-01,62058.0
2012-04-01,66593.0
2012-05-01,67314.0
2012-06-01,68215.0
2012-07-01,67711.0
2012-08-01,71411.0
2012-09-01,69815.0
2012-10-01,70924.0
2012-11-01,72295.0
2012-12-01,72925.0
2013-01-01,78077.0
2013-02-01,79175.0
2013-03-01,85514.0
2013-04-01,90367.0
2013-05-01,89709.0
2013-06-01,93557.0
2013-07-01,93731.0
