Tarih,TP_KVDB09
2000-01-01,
2000-02-01,
2000-03-01,3426.0
2000-04-01,
2000-05-01,
2000-06-01,2674.0
2000-07-01,
2000-08-01,
2000-09-01,2663.0
2000-10-01,
2000-11-01,
2000-12-01,2414.0
2001-01-01,
2001-02-01,
2001-03-01,2448.0
2001-04-01,
2001-05-01,
2001-06-01,2377.0
2001-07-01,
2001-08-01,
2001-09-01,2489.0
2001-10-01,
2001-11-01,
2001-12-01,2219.0
2002-01-01,
2002-02-01,
2002-03-01,2081.0
2002-04-01,
2002-05-01,
2002-06-01,2163.0
2002-07-01,
2002-08-01,
2002-09-01,2348.0
2002-10-01,
2002-11-01,
2002-12-01,2453.0
2003-01-01,
2003-02-01,
2003-03-01,2458.0
2003-04-01,
2003-05-01,
2003-06-01,2691.0
2003-07-01,
2003-08-01,
2003-09-01,2812.0
2003-10-01,
2003-11-01,
2003-12-01,3038.0
2004-01-01,
2004-02-01,
2004-03-01,2735.0
2004-04-01,
2004-05-01,
2004-06-01,2971.0
2004-07-01,
2004-08-01,
2004-09-01,2934.0
2004-10-01,
2004-11-01,
2004-12-01,3083.0
2005-01-01,2962.0
2005-02-01,2634.0
2005-03-01,2508.0
2005-04-01,2679.0
2005-05-01,2750.0
2005-06-01,2508.0
2005-07-01,2517.0
2005-08-01,2493.0
2005-09-01,2513.0
2005-10-01,2503.0
2005-11-01,2416.0
2005-12-01,2671.0
2006-01-01,2210.0
2006-02-01,2180.0
2006-03-01,2155.0
2006-04-01,1949.0
2006-05-01,1926.0
2006-06-01,1980.0
2006-07-01,2027.0
2006-08-01,2192.0
2006-09-01,2227.0
2006-10-01,2229.0
2006-11-01,2305.0
2006-12-01,2402.0
2007-01-01,2359.0
2007-02-01,2374.0
2007-03-01,2513.0
2007-04-01,2695.0
2007-05-01,2691.0
2007-06-01,2739.0
2007-07-01,2834.0
2007-08-01,2778.0
2007-09-01,2814.0
2007-10-01,2800.0
2007-11-01,2764.0
2007-12-01,2751.0
2008-01-01,2761.0
2008-02-01,2852.0
2008-03-01,2848.0
2008-04-01,2962.0
2008-05-01,3043.0
2008-06-01,3138.0
2008-07-01,3259.0
2008-08-01,3030.0
2008-09-01,3081.0
2008-10-01,2802.0
2008-11-01,2421.0
2008-12-01,3882.0
2009-01-01,3824.0
2009-02-01,3635.0
2009-03-01,3734.0
2009-04-01,3733.0
2009-05-01,3699.0
2009-06-01,3773.0
2009-07-01,3884.0
2009-08-01,4204.0
2009-09-01,4377.0
2009-10-01,4627.0
2009-11-01,4735.0
2009-12-01,4710.0
2010-01-01,5052.0
2010-02-01,4942.0
2010-03-01,5083.0
2010-04-01,4968.0
2010-05-01,4637.0
2010-06-01,4619.0
2010-07-01,4732.0
2010-08-01,4565.0
2010-09-01,4628.0
2010-10-01,3996.0
2010-11-01,4558.0
2010-12-01,3785.0
2011-01-01,3935.0
2011-02-01,4033.0
2011-03-01,4179.0
2011-04-01,4514.0
2011-05-01,4213.0
2011-06-01,4726.0
2011-07-01,4821.0
2011-08-01,5310.0
2011-09-01,5734.0
2011-10-01,5038.0
2011-11-01,5118.0
2011-12-01,6776.0
2012-01-01,7110.0
2012-02-01,8263.0
2012-03-01,8019.0
2012-04-01,7896.0
2012-05-01,8405.0
2012-06-01,8438.0
2012-07-01,6824.0
2012-08-01,6925.0
2012-09-01,7379.0
2012-10-01,7296.0
2012-11-01,7912.0
2012-12-01,8025.0
2013-01-01,8162.0
2013-02-01,8183.0
2013-03-01,8268.0
2013-04-01,8641.0
2013-05-01,8827.0
2013-06-01,8998.0
2013-07-01,9244.0
