Tarih,TP_IYA_CNDU2_S12_X
2015-06-01,534.0
2015-07-01,538.0
2015-08-01,525.0
2015-09-01,544.0
2015-10-01,539.0
2015-11-01,523.0
2015-12-01,529.0
2016-01-01,517.0
2016-02-01,523.0
2016-03-01,523.0
2016-04-01,537.0
2016-05-01,520.0
2016-06-01,517.0
2016-07-01,515.0
2016-08-01,517.0
2016-09-01,522.0
2016-10-01,520.0
2016-11-01,513.0
2016-12-01,518.0
2017-01-01,526.0
2017-02-01,511.0
2017-03-01,519.0
2017-04-01,502.0
2017-05-01,499.0
2017-06-01,503.0
2017-07-01,516.0
2017-08-01,495.0
2017-09-01,512.0
2017-10-01,506.0
2017-11-01,508.0
2017-12-01,502.0
2018-01-01,505.0
2018-02-01,503.0
2018-03-01,511.0
2018-04-01,503.0
2018-05-01,514.0
2018-06-01,495.0
2018-07-01,502.0
2018-08-01,492.0
2018-09-01,495.0
2018-10-01,500.0
2018-11-01,491.0
2018-12-01,497.0
2019-01-01,407.0
2019-02-01,398.0
2019-03-01,385.0
2019-04-01,391.0
2019-05-01,385.0
2019-06-01,394.0
2019-07-01,388.0
2019-08-01,396.0
2019-09-01,401.0
2019-10-01,397.0
2019-11-01,398.0
2019-12-01,391.0
2020-01-01,393.0
2020-02-01,394.0
2020-03-01,396.0
2020-04-01,367.0
2020-05-01,370.0
2020-06-01,373.0
2020-07-01,375.0
2020-08-01,381.0
2020-09-01,382.0
2020-10-01,375.0
2020-11-01,378.0
2020-12-01,380.0
2021-01-01,379.0
2021-02-01,390.0
2021-03-01,391.0
2021-04-01,391.0
2021-05-01,387.0
2021-06-01,388.0
2021-07-01,378.0
2021-08-01,388.0
2021-09-01,393.0
2021-10-01,389.0
2021-11-01,379.0
2021-12-01,398.0
2022-01-01,396.0
2022-02-01,384.0
2022-03-01,385.0
2022-04-01,384.0
2022-05-01,395.0
2022-06-01,400.0
2022-07-01,381.0
2022-08-01,400.0
2022-09-01,397.0
2022-10-01,395.0
2022-11-01,388.0
2022-12-01,386.0
2023-01-01,390.0
2023-02-01,376.0
2023-03-01,387.0
2023-04-01,392.0
2023-05-01,402.0
2023-06-01,413.0
2023-07-01,404.0
2023-08-01,401.0
2023-09-01,417.0
2023-10-01,406.0
2023-11-01,412.0
2023-12-01,397.0
2024-01-01,405.0
2024-02-01,399.0
2024-03-01,401.0
2024-04-01,393.0
2024-05-01,414.0
2024-06-01,406.0
2024-07-01,423.0
2024-08-01,408.0
2024-09-01,414.0
2024-10-01,425.0
2024-11-01,402.0
2024-12-01,413.0
2025-01-01,392.0
2025-02-01,404.0
2025-03-01,398.0
2025-04-01,403.0
2025-05-01,409.0
2025-06-01,409.0
2025-07-01,410.0
2025-08-01,401.0
2025-09-01,412.0
