Tarih,TP_IYA_CNDU2_S25_A
2015-06-01,44.1
2015-07-01,36.9
2015-08-01,39.4
2015-09-01,49.9
2015-10-01,41.0
2015-11-01,39.2
2015-12-01,48.8
2016-01-01,46.2
2016-02-01,48.2
2016-03-01,36.5
2016-04-01,35.2
2016-05-01,40.2
2016-06-01,38.5
2016-07-01,34.6
2016-08-01,37.9
2016-09-01,38.9
2016-10-01,34.6
2016-11-01,36.9
2016-12-01,49.7
2017-01-01,53.8
2017-02-01,49.4
2017-03-01,45.3
2017-04-01,41.3
2017-05-01,41.4
2017-06-01,28.8
2017-07-01,35.4
2017-08-01,36.9
2017-09-01,38.3
2017-10-01,43.5
2017-11-01,50.8
2017-12-01,50.5
2018-01-01,48.4
2018-02-01,46.3
2018-03-01,47.2
2018-04-01,50.3
2018-05-01,49.9
2018-06-01,53.7
2018-07-01,53.7
2018-08-01,65.4
2018-09-01,71.4
2018-10-01,56.1
2018-11-01,51.6
2018-12-01,43.3
2019-01-01,56.9
2019-02-01,48.4
2019-03-01,49.3
2019-04-01,55.5
2019-05-01,58.5
2019-06-01,48.9
2019-07-01,47.1
2019-08-01,41.4
2019-09-01,48.3
2019-10-01,51.9
2019-11-01,46.3
2019-12-01,50.1
2020-01-01,52.9
2020-02-01,46.2
2020-03-01,43.2
2020-04-01,58.0
2020-05-01,57.3
2020-06-01,48.7
2020-07-01,46.6
2020-08-01,58.6
2020-09-01,52.1
2020-10-01,56.6
2020-11-01,52.7
2020-12-01,59.8
2021-01-01,49.7
2021-02-01,45.4
2021-03-01,46.1
2021-04-01,47.4
2021-05-01,50.2
2021-06-01,53.4
2021-07-01,55.7
2021-08-01,55.7
2021-09-01,51.3
2021-10-01,64.8
2021-11-01,67.8
2021-12-01,76.0
2022-01-01,71.4
2022-02-01,67.9
2022-03-01,70.5
2022-04-01,73.2
2022-05-01,70.8
2022-06-01,79.2
2022-07-01,75.7
2022-08-01,66.9
2022-09-01,69.6
2022-10-01,67.0
2022-11-01,70.1
2022-12-01,69.4
2023-01-01,64.5
2023-02-01,62.5
2023-03-01,61.6
2023-04-01,61.7
2023-05-01,59.6
2023-06-01,67.8
2023-07-01,74.5
2023-08-01,75.0
2023-09-01,66.0
2023-10-01,68.3
2023-11-01,69.3
2023-12-01,70.3
2024-01-01,71.6
2024-02-01,64.1
2024-03-01,69.8
2024-04-01,68.2
2024-05-01,60.9
2024-06-01,62.7
2024-07-01,61.4
2024-08-01,67.6
2024-09-01,60.8
2024-10-01,56.1
2024-11-01,65.7
2024-12-01,68.7
2025-01-01,66.4
2025-02-01,58.6
2025-03-01,57.6
2025-04-01,59.8
2025-05-01,58.0
2025-06-01,57.0
2025-07-01,58.3
2025-08-01,54.3
2025-09-01,54.4
