Tarih,TP_YISGUCU2_G1
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,47938.0
2005-02-01,48015.0
2005-03-01,48086.0
2005-04-01,48163.0
2005-05-01,48239.0
2005-06-01,48317.0
2005-07-01,48392.0
2005-08-01,48470.0
2005-09-01,48548.0
2005-10-01,48623.0
2005-11-01,48701.0
2005-12-01,48776.0
2006-01-01,48854.0
2006-02-01,48933.0
2006-03-01,49003.0
2006-04-01,49081.0
2006-05-01,49157.0
2006-06-01,49235.0
2006-07-01,49311.0
2006-08-01,49389.0
2006-09-01,49467.0
2006-10-01,49543.0
2006-11-01,49621.0
2006-12-01,49697.0
2007-01-01,49773.0
2007-02-01,49848.0
2007-03-01,49916.0
2007-04-01,49991.0
2007-05-01,50064.0
2007-06-01,50139.0
2007-07-01,50212.0
2007-08-01,50287.0
2007-09-01,50362.0
2007-10-01,50435.0
2007-11-01,50510.0
2007-12-01,50583.0
2008-01-01,50651.0
2008-02-01,50712.0
2008-03-01,50769.0
2008-04-01,50831.0
2008-05-01,50890.0
2008-06-01,50951.0
2008-07-01,51010.0
2008-08-01,51071.0
2008-09-01,51133.0
2008-10-01,51192.0
2008-11-01,51253.0
2008-12-01,51312.0
2009-01-01,51393.0
2009-02-01,51466.0
2009-03-01,51542.0
2009-04-01,51626.0
2009-05-01,51707.0
2009-06-01,51791.0
2009-07-01,51872.0
2009-08-01,51956.0
2009-09-01,52039.0
2009-10-01,52120.0
2009-11-01,52204.0
2009-12-01,52285.0
2010-01-01,52376.0
2010-02-01,52474.0
2010-03-01,52561.0
2010-04-01,52661.0
2010-05-01,52756.0
2010-06-01,52854.0
2010-07-01,52949.0
2010-08-01,53047.0
2010-09-01,53145.0
2010-10-01,53240.0
2010-11-01,53338.0
2010-12-01,53433.0
2011-01-01,53525.0
2011-02-01,53610.0
2011-03-01,53688.0
2011-04-01,53773.0
2011-05-01,53856.0
2011-06-01,53941.0
2011-07-01,54024.0
2011-08-01,54109.0
2011-09-01,54195.0
2011-10-01,54277.0
2011-11-01,54363.0
2011-12-01,54445.0
2012-01-01,54528.0
2012-02-01,54608.0
2012-03-01,54683.0
2012-04-01,54763.0
2012-05-01,54841.0
2012-06-01,54921.0
2012-07-01,54998.0
2012-08-01,55078.0
2012-09-01,55159.0
2012-10-01,55236.0
2012-11-01,55316.0
2012-12-01,55394.0
2013-01-01,55480.0
2013-02-01,55573.0
2013-03-01,55658.0
2013-04-01,55751.0
2013-05-01,55841.0
2013-06-01,55935.0
2013-07-01,56025.0
2013-08-01,56118.0
2013-09-01,56212.0
2013-10-01,56302.0
2013-11-01,56395.0
2013-12-01,56486.0
2014-01-01,56571.0
