Tarih,TP_YISGUCU2_G2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,20277.0
2005-02-01,19912.0
2005-03-01,20662.0
2005-04-01,21242.0
2005-05-01,21660.0
2005-06-01,21948.0
2005-07-01,21878.0
2005-08-01,22009.0
2005-09-01,21923.0
2005-10-01,21595.0
2005-11-01,21528.0
2005-12-01,21219.0
2006-01-01,20347.0
2006-02-01,20300.0
2006-03-01,20784.0
2006-04-01,21374.0
2006-05-01,21969.0
2006-06-01,22148.0
2006-07-01,22322.0
2006-08-01,22329.0
2006-09-01,22318.0
2006-10-01,21848.0
2006-11-01,21820.0
2006-12-01,21663.0
2007-01-01,20965.0
2007-02-01,20954.0
2007-03-01,21343.0
2007-04-01,21901.0
2007-05-01,22403.0
2007-06-01,22649.0
2007-07-01,22743.0
2007-08-01,22645.0
2007-09-01,22502.0
2007-10-01,22120.0
2007-11-01,21752.0
2007-12-01,21471.0
2008-01-01,21382.0
2008-02-01,21179.0
2008-03-01,21857.0
2008-04-01,22518.0
2008-05-01,22742.0
2008-06-01,23378.0
2008-07-01,23615.0
2008-08-01,23138.0
2008-09-01,23241.0
2008-10-01,23225.0
2008-11-01,22569.0
2008-12-01,22691.0
2009-01-01,22511.0
2009-02-01,22164.0
2009-03-01,22827.0
2009-04-01,23294.0
2009-05-01,23503.0
2009-06-01,24180.0
2009-07-01,24428.0
2009-08-01,24119.0
2009-09-01,24410.0
2009-10-01,23983.0
2009-11-01,23785.0
2009-12-01,23857.0
2010-01-01,23473.0
2010-02-01,23569.0
2010-03-01,24168.0
2010-04-01,24449.0
2010-05-01,24700.0
2010-06-01,25116.0
2010-07-01,25277.0
2010-08-01,24813.0
2010-09-01,24975.0
2010-10-01,24674.0
2010-11-01,24482.0
2010-12-01,24493.0
2011-01-01,24381.0
2011-02-01,24434.0
2011-03-01,24916.0
2011-04-01,25438.0
2011-05-01,25815.0
2011-06-01,26067.0
2011-07-01,26419.0
2011-08-01,25978.0
2011-09-01,25964.0
2011-10-01,25670.0
2011-11-01,25294.0
2011-12-01,25053.0
2012-01-01,24578.0
2012-02-01,24377.0
2012-03-01,25134.0
2012-04-01,25673.0
2012-05-01,26303.0
2012-06-01,26471.0
2012-07-01,26334.0
2012-08-01,26286.0
2012-09-01,26350.0
2012-10-01,26594.0
2012-11-01,26389.0
2012-12-01,26204.0
2013-01-01,25953.0
2013-02-01,25826.0
2013-03-01,26341.0
2013-04-01,26918.0
2013-05-01,27388.0
2013-06-01,27386.0
2013-07-01,27436.0
2013-08-01,27348.0
2013-09-01,27138.0
2013-10-01,27114.0
2013-11-01,26812.0
2013-12-01,26797.0
2014-01-01,27059.0
