Tarih,TP_FINHESTNKS12T_ZP37
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,293549961.13
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,230104628.95
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,303012341.19
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,249967250.45
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,325330663.12
2015-01-01,293939908.58
2015-04-01,295440879.17
2015-07-01,281872506.31
2015-10-01,275263737.64
2016-01-01,291845717.97
2016-04-01,294328465.63
2016-07-01,311927326.56
2016-10-01,347109341.69
2017-01-01,376486156.53
2017-04-01,408782257.11
2017-07-01,426221731.3
2017-10-01,434922153.36
2018-01-01,424965525.42
2018-04-01,373318366.13
2018-07-01,400678614.09
2018-10-01,532520645.0
2019-01-01,449676250.42
2019-04-01,543462699.98
2019-07-01,604886139.25
2019-10-01,815132758.67
2020-01-01,534317769.58
2020-04-01,711850353.0
2020-07-01,816922130.63
2020-10-01,932570621.95
2021-01-01,626594445.31
2021-04-01,628523061.13
2021-07-01,620031907.88
2021-10-01,687520126.9
2022-01-01,654061167.81
2022-04-01,723970244.46
2022-07-01,977208994.9
2022-10-01,1407180873.78
2023-01-01,1421078724.39
2023-04-01,1582680545.79
2023-07-01,2098976744.65
2023-10-01,2053649511.42
2024-01-01,2618279346.49
2024-04-01,3856380698.92
2024-07-01,4271907121.47
2024-10-01,4686061313.34
2025-01-01,4004003219.24
2025-04-01,4949611097.41
