Tarih,TP_FINHESTNKS12T_ZP35
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,83952485.04
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,134380477.29
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,121897416.72
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,184151808.65
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,220974365.92
2015-01-01,232756040.71
2015-04-01,244803942.05
2015-07-01,229908914.12
2015-10-01,219091771.48
2016-01-01,218839034.18
2016-04-01,215426850.76
2016-07-01,211534699.69
2016-10-01,199741396.32
2017-01-01,206179122.91
2017-04-01,209830279.85
2017-07-01,220131072.99
2017-10-01,247877659.13
2018-01-01,251576006.8
2018-04-01,345156261.42
2018-07-01,365230419.84
2018-10-01,293546302.55
2019-01-01,325911836.31
2019-04-01,338900684.42
2019-07-01,294704564.06
2019-10-01,279869840.85
2020-01-01,345221397.83
2020-04-01,463540279.21
2020-07-01,532055965.9
2020-10-01,523551790.14
2021-01-01,644229663.23
2021-04-01,662497547.31
2021-07-01,679470343.96
2021-10-01,965722004.42
2022-01-01,894759244.49
2022-04-01,1181710399.72
2022-07-01,916519717.07
2022-10-01,951034935.11
2023-01-01,1179536666.26
2023-04-01,1529993563.62
2023-07-01,1624064827.62
2023-10-01,1534452582.29
2024-01-01,2270245750.05
2024-04-01,2601795263.33
2024-07-01,2181885834.8
2024-10-01,2302286227.62
2025-01-01,2711044408.63
2025-04-01,2685650173.21
