Tarih,TP_KB_GEN41
2022-09-01,7328846.0
2022-10-01,101791112.0
2022-11-01,65187180.0
2022-12-01,87965359.0
2023-01-01,111070525.0
2023-02-01,55530026.0
2023-03-01,87241763.0
2023-04-01,54993513.0
2023-05-01,37599416.0
2023-06-01,68843591.0
2023-07-01,33928353.0
2023-08-01,130416953.0
2023-09-01,97907104.0
2023-10-01,70400438.0
2023-11-01,161822220.0
2023-12-01,51063892.0
2024-01-01,141816564.0
2024-02-01,145780241.0
2024-03-01,63629969.0
2024-04-01,98896464.0
2024-05-01,152794176.0
2024-06-01,172838854.0
2024-07-01,168846481.0
2024-08-01,50598805.0
2024-09-01,135579389.0
2024-10-01,256517275.0
2024-11-01,197271681.0
2024-12-01,158538806.0
2025-01-01,213875547.0
2025-02-01,203446301.0
2025-03-01,86102713.0
2025-04-01,271386542.0
2025-05-01,218057245.0
2025-06-01,253008363.0
2025-07-01,476779901.0
2025-08-01,329847184.0
