Tarih,TP_KB_GEN49
2022-09-01,54183615.0
2022-10-01,53776325.0
2022-11-01,39281400.0
2022-12-01,45877406.0
2023-01-01,69765179.0
2023-02-01,67477292.0
2023-03-01,69654055.0
2023-04-01,48207451.0
2023-05-01,37506704.0
2023-06-01,71267313.0
2023-07-01,71970537.0
2023-08-01,144177523.0
2023-09-01,91586614.0
2023-10-01,66408650.0
2023-11-01,86360176.0
2023-12-01,104478822.0
2024-01-01,142795897.0
2024-02-01,90784291.0
2024-03-01,70204065.0
2024-04-01,96019047.0
2024-05-01,188256898.0
2024-06-01,157557478.0
2024-07-01,97089721.0
2024-08-01,130144459.0
2024-09-01,152302463.0
2024-10-01,142101919.0
2024-11-01,174402055.0
2024-12-01,132158389.0
2025-01-01,175040962.0
2025-02-01,188031603.0
2025-03-01,200234424.0
2025-04-01,230872000.0
2025-05-01,121578519.0
2025-06-01,279537390.0
2025-07-01,255492619.0
2025-08-01,282022036.0
