Tarih,TP_KB_GEN32
2023-08-01,31788863.0
2023-09-01,23279476.0
2023-10-01,9610368.0
2023-11-01,10861125.0
2023-12-01,23464872.0
2024-01-01,26022151.0
2024-02-01,37896642.0
2024-03-01,29513885.0
2024-04-01,6804946.0
2024-05-01,11978896.0
2024-06-01,18676845.0
2024-07-01,35430898.0
2024-08-01,16859323.0
2024-09-01,15236351.0
2024-10-01,21523079.0
2024-11-01,14855180.0
2024-12-01,62460006.0
2025-01-01,11945930.0
2025-02-01,22367034.0
2025-03-01,7516437.0
2025-04-01,6181602.0
2025-05-01,22875967.0
2025-06-01,23389165.0
2025-07-01,24578340.0
2025-08-01,19749645.0
