Tarih,TP_KB_GEN08
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,10870.0
2006-02-01,31296.0
2006-03-01,79187.0
2006-04-01,15153.0
2006-05-01,9860.0
2006-06-01,30387.0
2006-07-01,9911.0
2006-08-01,16577.0
2006-09-01,19397.0
2006-10-01,18353.0
2006-11-01,23820.0
2006-12-01,1990171.0
2007-01-01,30915.0
2007-02-01,108359.0
2007-03-01,59594.0
2007-04-01,20460.0
2007-05-01,28702.0
2007-06-01,1129344.0
2007-07-01,132162.0
2007-08-01,56051.0
2007-09-01,34399.0
2007-10-01,51192.0
2007-11-01,52355.0
2007-12-01,141072.0
2008-01-01,26484.0
2008-02-01,151450.0
2008-03-01,50108.0
2008-04-01,113371.0
2008-05-01,77545.0
2008-06-01,-63264.0
2008-07-01,92355.0
2008-08-01,111851.0
2008-09-01,85805.0
2008-10-01,67480.0
2008-11-01,68742.0
2008-12-01,67669.0
2009-01-01,37660.0
2009-02-01,210092.0
2009-03-01,111656.0
2009-04-01,40389.0
2009-05-01,32397.0
2009-06-01,89755.0
2009-07-01,29072.0
2009-08-01,26446.0
2009-09-01,135795.0
2009-10-01,79348.0
2009-11-01,37884.0
2009-12-01,-23165.0
2010-01-01,41397.0
2010-02-01,248102.0
2010-03-01,172267.0
2010-04-01,104457.0
2010-05-01,51686.0
2010-06-01,502940.0
2010-07-01,187899.0
2010-08-01,74915.0
2010-09-01,51156.0
2010-10-01,37541.0
2010-11-01,70776.0
2010-12-01,-577620.0
2011-01-01,157043.0
2011-02-01,139705.0
2011-03-01,153969.0
2011-04-01,61768.0
2011-05-01,59797.0
2011-06-01,75387.0
2011-07-01,275762.0
2011-08-01,49602.0
2011-09-01,49700.0
2011-10-01,50397.0
2011-11-01,92195.0
2011-12-01,-96963.0
2012-01-01,152723.0
2012-02-01,166680.0
2012-03-01,187274.0
2012-04-01,94620.0
2012-05-01,132504.0
2012-06-01,445775.0
2012-07-01,135725.0
2012-08-01,11212.0
2012-09-01,49624.0
2012-10-01,82673.0
2012-11-01,81361.0
2012-12-01,111527.0
2013-01-01,137871.0
2013-02-01,202291.0
2013-03-01,103941.0
2013-04-01,54943.0
2013-05-01,85007.0
2013-06-01,502305.0
2013-07-01,144333.0
2013-08-01,65499.0
2013-09-01,127189.0
2013-10-01,106751.0
2013-11-01,138390.0
2013-12-01,-572949.0
2014-01-01,344803.0
2014-02-01,87656.0
2014-03-01,239628.0
2014-04-01,107862.0
