Tarih,TP_KY_DVDY35
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,6.0
2001-03-01,7.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,32899.0
2001-12-01,0.0
2002-01-01,2319.0
2002-02-01,2459.0
2002-03-01,1304.0
2002-04-01,109.0
2002-05-01,118.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,255.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,4250.0
2007-02-01,1364.0
2007-03-01,1816.0
2007-04-01,820.0
2007-05-01,790.0
2007-06-01,1517.0
2007-07-01,576.0
2007-08-01,1061.0
2007-09-01,16825.0
2007-10-01,15529.0
2007-11-01,15529.0
2007-12-01,523.0
2008-01-01,525.0
2008-02-01,965.0
2008-03-01,589.0
2008-04-01,580.0
2008-05-01,543.0
2008-06-01,549.0
2008-07-01,522.0
2008-08-01,786.0
2008-09-01,371.0
2008-10-01,470.0
2008-11-01,467.0
2008-12-01,466.0
2009-01-01,499.0
2009-02-01,2083.0
2009-03-01,737.0
2009-04-01,691.0
2009-05-01,688.0
2009-06-01,897.0
2009-07-01,646.0
2009-08-01,2438.0
2009-09-01,665.0
2009-10-01,674.0
2009-11-01,684.0
2009-12-01,663.0
2010-01-01,649.0
2010-02-01,1899.0
2010-03-01,636.0
2010-04-01,13882.0
2010-05-01,736.0
2010-06-01,430.0
2010-07-01,423.0
2010-08-01,1168.0
2010-09-01,418.0
2010-10-01,418.0
2010-11-01,426.0
2010-12-01,437.0
2011-01-01,482.0
2011-02-01,2532.0
2011-03-01,491.0
2011-04-01,483.0
2011-05-01,476.0
2011-06-01,719.0
2011-07-01,741.0
2011-08-01,2207.0
2011-09-01,808.0
2011-10-01,772.0
2011-11-01,1032.0
2011-12-01,1052.0
2012-01-01,2926.0
2012-02-01,3223.0
2012-03-01,8674.0
2012-04-01,1719.0
2012-05-01,2089.0
2012-06-01,994.0
2012-07-01,758.0
2012-08-01,2292.0
2012-09-01,1343.0
2012-10-01,44636.0
2012-11-01,44340.0
2012-12-01,44404.0
2013-01-01,42180.0
2013-02-01,43624.0
2013-03-01,41831.0
2013-04-01,40967.0
2013-05-01,42546.0
2013-06-01,42592.0
2013-07-01,42215.0
2013-08-01,45182.0
2013-09-01,42987.0
2013-10-01,41371.0
2013-11-01,41248.0
2013-12-01,42639.0
2014-01-01,45092.0
2014-02-01,45578.0
2014-03-01,41980.0
2014-04-01,40409.0
2014-05-01,39317.0
2014-06-01,39588.0
2014-07-01,39137.0
2014-08-01,40827.0
2014-09-01,40318.0
2014-10-01,38338.0
2014-11-01,37955.0
2014-12-01,39377.0
2015-01-01,39984.0
2015-02-01,42900.0
2015-03-01,41690.0
2015-04-01,41520.0
2015-05-01,40857.0
2015-06-01,40929.0
2015-07-01,49997.0
2015-08-01,54072.0
2015-09-01,57388.0
2015-10-01,55414.0
2015-11-01,60817.0
2015-12-01,78034.0
2016-01-01,74194.0
2016-02-01,99911.0
2016-03-01,105084.0
2016-04-01,109828.0
2016-05-01,125749.0
2016-06-01,126265.0
2016-07-01,136225.0
2016-08-01,135388.0
2016-09-01,141574.0
2016-10-01,150995.0
2016-11-01,164997.0
2016-12-01,182422.0
2017-01-01,196904.0
2017-02-01,190048.0
2017-03-01,189340.0
2017-04-01,206638.0
2017-05-01,205774.0
2017-06-01,204119.0
2017-07-01,211578.0
2017-08-01,209250.0
2017-09-01,210952.0
2017-10-01,222264.0
2017-11-01,231220.0
2017-12-01,248155.0
2018-01-01,235984.0
2018-02-01,244789.0
2018-03-01,250802.0
2018-04-01,247215.0
2018-05-01,326384.0
2018-06-01,337976.0
2018-07-01,358930.0
2018-08-01,481260.0
2018-09-01,458401.0
2018-10-01,483604.0
