Tarih,TP_KY_DVDY22
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,1089.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,2365.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,11.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,238.0
2003-03-01,402.0
2003-04-01,1.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,2584.0
2003-12-01,70.0
2004-01-01,80.0
2004-02-01,97.0
2004-03-01,2.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,75.0
2004-07-01,582.0
2004-08-01,4029.0
2004-09-01,3383.0
2004-10-01,4038.0
2004-11-01,3892.0
2004-12-01,0.0
2005-01-01,2597.0
2005-02-01,3162.0
2005-03-01,2629.0
2005-04-01,1160.0
2005-05-01,1042.0
2005-06-01,1015.0
2005-07-01,1004.0
2005-08-01,2555.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,1.0
2006-04-01,7.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,1874.0
2007-02-01,1824.0
2007-03-01,1719.0
2007-04-01,1385.0
2007-05-01,1534.0
2007-06-01,1466.0
2007-07-01,1386.0
2007-08-01,1347.0
2007-09-01,1205.0
2007-10-01,1124.0
2007-11-01,1077.0
2007-12-01,1253.0
2008-01-01,1189.0
2008-02-01,1100.0
2008-03-01,1147.0
2008-04-01,1171.0
2008-05-01,846.0
2008-06-01,479.0
2008-07-01,724.0
2008-08-01,683.0
2008-09-01,1552.0
2008-10-01,1828.0
2008-11-01,1758.0
2008-12-01,1689.0
2009-01-01,1702.0
2009-02-01,1723.0
2009-03-01,1670.0
2009-04-01,1499.0
2009-05-01,1430.0
2009-06-01,1353.0
2009-07-01,1238.0
2009-08-01,1828.0
2009-09-01,1808.0
2009-10-01,1919.0
2009-11-01,906.0
2009-12-01,904.0
2010-01-01,887.0
2010-02-01,934.0
2010-03-01,915.0
2010-04-01,888.0
2010-05-01,932.0
2010-06-01,943.0
2010-07-01,901.0
2010-08-01,894.0
2010-09-01,852.0
2010-10-01,1189.0
2010-11-01,1220.0
2010-12-01,1259.0
2011-01-01,1299.0
2011-02-01,1342.0
2011-03-01,1351.0
2011-04-01,1343.0
2011-05-01,1351.0
2011-06-01,1322.0
2011-07-01,1353.0
2011-08-01,1381.0
2011-09-01,1404.0
2011-10-01,5486.0
2011-11-01,5692.0
2011-12-01,5908.0
2012-01-01,5071.0
2012-02-01,4762.0
2012-03-01,5646.0
2012-04-01,5327.0
2012-05-01,4825.0
2012-06-01,4570.0
2012-07-01,7765.0
2012-08-01,11063.0
2012-09-01,10835.0
2012-10-01,11456.0
2012-11-01,12971.0
2012-12-01,12318.0
2013-01-01,15867.0
2013-02-01,17977.0
2013-03-01,17675.0
2013-04-01,18738.0
2013-05-01,17380.0
2013-06-01,17063.0
2013-07-01,20426.0
2013-08-01,20123.0
2013-09-01,19663.0
2013-10-01,19271.0
2013-11-01,19303.0
2013-12-01,20754.0
2014-01-01,21566.0
2014-02-01,20975.0
2014-03-01,20533.0
2014-04-01,20060.0
2014-05-01,19452.0
2014-06-01,18988.0
2014-07-01,20458.0
2014-08-01,20024.0
2014-09-01,21584.0
2014-10-01,25888.0
2014-11-01,28762.0
2014-12-01,30847.0
2015-01-01,31372.0
2015-02-01,33273.0
2015-03-01,32734.0
2015-04-01,99420.0
2015-05-01,39354.0
2015-06-01,39720.0
2015-07-01,43164.0
2015-08-01,42617.0
2015-09-01,41573.0
2015-10-01,42698.0
2015-11-01,42083.0
2015-12-01,41163.0
2016-01-01,40149.0
2016-02-01,39422.0
2016-03-01,38856.0
2016-04-01,37894.0
2016-05-01,45094.0
2016-06-01,46612.0
2016-07-01,53299.0
2016-08-01,51957.0
2016-09-01,50694.0
2016-10-01,49140.0
2016-11-01,48163.0
2016-12-01,49312.0
2017-01-01,48504.0
2017-02-01,47134.0
2017-03-01,55283.0
2017-04-01,55750.0
2017-05-01,55034.0
2017-06-01,54805.0
2017-07-01,59023.0
2017-08-01,59934.0
2017-09-01,58296.0
2017-10-01,56882.0
2017-11-01,55416.0
2017-12-01,66331.0
2018-01-01,69272.0
2018-02-01,67671.0
2018-03-01,66773.0
2018-04-01,64132.0
2018-05-01,62970.0
2018-06-01,62825.0
2018-07-01,66227.0
