Tarih,TP_KY_DVDY36
2014-08-01,1732.0
2014-09-01,1803.0
2014-10-01,1744.0
2014-11-01,1911.0
2014-12-01,630.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,3.0
2015-09-01,0.0
2015-10-01,179.0
2015-11-01,7996.0
2015-12-01,1454.0
2016-01-01,1483.0
2016-02-01,1473.0
2016-03-01,1418.0
2016-04-01,1395.0
2016-05-01,0.0
2016-06-01,20.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,2150.0
2016-11-01,25.0
2016-12-01,80.0
2017-01-01,44.0
2017-02-01,146.0
2017-03-01,547.0
2017-04-01,0.0
2017-05-01,8.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,61.0
2017-10-01,25.0
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,14.0
2018-02-01,1231.0
2018-03-01,60.0
2018-04-01,165.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,94.0
2018-08-01,227.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,380.0
2019-02-01,507.0
2019-03-01,165.0
2019-04-01,722.0
2019-05-01,1615.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,2789.0
2019-09-01,253.0
2019-10-01,104.0
2019-11-01,94.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,900.0
2020-05-01,221.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,219.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,18232.0
2021-02-01,12059.0
2021-03-01,24470.0
2021-04-01,26782.0
2021-05-01,21734.0
2021-06-01,9193.0
2021-07-01,50017.0
2021-08-01,58591.0
2021-09-01,12305.0
2021-10-01,9241.0
2021-11-01,83550.0
2021-12-01,25983.0
2022-01-01,88054.0
2022-02-01,71885.0
2022-03-01,134991.0
2022-04-01,107068.0
2022-05-01,179537.0
2022-06-01,121854.0
2022-07-01,73341.0
2022-08-01,36162.0
2022-09-01,2158.0
2022-10-01,104643.0
2022-11-01,96909.0
2022-12-01,89161.0
2023-01-01,187419.0
2023-02-01,119306.0
2023-03-01,586852.0
2023-04-01,832356.0
2023-05-01,1370279.0
2023-06-01,123626.0
2023-07-01,294453.0
2023-08-01,671775.0
2023-09-01,365417.0
2023-10-01,582324.0
2023-11-01,314105.0
2023-12-01,685215.0
2024-01-01,492648.0
2024-02-01,466484.0
2024-03-01,262557.0
2024-04-01,214431.0
2024-05-01,204085.0
2024-06-01,264405.0
2024-07-01,175686.0
2024-08-01,238597.0
2024-09-01,280376.0
2024-10-01,598074.0
2024-11-01,518361.0
2024-12-01,78056.0
2025-01-01,831026.0
2025-02-01,341936.0
2025-03-01,65523.0
2025-04-01,317717.0
2025-05-01,221626.0
2025-06-01,62564.0
2025-07-01,32299.0
2025-08-01,60370.0
