Tarih,TP_ALTINGR_SBESLIK
2015-11-01,51927.2
2015-12-01,43293.3
2016-01-01,16217.2
2016-02-01,7564.5
2016-03-01,10813.1
2016-04-01,9729.8
2016-05-01,8647.7
2016-06-01,5405.9
2016-07-01,4326.2
2016-08-01,19460.8
2016-09-01,34607.6
2016-10-01,108165.9
2016-11-01,40019.7
2016-12-01,176320.9
2017-01-01,25960.7
2017-02-01,50834.6
2017-03-01,73550.3
2017-04-01,43263.2
2017-05-01,110414.3
2017-06-01,74706.9
2017-07-01,124434.1
2017-08-01,41129.8
2017-09-01,56290.0
2017-10-01,30280.9
2017-11-01,25948.0
2017-12-01,86493.0
2018-01-01,62796.0
2018-02-01,73615.7
2018-03-01,57364.5
2018-04-01,64986.7
2018-05-01,58486.0
2018-06-01,73632.4
2018-07-01,60644.6
2018-08-01,6498.2
2018-09-01,61689.3
2018-10-01,43264.6
2018-11-01,93020.0
2018-12-01,50836.5
2019-01-01,67116.7
2019-02-01,57384.0
2019-03-01,88784.9
2019-04-01,73548.9
2019-05-01,32459.4
2019-06-01,32477.1
2019-07-01,22732.1
2019-08-01,18403.1
2019-09-01,66035.8
2019-10-01,102816.3
2019-11-01,128733.5
2019-12-01,139569.0
2020-01-01,144964.9
2020-02-01,135171.6
2020-03-01,114637.9
2020-04-01,25957.4
2020-05-01,71419.2
2020-06-01,220766.6
2020-07-01,136380.6
2020-08-01,139587.8
2020-09-01,220590.3
2020-10-01,88697.9
2020-11-01,85452.2
2020-12-01,156854.4
2021-01-01,73556.7
2021-02-01,62747.4
2021-03-01,95224.1
2021-04-01,6494.9
2021-05-01,1082.7
2021-06-01,5413.0
2021-07-01,20569.5
2021-08-01,38970.6
2021-09-01,22733.4
2021-10-01,3248.8
2021-11-01,15159.3
2021-12-01,53057.1
2022-01-01,44410.0
2022-02-01,33552.9
2022-03-01,24896.0
2022-04-01,20563.9
2022-05-01,37881.9
2022-06-01,40053.2
2022-07-01,70359.4
2022-08-01,104982.3
2022-09-01,98518.7
2022-10-01,123434.6
2022-11-01,96356.6
2022-12-01,45474.3
2023-01-01,175392.7
2023-02-01,120169.9
2023-03-01,122319.9
2023-04-01,104918.1
2023-05-01,67037.8
2023-06-01,59495.9
2023-07-01,71380.8
2023-08-01,99484.1
2023-09-01,88742.7
2023-10-01,89881.1
2023-11-01,85535.8
2023-12-01,
2024-01-01,50895.0
2024-02-01,69272.4
2024-03-01,40042.7
2024-04-01,70371.2
2024-05-01,43276.0
2024-06-01,12981.4
2024-07-01,12981.6
2024-08-01,28126.5
2024-09-01,62743.1
2024-10-01,129867.7
2024-11-01,88715.7
2024-12-01,63871.5
2025-01-01,54079.5
2025-02-01,81100.6
2025-03-01,58382.3
2025-04-01,40014.1
2025-05-01,64882.9
2025-06-01,22712.1
2025-07-01,
2025-08-01,8647.9
2025-09-01,41095.0
