Tarih,TP_ALTINGR_SYARIM
2015-12-01,48366.4
2016-01-01,1073.9
2016-02-01,1075.1
2016-03-01,
2016-04-01,4298.0
2016-05-01,10743.4
2016-06-01,18284.4
2016-07-01,1075.5
2016-08-01,7525.9
2016-09-01,4302.3
2016-10-01,10754.1
2016-11-01,1075.3
2016-12-01,27954.4
2017-01-01,3225.5
2017-02-01,5375.7
2017-03-01,7526.2
2017-04-01,12902.0
2017-05-01,32252.3
2017-06-01,13976.2
2017-07-01,18277.0
2017-08-01,4300.0
2017-09-01,8600.5
2017-10-01,4301.0
2017-11-01,3226.1
2017-12-01,31185.7
2018-01-01,8604.0
2018-02-01,6452.0
2018-03-01,8603.2
2018-04-01,17205.5
2018-05-01,5378.0
2018-06-01,12906.1
2018-07-01,7527.9
2018-08-01,2151.0
2018-09-01,4301.5
2018-10-01,5376.6
2018-11-01,9677.2
2018-12-01,9676.2
2019-01-01,9675.9
2019-02-01,9677.0
2019-03-01,9676.1
2019-04-01,7525.8
2019-05-01,3225.8
2019-06-01,7527.3
2019-07-01,7526.4
2019-08-01,5376.1
2019-09-01,13977.7
2019-10-01,17208.9
2019-11-01,13983.4
2019-12-01,15059.4
2020-01-01,17210.6
2020-02-01,12907.9
2020-03-01,8604.9
2020-04-01,3227.1
2020-05-01,6454.3
2020-06-01,17210.3
2020-07-01,9680.5
2020-08-01,30119.0
2020-09-01,17210.8
2020-10-01,15049.7
2020-11-01,12898.9
2020-12-01,25797.5
2021-01-01,9674.0
2021-02-01,18274.6
2021-03-01,50523.1
2021-04-01,2150.0
2021-05-01,
2021-06-01,1075.2
2021-07-01,3224.8
2021-08-01,4300.5
2021-09-01,4299.3
2021-10-01,
2021-11-01,3226.2
2021-12-01,10753.4
2022-01-01,6452.1
2022-02-01,7527.5
2022-03-01,6451.8
2022-04-01,7527.9
2022-05-01,10755.0
2022-06-01,2151.1
2022-07-01,15056.7
2022-08-01,12904.0
2022-09-01,16130.7
2022-10-01,19356.3
2022-11-01,23657.6
2022-12-01,9677.3
2023-01-01,33332.9
2023-02-01,13976.9
2023-03-01,4300.2
2023-04-01,3225.2
2023-05-01,15052.3
2023-06-01,17203.6
2023-07-01,21503.0
2023-08-01,18278.4
2023-09-01,25806.6
2023-10-01,19355.5
2023-11-01,35487.7
2023-12-01,7529.3
2024-01-01,15058.3
2024-02-01,12907.6
2024-03-01,16134.5
2024-04-01,31196.0
2024-05-01,13984.8
2024-06-01,4302.1
2024-07-01,9679.4
2024-08-01,13981.9
2024-09-01,20431.8
2024-10-01,26877.9
2024-11-01,21511.7
2024-12-01,19361.0
2025-01-01,20432.5
2025-02-01,20427.9
2025-03-01,21512.0
2025-04-01,16134.1
2025-05-01,18278.8
2025-06-01,6449.9
2025-07-01,10753.5
2025-08-01,8602.9
2025-09-01,16130.5
