Tarih,TP_ALTINGR_ZYARIM
2015-10-01,83391.6
2015-11-01,254424.7
2015-12-01,111161.3
2016-01-01,433273.9
2016-02-01,113342.4
2016-03-01,198973.5
2016-04-01,278029.2
2016-05-01,221627.2
2016-06-01,124163.2
2016-07-01,158441.8
2016-08-01,246155.6
2016-09-01,240707.6
2016-10-01,299564.0
2016-11-01,71653.2
2016-12-01,158318.8
2017-01-01,370037.4
2017-02-01,189382.4
2017-03-01,310242.5
2017-04-01,288789.9
2017-05-01,671994.3
2017-06-01,535962.5
2017-07-01,669999.8
2017-08-01,283226.3
2017-09-01,284453.7
2017-10-01,94148.5
2017-11-01,59898.8
2017-12-01,117666.5
2018-01-01,563651.0
2018-02-01,309056.7
2018-03-01,317764.3
2018-04-01,345609.2
2018-05-01,192602.0
2018-06-01,360601.5
2018-07-01,288887.1
2018-08-01,20318.2
2018-09-01,114447.8
2018-10-01,140148.0
2018-11-01,195764.0
2018-12-01,176511.9
2019-01-01,505945.6
2019-02-01,206351.5
2019-03-01,370127.6
2019-04-01,342346.8
2019-05-01,150929.4
2019-06-01,251367.3
2019-07-01,207732.8
2019-08-01,138129.3
2019-09-01,274915.0
2019-10-01,285450.2
2019-11-01,469558.0
2019-12-01,363727.8
2020-01-01,449441.7
2020-02-01,362830.6
2020-03-01,412993.4
2020-04-01,74953.0
2020-05-01,272994.8
2020-06-01,556888.1
2020-07-01,373195.6
2020-08-01,935161.7
2020-09-01,463489.8
2020-10-01,186197.6
2020-11-01,616201.4
2020-12-01,345588.7
2021-01-01,1311652.1
2021-02-01,755453.1
2021-03-01,2033196.7
2021-04-01,2140.1
2021-05-01,
2021-06-01,89907.8
2021-07-01,128389.8
2021-08-01,395869.7
2021-09-01,156232.4
2021-10-01,7488.6
2021-11-01,
2021-12-01,
2022-01-01,531732.4
2022-02-01,252498.7
2022-03-01,144414.8
2022-04-01,226806.5
2022-05-01,392581.4
2022-06-01,220542.5
2022-07-01,488954.0
2022-08-01,569217.9
2022-09-01,1066855.6
2022-10-01,992724.7
2022-11-01,422496.0
2022-12-01,241992.2
2023-01-01,1278314.0
2023-02-01,1101800.4
2023-03-01,794830.7
2023-04-01,756406.4
2023-05-01,1128881.6
2023-06-01,522266.9
2023-07-01,626105.7
2023-08-01,914045.5
2023-09-01,786595.0
2023-10-01,813850.5
2023-11-01,726462.2
2023-12-01,380036.9
2024-01-01,1175442.0
2024-02-01,895264.4
2024-03-01,1403692.8
2024-04-01,1220192.1
2024-05-01,737056.0
2024-06-01,236515.7
2024-07-01,266325.9
2024-08-01,302868.9
2024-09-01,358451.9
2024-10-01,428064.1
2024-11-01,625906.5
2024-12-01,90931.2
2025-01-01,882204.6
2025-02-01,456812.6
2025-03-01,418379.9
2025-04-01,569251.8
2025-05-01,371250.4
2025-06-01,232183.0
2025-07-01,174391.9
2025-08-01,197922.4
2025-09-01,418390.5
