Tarih,TP_ALTINGR_ZCEYREK
2015-07-01,3278874.6
2015-08-01,858192.4
2015-09-01,4280.9
2015-10-01,14979.1
2015-11-01,553228.7
2015-12-01,362415.3
2016-01-01,1040883.6
2016-02-01,352927.0
2016-03-01,657076.5
2016-04-01,964183.9
2016-05-01,741717.6
2016-06-01,360701.6
2016-07-01,644089.3
2016-08-01,904103.9
2016-09-01,775920.3
2016-10-01,936673.2
2016-11-01,189353.4
2016-12-01,418490.5
2017-01-01,862481.6
2017-02-01,591828.0
2017-03-01,946986.7
2017-04-01,1004768.5
2017-05-01,3132904.1
2017-06-01,2093995.1
2017-07-01,3056472.3
2017-08-01,945701.0
2017-09-01,653878.3
2017-10-01,147625.6
2017-11-01,23544.2
2017-12-01,157315.1
2018-01-01,1268187.0
2018-02-01,817703.3
2018-03-01,820845.5
2018-04-01,1016543.8
2018-05-01,589641.0
2018-06-01,1022786.3
2018-07-01,1142916.0
2018-08-01,83457.7
2018-09-01,317833.6
2018-10-01,438770.0
2018-11-01,591926.5
2018-12-01,464362.8
2019-01-01,1101926.9
2019-02-01,664452.5
2019-03-01,1138552.1
2019-04-01,1115951.8
2019-05-01,430080.5
2019-06-01,900000.7
2019-07-01,701989.1
2019-08-01,419318.4
2019-09-01,732844.9
2019-10-01,759699.6
2019-11-01,1393365.8
2019-12-01,948201.4
2020-01-01,1056295.9
2020-02-01,1025177.9
2020-03-01,1560909.0
2020-04-01,175464.7
2020-05-01,1020619.0
2020-06-01,1743073.8
2020-07-01,1453735.2
2020-08-01,3747351.6
2020-09-01,1527209.65
2020-10-01,526261.9
2020-11-01,2824230.1
2020-12-01,1058055.8
2021-01-01,3771577.4
2021-02-01,4894995.6
2021-03-01,5820178.2
2021-04-01,14983.7
2021-05-01,1069.9
2021-06-01,362652.7
2021-07-01,503919.4
2021-08-01,1201488.6
2021-09-01,469752.5
2021-10-01,13911.0
2021-11-01,
2021-12-01,2141.2
2022-01-01,1445579.4
2022-02-01,769563.7
2022-03-01,498827.9
2022-04-01,739630.9
2022-05-01,1629941.8
2022-06-01,638965.2
2022-07-01,1597642.0
2022-08-01,2083728.0
2022-09-01,3888611.1
2022-10-01,3178454.8
2022-11-01,1396311.8
2022-12-01,740345.7
2023-01-01,3877886.3
2023-02-01,3934631.1
2023-03-01,2301627.8
2023-04-01,2883566.6
2023-05-01,4575050.8
2023-06-01,1745866.6
2023-07-01,1712888.0
2023-08-01,2660876.5
2023-09-01,1871369.6
2023-10-01,2071291.5
2023-11-01,2113751.7
2023-12-01,1468566.1
2024-01-01,3203600.8
2024-02-01,3963328.7
2024-03-01,4313404.2
2024-04-01,5353780.4
2024-05-01,2531769.5
2024-06-01,645892.8
2024-07-01,503723.3
2024-08-01,674882.6
2024-09-01,688697.0
2024-10-01,936057.0
2024-11-01,1706042.8
2024-12-01,234369.5
2025-01-01,2131399.7
2025-02-01,1290656.8
2025-03-01,1260801.7
2025-04-01,1604300.9
2025-05-01,1023435.0
2025-06-01,491976.5
2025-07-01,516712.8
2025-08-01,516665.7
2025-09-01,1038534.3
