Tarih,TP_ALTINGR_ZBIRLIK
2015-08-01,497892.9
2015-09-01,2147.8
2015-10-01,2147.9
2015-11-01,439001.0
2015-12-01,606088.5
2016-01-01,807597.7
2016-02-01,154533.7
2016-03-01,332917.4
2016-04-01,535805.9
2016-05-01,299458.8
2016-06-01,244719.4
2016-07-01,239294.3
2016-08-01,415376.5
2016-09-01,515239.0
2016-10-01,945884.9
2016-11-01,166466.0
2016-12-01,862271.0
2017-01-01,709449.0
2017-02-01,385373.0
2017-03-01,640785.3
2017-04-01,507575.7
2017-05-01,1555047.6
2017-06-01,1686974.1
2017-07-01,1657863.6
2017-08-01,599758.7
2017-09-01,616246.8
2017-10-01,171767.9
2017-11-01,98747.2
2017-12-01,541196.8
2018-01-01,1313714.0
2018-02-01,797538.8
2018-03-01,730613.5
2018-04-01,698479.7
2018-05-01,439990.0
2018-06-01,685939.0
2018-07-01,525174.2
2018-08-01,35428.5
2018-09-01,187881.7
2018-10-01,225477.7
2018-11-01,629102.2
2018-12-01,651671.8
2019-01-01,1156934.4
2019-02-01,548303.1
2019-03-01,1238085.6
2019-04-01,669082.4
2019-05-01,195285.5
2019-06-01,331654.5
2019-07-01,272850.8
2019-08-01,202870.9
2019-09-01,439850.4
2019-10-01,565597.6
2019-11-01,1228358.4
2019-12-01,884516.5
2020-01-01,981833.3
2020-02-01,773568.9
2020-03-01,1022050.6
2020-04-01,190860.6
2020-05-01,587807.7
2020-06-01,1310867.0
2020-07-01,1371094.0
2020-08-01,2751963.0
2020-09-01,1637228.5
2020-10-01,341315.3
2020-11-01,2585769.1
2020-12-01,1292131.6
2021-01-01,3550092.0
2021-02-01,1375808.7
2021-03-01,3599345.6
2021-04-01,3219.7
2021-05-01,
2021-06-01,37567.7
2021-07-01,63327.5
2021-08-01,572342.9
2021-09-01,259861.2
2021-10-01,10736.7
2021-11-01,1073.9
2021-12-01,
2022-01-01,1176865.7
2022-02-01,405812.8
2022-03-01,187865.2
2022-04-01,361683.4
2022-05-01,750176.7
2022-06-01,347865.3
2022-07-01,1031639.4
2022-08-01,1179248.9
2022-09-01,2886596.1
2022-10-01,2162865.5
2022-11-01,894059.4
2022-12-01,875801.4
2023-01-01,3209442.1
2023-02-01,2981252.3
2023-03-01,2094624.8
2023-04-01,1966206.5
2023-05-01,2597227.1
2023-06-01,1350948.6
2023-07-01,1142028.3
2023-08-01,2339558.7
2023-09-01,1621913.7
2023-10-01,2146661.6
2023-11-01,1497983.8
2023-12-01,1332532.0
2024-01-01,2499367.3
2024-02-01,1763548.9
2024-03-01,2227217.7
2024-04-01,2878567.9
2024-05-01,1138178.4
2024-06-01,471961.0
2024-07-01,709145.2
2024-08-01,768293.9
2024-09-01,993833.3
2024-10-01,1167555.4
2024-11-01,1838681.9
2024-12-01,485731.4
2025-01-01,1572637.3
2025-02-01,756235.5
2025-03-01,729687.5
2025-04-01,1045878.1
2025-05-01,730497.0
2025-06-01,535359.2
2025-07-01,470866.5
2025-08-01,497673.8
2025-09-01,1793823.4
