Tarih,TP_ALTINGR_TOPL3
2015-05-01,1682114.8
2015-06-01,1261913.3
2015-07-01,6757125.4
2015-08-01,1929731.6
2015-09-01,24689.8
2015-10-01,103782.4
2015-11-01,1790090.8
2015-12-01,2103150.7
2016-01-01,2688500.0
2016-02-01,665233.7
2016-03-01,1279101.6
2016-04-01,1955537.4
2016-05-01,1341968.7
2016-06-01,813087.9
2016-07-01,1168240.4
2016-08-01,1729450.5
2016-09-01,1756435.1
2016-10-01,3957417.3
2016-11-01,748603.5
2016-12-01,6770855.7
2017-01-01,2276404.7
2017-02-01,1583169.0
2017-03-01,3204106.5
2017-04-01,2510607.4
2017-05-01,8856241.6
2017-06-01,7252784.8
2017-07-01,8187308.4
2017-08-01,2133246.4
2017-09-01,1838501.0
2017-10-01,612328.9
2017-11-01,312591.9
2017-12-01,3076089.1
2018-01-01,4564415.0
2018-02-01,3629999.5
2018-03-01,3004514.6
2018-04-01,3211173.4
2018-05-01,2252283.0
2018-06-01,3286395.5
2018-07-01,2508219.4
2018-08-01,225499.6
2018-09-01,755568.3
2018-10-01,1175158.2
2018-11-01,3158272.2
2018-12-01,2546041.1
2019-01-01,4568550.2
2019-02-01,2632651.6
2019-03-01,5779367.6
2019-04-01,3230757.3
2019-05-01,1006017.5
2019-06-01,1991590.9
2019-07-01,1335017.8
2019-08-01,870721.1
2019-09-01,2426770.5
2019-10-01,3644591.6
2019-11-01,7397211.4
2019-12-01,5014178.9
2020-01-01,5647075.8
2020-02-01,5385503.7
2020-03-01,7531004.3
2020-04-01,1826061.5
2020-05-01,4607553.5
2020-06-01,9301847.8
2020-07-01,10338873.2
2020-08-01,18026018.4
2020-09-01,10512095.15
2020-10-01,2623273.4
2020-11-01,13921361.1
2020-12-01,8666708.6
2021-01-01,12957658.5
2021-02-01,9820377.0
2021-03-01,18166117.7
2021-04-01,45160.7
2021-05-01,3234.9
2021-06-01,528046.4
2021-07-01,763951.0
2021-08-01,2469379.2
2021-09-01,969114.5
2021-10-01,90945.2
2021-11-01,70006.1
2021-12-01,1067990.1
2022-01-01,4408251.2
2022-02-01,2552437.7
2022-03-01,1118667.2
2022-04-01,1890107.3
2022-05-01,4012278.9
2022-06-01,1379484.4
2022-07-01,4945782.9
2022-08-01,6073368.3
2022-09-01,12587675.1
2022-10-01,11001241.4
2022-11-01,5467739.4
2022-12-01,4492920.3
2023-01-01,15083787.3
2023-02-01,14126836.0
2023-03-01,8384147.2
2023-04-01,10535111.2
2023-05-01,14694422.4
2023-06-01,6151871.0
2023-07-01,4383234.8
2023-08-01,9684198.5
2023-09-01,6432130.4
2023-10-01,8851784.3
2023-11-01,7291906.0
2023-12-01,6196662.9
2024-01-01,10543129.8
2024-02-01,10804719.8
2024-03-01,12152960.0
2024-04-01,14824147.9
2024-05-01,6010841.5
2024-06-01,1554744.7
2024-07-01,1745516.0
2024-08-01,2236226.3
2024-09-01,3536746.2
2024-10-01,5868905.9
2024-11-01,8818937.2
2024-12-01,2490765.5
2025-01-01,5512090.3
2025-02-01,4793261.8
2025-03-01,4451362.9
2025-04-01,5253629.9
2025-05-01,3719265.8
2025-06-01,1439983.8
2025-07-01,1256940.9
2025-08-01,1330026.3
2025-09-01,5625611.7
