Tarih,TP_ALTINGR_TOPL1
2015-06-01,1230590.2
2015-07-01,6497602.0
2015-08-01,1701600.0
2015-09-01,22532.6
2015-10-01,103782.4
2015-11-01,1351067.7
2015-12-01,1218757.0
2016-01-01,2533607.3
2016-02-01,652291.0
2016-03-01,1267212.9
2016-04-01,1881272.6
2016-05-01,1313954.9
2016-06-01,781861.7
2016-07-01,1094029.0
2016-08-01,1687421.2
2016-09-01,1694979.5
2016-10-01,2503231.1
2016-11-01,468826.4
2016-12-01,1877663.2
2017-01-01,2205265.5
2017-02-01,1272082.3
2017-03-01,2129653.8
2017-04-01,1958843.3
2017-05-01,5903473.4
2017-06-01,4868013.8
2017-07-01,5936127.6
2017-08-01,2021198.5
2017-09-01,1733851.3
2017-10-01,485259.4
2017-11-01,197410.9
2017-12-01,946614.8
2018-01-01,3503151.0
2018-02-01,2128643.3
2018-03-01,2043243.5
2018-04-01,2243153.4
2018-05-01,1335155.0
2018-06-01,2259512.6
2018-07-01,2105659.2
2018-08-01,163081.8
2018-09-01,675600.2
2018-10-01,865303.7
2018-11-01,1572252.0
2018-12-01,1461018.2
2019-01-01,3113394.1
2019-02-01,1575450.2
2019-03-01,3120192.2
2019-04-01,2342393.0
2019-05-01,828388.8
2019-06-01,1576343.6
2019-07-01,1262876.4
2019-08-01,825436.4
2019-09-01,1610432.5
2019-10-01,1821580.8
2019-11-01,3594406.4
2019-12-01,2598646.8
2020-01-01,2854859.6
2020-02-01,2497372.5
2020-03-01,3346992.5
2020-04-01,554304.2
2020-05-01,2134616.8
2020-06-01,4234545.0
2020-07-01,3951619.0
2020-08-01,8746389.8
2020-09-01,4290426.15
2020-10-01,1225567.9
2020-11-01,6739875.8
2020-12-01,3058427.8
2021-01-01,9593981.2
2021-02-01,7305579.4
2021-03-01,12446858.2
2021-04-01,24689.6
2021-05-01,1069.9
2021-06-01,510800.5
2021-07-01,733714.5
2021-08-01,2399251.7
2021-09-01,918447.1
2021-10-01,34308.8
2021-11-01,2160.2
2021-12-01,2141.2
2022-01-01,3453336.5
2022-02-01,1519089.6
2022-03-01,871284.9
2022-04-01,1403068.1
2022-05-01,2957567.4
2022-06-01,1284603.7
2022-07-01,3464970.7
2022-08-01,4305293.2
2022-09-01,8542664.6
2022-10-01,6973605.4
2022-11-01,3030121.5
2022-12-01,2134301.2
2023-01-01,9466917.9
2023-02-01,8791912.2
2023-03-01,5848838.3
2023-04-01,6348374.7
2023-05-01,9033607.7
2023-06-01,4019614.3
2023-07-01,3775676.7
2023-08-01,6415877.5
2023-09-01,4633363.1
2023-10-01,5484480.3
2023-11-01,4686875.4
2023-12-01,3399545.4
2024-01-01,7441462.9
2024-02-01,7008384.4
2024-03-01,8474933.5
2024-04-01,10007573.8
2024-05-01,4690723.2
2024-06-01,1453315.1
2024-07-01,1591159.5
2024-08-01,1938505.5
2024-09-01,2257432.8
2024-10-01,2839187.5
2024-11-01,4582689.9
2024-12-01,879649.1
2025-01-01,4895761.0
2025-02-01,2637303.4
2025-03-01,2550149.0
2025-04-01,3435634.6
2025-05-01,2304245.8
2025-06-01,1350626.6
2025-07-01,1203183.8
2025-08-01,1274074.2
2025-09-01,3420050.3
