Tarih,TP_ALTINGR_TOPL2
2015-07-01,259523.4
2015-08-01,228131.6
2015-09-01,2157.2
2015-10-01,0.0
2015-11-01,439023.1
2015-12-01,884393.7
2016-01-01,154892.7
2016-02-01,12942.7
2016-03-01,11888.7
2016-04-01,74264.8
2016-05-01,28013.8
2016-06-01,31226.2
2016-07-01,74211.4
2016-08-01,42029.3
2016-09-01,61455.6
2016-10-01,1454186.2
2016-11-01,279777.1
2016-12-01,4893192.5
2017-01-01,71139.2
2017-02-01,311086.7
2017-03-01,1072331.6
2017-04-01,547519.3
2017-05-01,2952768.2
2017-06-01,2381586.2
2017-07-01,2249059.0
2017-08-01,110986.5
2017-09-01,104649.7
2017-10-01,127069.5
2017-11-01,115181.0
2017-12-01,2129474.3
2018-01-01,1060204.0
2018-02-01,1501356.2
2018-03-01,961271.1
2018-04-01,968020.0
2018-05-01,917128.0
2018-06-01,1026882.9
2018-07-01,401500.8
2018-08-01,62417.8
2018-09-01,78906.2
2018-10-01,308793.0
2018-11-01,1586020.2
2018-12-01,1085022.9
2019-01-01,1455156.1
2019-02-01,1057201.4
2019-03-01,2659175.4
2019-04-01,887304.9
2019-05-01,177628.7
2019-06-01,415247.3
2019-07-01,71082.0
2019-08-01,45284.7
2019-09-01,816338.0
2019-10-01,1823010.8
2019-11-01,3734920.6
2019-12-01,2415532.1
2020-01-01,2792216.2
2020-02-01,2888131.2
2020-03-01,4184011.8
2020-04-01,1271757.3
2020-05-01,2372493.7
2020-06-01,5066241.3
2020-07-01,6387254.2
2020-08-01,9278567.3
2020-09-01,6186981.6
2020-10-01,1330448.0
2020-11-01,7180417.9
2020-12-01,5607197.3
2021-01-01,3326322.6
2021-02-01,2503062.1
2021-03-01,5716051.3
2021-04-01,20471.1
2021-05-01,2165.0
2021-06-01,17245.9
2021-07-01,29160.1
2021-08-01,70127.5
2021-09-01,47433.6
2021-10-01,8616.7
2021-11-01,67845.9
2021-12-01,1063692.8
2022-01-01,949523.0
2022-02-01,1032270.6
2022-03-01,247382.3
2022-04-01,485961.2
2022-05-01,1054711.5
2022-06-01,94880.7
2022-07-01,1421685.3
2022-08-01,1739050.3
2022-09-01,4018129.2
2022-10-01,3991080.5
2022-11-01,2393536.6
2022-12-01,2235526.4
2023-01-01,5453814.8
2023-02-01,5220463.2
2023-03-01,2408947.9
2023-04-01,4092772.4
2023-05-01,5619787.6
2023-06-01,2044925.1
2023-07-01,391729.0
2023-08-01,3067435.8
2023-09-01,1604403.1
2023-10-01,3216222.4
2023-11-01,2455989.2
2023-12-01,2691280.7
2024-01-01,3028219.1
2024-02-01,3730488.8
2024-03-01,3645678.8
2024-04-01,4738863.1
2024-05-01,1120631.8
2024-06-01,33424.8
2024-07-01,49560.0
2024-08-01,137770.1
2024-09-01,1099074.4
2024-10-01,2885156.0
2024-11-01,4045260.0
2024-12-01,1492450.4
2025-01-01,552822.1
2025-02-01,2067557.1
2025-03-01,1812839.4
2025-04-01,1751219.5
2025-05-01,1298728.5
2025-06-01,80732.8
2025-07-01,44074.5
2025-08-01,33354.6
2025-09-01,2188352.8
