Tarih,TP_ALTINGR_ZIKIBUCUK
2015-11-01,98973.9
2015-12-01,138003.8
2016-01-01,243148.0
2016-02-01,27134.8
2016-03-01,72805.8
2016-04-01,98901.6
2016-05-01,44623.5
2016-06-01,42484.2
2016-07-01,50027.6
2016-08-01,115256.1
2016-09-01,157673.4
2016-10-01,314583.8
2016-11-01,35915.4
2016-12-01,436408.7
2017-01-01,253509.3
2017-02-01,98975.3
2017-03-01,220767.0
2017-04-01,153359.0
2017-05-01,526126.4
2017-06-01,546731.4
2017-07-01,543090.8
2017-08-01,188161.7
2017-09-01,170571.8
2017-10-01,65191.5
2017-11-01,9782.4
2017-12-01,126085.9
2018-01-01,339113.0
2018-02-01,199995.2
2018-03-01,168584.8
2018-04-01,169473.9
2018-05-01,104224.0
2018-06-01,182575.3
2018-07-01,137807.2
2018-08-01,20614.3
2018-09-01,46737.3
2018-10-01,54382.2
2018-11-01,150020.1
2018-12-01,160865.7
2019-01-01,330116.2
2019-02-01,154170.0
2019-03-01,367994.3
2019-04-01,203061.4
2019-05-01,47747.3
2019-06-01,88975.1
2019-07-01,74871.6
2019-08-01,61858.6
2019-09-01,151957.9
2019-10-01,207573.5
2019-11-01,497691.2
2019-12-01,395687.6
2020-01-01,357519.2
2020-02-01,330367.7
2020-03-01,346697.3
2020-04-01,113025.9
2020-05-01,253195.3
2020-06-01,612861.0
2020-07-01,747081.6
2020-08-01,1307571.5
2020-09-01,650558.9
2020-10-01,165280.6
2020-11-01,711504.4
2020-12-01,360480.9
2021-01-01,948719.7
2021-02-01,272809.0
2021-03-01,964818.9
2021-04-01,1088.4
2021-05-01,
2021-06-01,16328.1
2021-07-01,32647.2
2021-08-01,219775.1
2021-09-01,24998.0
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,286114.6
2022-02-01,84691.5
2022-03-01,35828.8
2022-04-01,70598.6
2022-05-01,180518.3
2022-06-01,68533.8
2022-07-01,340213.3
2022-08-01,465490.1
2022-09-01,690818.9
2022-10-01,635212.4
2022-11-01,311818.4
2022-12-01,270727.2
2023-01-01,1087142.6
2023-02-01,765532.2
2023-03-01,646883.9
2023-04-01,738934.2
2023-05-01,730273.9
2023-06-01,389660.1
2023-07-01,283783.9
2023-08-01,493790.6
2023-09-01,344790.7
2023-10-01,446157.3
2023-11-01,342157.0
2023-12-01,216237.2
2024-01-01,555448.3
2024-02-01,386242.4
2024-03-01,529532.4
2024-04-01,550687.7
2024-05-01,269598.3
2024-06-01,94600.3
2024-07-01,106533.6
2024-08-01,188115.0
2024-09-01,211019.7
2024-10-01,302075.2
2024-11-01,405535.4
2024-12-01,68617.0
2025-01-01,297560.9
2025-02-01,131424.3
2025-03-01,138018.7
2025-04-01,211854.8
2025-05-01,175802.7
2025-06-01,86759.2
2025-07-01,37951.4
2025-08-01,56376.9
2025-09-01,168215.0
