Tarih,TP_ALTINGR_SBIRLIK
2015-10-01,
2015-11-01,351603.5
2015-12-01,759460.3
2016-01-01,132238.1
2016-02-01,1075.8
2016-03-01,1075.6
2016-04-01,47332.5
2016-05-01,
2016-06-01,2151.4
2016-07-01,48391.3
2016-08-01,
2016-09-01,
2016-10-01,1291198.9
2016-11-01,225772.7
2016-12-01,4637340.4
2017-01-01,32264.9
2017-02-01,237655.8
2017-03-01,960090.7
2017-04-01,452603.0
2017-05-01,2747806.9
2017-06-01,2225225.3
2017-07-01,2018282.9
2017-08-01,39794.8
2017-09-01,5377.8
2017-10-01,79574.6
2017-11-01,74165.7
2017-12-01,1972050.2
2018-01-01,961934.0
2018-02-01,1390147.4
2018-03-01,865215.8
2018-04-01,856843.0
2018-05-01,822095.0
2018-06-01,908121.3
2018-07-01,293568.4
2018-08-01,53768.6
2018-09-01,3226.1
2018-10-01,242941.5
2018-11-01,1443582.7
2018-12-01,992266.8
2019-01-01,1352585.4
2019-02-01,971876.0
2019-03-01,2519890.2
2019-04-01,771854.7
2019-05-01,130102.1
2019-06-01,349454.5
2019-07-01,11830.3
2019-08-01,5377.6
2019-09-01,697644.8
2019-10-01,1642784.3
2019-11-01,3526685.4
2019-12-01,2216831.6
2020-01-01,2579540.3
2020-02-01,2697056.3
2020-03-01,4026356.2
2020-04-01,1230749.3
2020-05-01,2268834.4
2020-06-01,4757309.7
2020-07-01,6202516.3
2020-08-01,8991872.8
2020-09-01,5892248.0
2020-10-01,1186913.1
2020-11-01,7025152.3
2020-12-01,5303137.6
2021-01-01,3179720.4
2021-02-01,2340404.0
2021-03-01,5385552.9
2021-04-01,11826.2
2021-05-01,
2021-06-01,4300.3
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,1075.1
2021-11-01,39774.0
2021-12-01,965505.2
2022-01-01,865350.0
2022-02-01,969694.3
2022-03-01,195635.7
2022-04-01,439610.3
2022-05-01,985659.5
2022-06-01,38700.1
2022-07-01,1297554.7
2022-08-01,1580360.9
2022-09-01,3829369.0
2022-10-01,3753794.2
2022-11-01,2184300.1
2022-12-01,2141687.8
2023-01-01,5143052.8
2023-02-01,5015397.0
2023-03-01,2239323.2
2023-04-01,3955616.7
2023-05-01,5465733.6
2023-06-01,1886611.3
2023-07-01,235486.5
2023-08-01,2886310.0
2023-09-01,1409365.1
2023-10-01,3025294.1
2023-11-01,2246854.7
2023-12-01,2567280.2
2024-01-01,2894599.5
2024-02-01,3568875.5
2024-03-01,3519699.4
2024-04-01,4464517.1
2024-05-01,984892.6
2024-06-01,8603.5
2024-07-01,12904.6
2024-08-01,77412.6
2024-09-01,981539.3
2024-10-01,2633780.6
2024-11-01,3865208.8
2024-12-01,1360890.7
2025-01-01,422466.0
2025-02-01,1914496.3
2025-03-01,1680346.6
2025-04-01,1639145.1
2025-05-01,1142568.6
2025-06-01,35467.4
2025-07-01,10746.0
2025-08-01,7520.5
2025-09-01,2091436.2
