Tarih,TP_ALTINGR_SCEYREK
2015-12-01,32191.1
2016-01-01,5363.5
2016-02-01,2145.1
2016-03-01,
2016-04-01,9657.3
2016-05-01,4292.5
2016-06-01,3219.7
2016-07-01,17170.9
2016-08-01,12877.7
2016-09-01,21463.0
2016-10-01,36493.2
2016-11-01,9664.4
2016-12-01,47249.9
2017-01-01,6442.9
2017-02-01,11812.1
2017-03-01,27919.2
2017-04-01,25770.3
2017-05-01,60130.7
2017-06-01,64432.1
2017-07-01,82655.6
2017-08-01,25761.9
2017-09-01,30054.0
2017-10-01,8585.2
2017-11-01,7513.5
2017-12-01,35417.2
2018-01-01,21460.0
2018-02-01,28977.4
2018-03-01,25760.3
2018-04-01,26821.0
2018-05-01,25760.0
2018-06-01,31141.2
2018-07-01,36514.4
2018-08-01,
2018-09-01,6443.7
2018-10-01,12882.9
2018-11-01,36494.5
2018-12-01,26834.4
2019-01-01,23614.5
2019-02-01,16100.7
2019-03-01,36497.0
2019-04-01,31129.8
2019-05-01,7514.3
2019-06-01,22543.2
2019-07-01,27911.4
2019-08-01,12882.6
2019-09-01,34351.6
2019-10-01,50463.3
2019-11-01,63354.4
2019-12-01,37580.3
2020-01-01,45091.0
2020-02-01,37584.2
2020-03-01,29000.1
2020-04-01,10741.0
2020-05-01,24703.4
2020-06-01,60129.9
2020-07-01,34347.1
2020-08-01,113740.1
2020-09-01,50437.6
2020-10-01,31127.9
2020-11-01,53667.0
2020-12-01,106255.2
2021-01-01,60124.9
2021-02-01,81636.1
2021-03-01,177174.8
2021-04-01,
2021-05-01,
2021-06-01,4292.8
2021-07-01,5365.8
2021-08-01,23609.5
2021-09-01,19318.4
2021-10-01,4292.8
2021-11-01,6440.7
2021-12-01,31131.1
2022-01-01,28983.1
2022-02-01,18249.7
2022-03-01,19316.9
2022-04-01,16095.6
2022-05-01,17169.1
2022-06-01,10730.4
2022-07-01,28976.9
2022-08-01,39720.9
2022-09-01,67619.1
2022-10-01,92330.7
2022-11-01,76230.8
2022-12-01,34356.0
2023-01-01,95540.7
2023-02-01,65506.2
2023-03-01,37591.1
2023-04-01,27929.8
2023-05-01,68715.4
2023-06-01,76201.2
2023-07-01,60110.4
2023-08-01,60115.3
2023-09-01,78323.3
2023-10-01,70867.5
2023-11-01,79453.3
2023-12-01,46138.8
2024-01-01,63336.9
2024-02-01,79433.3
2024-03-01,64390.7
2024-04-01,171695.4
2024-05-01,68730.2
2024-06-01,5371.1
2024-07-01,9661.4
2024-08-01,17165.8
2024-09-01,31110.3
2024-10-01,74053.4
2024-11-01,64412.1
2024-12-01,47245.0
2025-01-01,52596.6
2025-02-01,48285.0
2025-03-01,50433.8
2025-04-01,41855.3
2025-05-01,69751.2
2025-06-01,15021.2
2025-07-01,17170.3
2025-08-01,8583.3
2025-09-01,39691.1
