Tarih,TP_FDVY16
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,0.0
2003-01-01,9716.0
2003-02-01,9777.0
2003-03-01,10832.0
2003-04-01,10949.0
2003-05-01,11240.0
2003-06-01,12137.0
2003-07-01,12367.0
2003-08-01,12313.0
2003-09-01,11980.0
2003-10-01,12067.0
2003-11-01,12283.0
2003-12-01,12664.0
2004-01-01,12273.0
2004-02-01,12338.0
2004-03-01,12651.0
2004-04-01,12825.0
2004-05-01,13332.0
2004-06-01,13223.0
2004-07-01,13327.0
2004-08-01,13557.0
2004-09-01,13715.0
2004-10-01,13956.0
2004-11-01,14222.0
2004-12-01,14245.0
2005-01-01,14270.0
2005-02-01,14556.0
2005-03-01,14646.0
2005-04-01,15275.0
2005-05-01,15084.0
2005-06-01,15062.0
2005-07-01,15332.0
2005-08-01,15562.0
2005-09-01,14967.0
2005-10-01,15244.0
2005-11-01,15118.0
2005-12-01,15397.0
2006-01-01,15675.0
2006-02-01,15909.0
2006-03-01,16262.0
2006-04-01,16678.0
2006-05-01,17538.0
2006-06-01,17060.0
2006-07-01,17060.0
2006-08-01,17002.0
2006-09-01,17356.0
2006-10-01,17036.0
2006-11-01,17454.0
2006-12-01,17370.0
2007-01-01,17506.0
2007-02-01,17916.0
2007-03-01,17815.0
2007-04-01,18580.0
2007-05-01,18253.0
2007-06-01,18365.0
2007-07-01,18705.0
2007-08-01,19107.0
2007-09-01,20100.0
2007-10-01,20512.0
2007-11-01,20997.0
2007-12-01,20800.0
2008-01-01,21512.0
2008-02-01,23031.0
2008-03-01,24170.0
2008-04-01,23476.0
2008-05-01,23441.0
2008-06-01,23913.0
2008-07-01,23522.0
2008-08-01,23909.0
2008-09-01,24951.0
2008-10-01,23485.0
2008-11-01,22256.0
2008-12-01,22547.0
2009-01-01,22073.0
2009-02-01,21643.0
2009-03-01,21483.0
2009-04-01,21289.0
2009-05-01,21386.0
2009-06-01,21611.0
2009-07-01,22459.0
2009-08-01,24870.0
2009-09-01,25884.0
2009-10-01,27458.0
2009-11-01,28730.0
2009-12-01,29256.0
2010-01-01,31295.0
2010-02-01,32458.0
2010-03-01,35710.0
2010-04-01,37423.0
2010-05-01,39378.0
2010-06-01,42469.0
2010-07-01,44639.0
2010-08-01,45983.0
2010-09-01,49054.0
2010-10-01,51649.0
2010-11-01,52921.0
2010-12-01,57496.0
2011-01-01,60195.0
2011-02-01,62962.0
2011-03-01,66135.0
2011-04-01,69493.0
2011-05-01,70213.0
2011-06-01,71538.0
2011-07-01,73634.0
2011-08-01,75045.0
2011-09-01,74124.0
2011-10-01,76103.0
2011-11-01,75536.0
2011-12-01,74660.0
2012-01-01,76363.0
2012-02-01,78558.0
2012-03-01,80794.0
2012-04-01,81110.0
2012-05-01,82179.0
2012-06-01,82389.0
2012-07-01,82023.0
2012-08-01,84024.0
2012-09-01,85842.0
2012-10-01,86039.0
2012-11-01,87295.0
2012-12-01,90347.0
2013-01-01,92542.0
2013-02-01,92355.0
2013-03-01,94048.0
2013-04-01,95935.0
2013-05-01,102923.0
