Tarih,TP_FDVY12
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,32258.0
2003-01-01,39614.0
2003-02-01,39401.0
2003-03-01,39641.0
2003-04-01,40498.0
2003-05-01,42028.0
2003-06-01,43011.0
2003-07-01,43631.0
2003-08-01,43536.0
2003-09-01,43786.0
2003-10-01,44051.0
2003-11-01,47424.0
2003-12-01,49759.0
2004-01-01,48537.0
2004-02-01,49373.0
2004-03-01,50145.0
2004-04-01,50427.0
2004-05-01,51961.0
2004-06-01,51888.0
2004-07-01,52646.0
2004-08-01,53083.0
2004-09-01,53670.0
2004-10-01,56213.0
2004-11-01,50343.0
2004-12-01,57594.0
2005-01-01,56920.0
2005-02-01,57547.0
2005-03-01,57482.0
2005-04-01,59540.0
2005-05-01,59614.0
2005-06-01,59699.0
2005-07-01,60405.0
2005-08-01,61430.0
2005-09-01,60613.0
2005-10-01,60859.0
2005-11-01,60744.0
2005-12-01,68023.0
2006-01-01,70082.0
2006-02-01,72499.0
2006-03-01,73110.0
2006-04-01,75946.0
2006-05-01,80863.0
2006-06-01,80826.0
2006-07-01,81582.0
2006-08-01,82101.0
2006-09-01,83294.0
2006-10-01,88165.0
2006-11-01,90375.0
2006-12-01,93015.0
2007-01-01,93521.0
2007-02-01,94598.0
2007-03-01,100959.0
2007-04-01,105290.0
2007-05-01,108830.0
2007-06-01,110495.0
2007-07-01,115357.0
2007-08-01,117924.0
2007-09-01,121239.0
2007-10-01,126025.0
2007-11-01,130229.0
2007-12-01,132882.0
2008-01-01,137221.0
2008-02-01,141399.0
2008-03-01,146377.0
2008-04-01,148149.0
2008-05-01,153013.0
2008-06-01,159085.0
2008-07-01,160936.0
2008-08-01,162145.0
2008-09-01,164409.0
2008-10-01,157371.0
2008-11-01,150111.0
2008-12-01,149986.0
2009-01-01,142726.0
2009-02-01,139689.0
2009-03-01,141639.0
2009-04-01,141907.0
2009-05-01,143772.0
2009-06-01,144359.0
2009-07-01,145934.0
2009-08-01,147193.0
2009-09-01,147242.0
2009-10-01,148337.0
2009-11-01,149152.0
2009-12-01,148142.0
2010-01-01,147514.0
2010-02-01,146443.0
2010-03-01,149502.0
2010-04-01,151619.0
2010-05-01,153101.0
2010-06-01,154785.0
2010-07-01,160241.0
2010-08-01,162824.0
2010-09-01,168287.0
2010-10-01,173079.0
2010-11-01,174174.0
2010-12-01,182119.0
2011-01-01,187109.0
2011-02-01,189553.0
2011-03-01,194917.0
2011-04-01,202859.0
2011-05-01,204902.0
2011-06-01,207195.0
2011-07-01,209063.0
2011-08-01,210004.0
2011-09-01,207107.0
2011-10-01,209435.0
2011-11-01,208421.0
2011-12-01,203543.0
2012-01-01,205217.0
2012-02-01,206754.0
2012-03-01,210014.0
2012-04-01,211555.0
2012-05-01,212522.0
2012-06-01,211895.0
2012-07-01,210837.0
2012-08-01,213766.0
2012-09-01,216841.0
2012-10-01,217378.0
2012-11-01,220944.0
2012-12-01,226703.0
2013-01-01,230558.0
2013-02-01,229049.0
2013-03-01,228284.0
2013-04-01,234843.0
2013-05-01,242162.0
