Tarih,TP_GSYIH22_HY_ZH
2000-01-01,31233809.9499408
2000-04-01,38330003.3449409
2000-07-01,37038859.21195989
2000-10-01,40998527.99912559
2001-01-01,29043518.4767921
2001-04-01,27126496.97702009
2001-07-01,24921692.5505779
2001-10-01,26295207.05674869
2002-01-01,26310445.33412329
2002-04-01,32241116.6983699
2002-07-01,31277955.3769579
2002-10-01,37999948.0321611
2003-01-01,29739996.1714911
2003-04-01,36706900.1837157
2003-07-01,38547487.880252
2003-10-01,48409269.88466549
2004-01-01,43630956.67749229
2004-04-01,53706118.89701429
2004-07-01,49852172.0415211
2004-10-01,55543345.2994142
2005-01-01,49180370.6171592
2005-04-01,62551113.1664758
2005-07-01,61039137.0332987
2005-10-01,70107453.8553661
2006-01-01,59464051.14956089
2006-04-01,73086271.0981828
2006-07-01,70387681.8507788
2006-10-01,77773958.25397348
2007-01-01,61286841.0396037
2007-04-01,76002576.866007
2007-07-01,74176025.85710318
2007-10-01,85939095.5823334
2008-01-01,67749303.3828793
2008-04-01,76901271.17595328
2008-07-01,71385214.4338155
2008-10-01,72908420.9561372
2009-01-01,45524888.53270649
2009-04-01,61073525.96173
2009-07-01,58771543.1603628
2009-10-01,67355827.273303
2010-01-01,50010248.4210589
2010-04-01,67726206.3498134
2010-07-01,74127186.6708731
2010-10-01,86656760.54552048
2011-01-01,65601129.55810119
2011-04-01,88927305.1000055
2011-07-01,90682062.6349207
2011-10-01,99160614.6241545
2012-01-01,72915692.694157
2012-04-01,89544377.82154898
2012-07-01,91849718.3972623
2012-10-01,101833438.345299
2013-01-01,84021472.5320605
2013-04-01,103071787.1802079
2013-07-01,107558284.6898009
2013-10-01,113805349.459946
2014-01-01,94941846.0539322
2014-04-01,102001136.7214059
2014-07-01,107630167.0510279
2014-10-01,118132360.7742259
2015-01-01,97071406.57368758
2015-04-01,116457996.992146
2015-07-01,116816737.1975989
2015-10-01,129298433.409472
2016-01-01,103916056.2344669
2016-04-01,119281382.818818
2016-07-01,119128897.384798
2016-10-01,131648025.2180909
2017-01-01,108109121.532948
2017-04-01,128623570.9494809
2017-07-01,133324452.8449479
2017-10-01,139274402.7236639
2018-01-01,121293749.202102
2018-04-01,139829091.392681
2018-07-01,129608219.3402079
2018-10-01,122741184.0570389
2019-01-01,104616213.198578
2019-04-01,111159663.3330859
2019-07-01,111602416.907651
2019-10-01,123961872.992181
2020-01-01,103183714.2716259
2020-04-01,105524068.379354
2020-07-01,136162760.5439879
2020-10-01,137710385.57789
2021-01-01,116322055.5534249
2021-04-01,127527040.8728639
2021-07-01,134149681.8300489
2021-10-01,139410536.7937299
2022-01-01,123455168.7997909
2022-04-01,134557504.8588849
2022-07-01,136086586.480172
2022-10-01,146061591.1356149
2023-01-01,127086978.2285179
2023-04-01,140323939.657954
2023-07-01,153791928.537108
2023-10-01,158579557.458976
2024-01-01,137484409.3781239
2024-04-01,139902600.0713799
2024-07-01,151105294.6719149
2024-10-01,166765164.32137
2025-01-01,140011048.3035399
2025-04-01,152148058.5857389
